Symbol,Date,Open,High,Low,Close,Volume
SGPL,01-Jan-2014,2.43,2.43,2.21,2.21,9500
SGPL,02-Jan-2014,2.34,2.64,2.34,2.55,58500
SGPL,03-Jan-2014,2.51,2.70,2.50,2.50,51000
SGPL,06-Jan-2014,2.59,2.59,2.14,2.50,5000
SGPL,07-Jan-2014,2.50,2.50,2.50,2.50,10000
SGPL,08-Jan-2014,2.40,2.50,2.40,2.40,11500
SGPL,09-Jan-2014,2.49,2.59,2.49,2.59,23500
SGPL,13-Jan-2014,2.55,2.55,2.50,2.50,1500
SGPL,15-Jan-2014,2.50,2.63,2.50,2.53,3500
SGPL,16-Jan-2014,2.12,2.40,2.12,2.40,1000
SGPL,17-Jan-2014,2.30,2.30,2.30,2.30,11500
SGPL,21-Jan-2014,2.30,2.31,2.20,2.30,9000
SGPL,23-Jan-2014,2.26,2.26,2.25,2.25,2500
SGPL,24-Jan-2014,2.49,2.68,2.45,2.52,101500
SGPL,27-Jan-2014,2.36,2.60,2.30,2.41,37500
SGPL,28-Jan-2014,2.61,2.61,2.37,2.37,11500
SGPL,30-Jan-2014,2.11,2.51,2.11,2.51,4000
SGPL,31-Jan-2014,2.34,2.53,2.34,2.36,15500
SGPL,03-Feb-2014,2.37,2.37,2.37,2.36,1000
SGPL,04-Feb-2014,2.36,2.50,2.36,2.50,13000
SGPL,06-Feb-2014,2.50,2.50,2.44,2.44,4500
SGPL,07-Feb-2014,2.49,2.49,2.40,2.45,40000
SGPL,10-Feb-2014,2.50,2.64,2.50,2.64,1500
SGPL,12-Feb-2014,2.56,2.56,2.50,2.50,1000
SGPL,13-Feb-2014,2.55,3.25,2.52,2.60,231500
SGPL,14-Feb-2014,2.60,2.60,2.50,2.60,13000
SGPL,17-Feb-2014,2.50,2.50,2.35,2.35,20500
SGPL,18-Feb-2014,2.36,2.36,2.36,2.36,3000
SGPL,19-Feb-2014,2.34,2.40,2.34,2.40,4500
SGPL,21-Feb-2014,2.34,2.49,2.34,2.49,2000
SGPL,24-Feb-2014,2.40,2.40,2.40,2.40,1000
SGPL,26-Feb-2014,2.38,2.38,2.38,2.38,4000
SGPL,28-Feb-2014,2.15,2.15,2.12,2.12,2000
SGPL,03-Mar-2014,2.26,2.65,2.25,2.55,18500
SGPL,04-Mar-2014,2.31,2.31,2.31,2.31,3000
