Symbol,Date,Open,High,Low,Close,Volume
SHNI,01-Jan-2014,7.00,7.90,6.92,7.53,57000
SHNI,02-Jan-2014,7.60,7.78,7.60,7.75,10500
SHNI,03-Jan-2014,7.50,7.70,7.45,7.45,3500
SHNI,06-Jan-2014,7.11,7.11,7.11,7.11,2000
SHNI,07-Jan-2014,7.10,7.12,7.00,7.08,6000
SHNI,08-Jan-2014,7.00,7.00,7.00,7.08,2000
SHNI,09-Jan-2014,6.20,7.75,6.20,6.93,3000
SHNI,10-Jan-2014,6.02,7.24,6.02,7.24,1000
SHNI,13-Jan-2014,7.00,7.00,6.90,6.95,13000
SHNI,15-Jan-2014,7.25,7.55,7.00,7.55,4500
SHNI,16-Jan-2014,6.55,7.75,6.55,7.63,37000
SHNI,17-Jan-2014,7.99,8.35,7.79,8.20,40500
SHNI,20-Jan-2014,8.50,9.20,8.40,9.20,132000
SHNI,21-Jan-2014,9.89,10.20,9.50,10.20,145500
SHNI,22-Jan-2014,10.69,10.69,10.05,10.35,48500
SHNI,23-Jan-2014,10.99,11.35,10.99,11.35,238500
SHNI,24-Jan-2014,11.97,12.30,10.90,11.01,788000
SHNI,27-Jan-2014,10.35,11.00,10.35,10.44,52500
SHNI,28-Jan-2014,10.40,10.40,9.71,10.03,60500
SHNI,29-Jan-2014,9.56,10.95,9.56,10.12,234000
SHNI,30-Jan-2014,10.69,10.69,9.61,9.99,90500
SHNI,31-Jan-2014,9.75,9.99,9.70,9.94,2500
SHNI,03-Feb-2014,9.40,9.50,9.35,9.46,47500
SHNI,04-Feb-2014,9.21,9.48,9.20,9.48,5500
SHNI,06-Feb-2014,9.00,9.02,8.90,8.90,21500
SHNI,07-Feb-2014,8.95,8.95,8.20,8.80,7000
SHNI,10-Feb-2014,8.87,8.87,8.50,8.50,11000
SHNI,11-Feb-2014,8.40,8.40,8.00,8.20,8000
SHNI,12-Feb-2014,8.70,9.20,8.41,8.93,49000
SHNI,13-Feb-2014,9.20,9.39,8.40,8.99,9000
SHNI,14-Feb-2014,8.40,8.90,8.40,8.60,8500
SHNI,17-Feb-2014,8.52,8.95,7.90,7.95,41000
SHNI,18-Feb-2014,8.60,8.60,7.50,7.93,21000
SHNI,19-Feb-2014,8.69,8.69,7.50,8.00,31000
SHNI,20-Feb-2014,7.90,7.90,7.90,7.90,500
SHNI,21-Feb-2014,8.00,8.00,8.00,8.00,500
SHNI,25-Feb-2014,8.50,8.50,7.50,7.89,10500
SHNI,26-Feb-2014,8.75,8.78,7.50,7.91,20500
SHNI,27-Feb-2014,7.85,7.90,7.85,7.90,1000
SHNI,28-Feb-2014,7.50,7.50,7.50,7.50,500
SHNI,04-Mar-2014,6.52,7.70,6.52,7.67,14000
SHNI,06-Mar-2014,7.00,7.88,6.81,6.94,57000
SHNI,07-Mar-2014,7.00,7.00,6.91,6.91,10500
SHNI,10-Mar-2014,7.00,7.00,7.00,7.00,5000
SHNI,11-Mar-2014,7.00,7.25,7.00,7.00,10500
SHNI,12-Mar-2014,7.01,7.30,6.80,6.89,33000
SHNI,13-Mar-2014,7.19,7.20,7.00,7.00,7000
SHNI,14-Mar-2014,6.75,7.15,6.75,7.15,4500
SHNI,17-Mar-2014,7.00,7.00,7.00,7.00,1500
SHNI,18-Mar-2014,7.00,7.00,6.81,6.81,10000
SHNI,19-Mar-2014,7.00,7.00,7.00,7.00,9500
SHNI,20-Mar-2014,6.90,6.90,6.90,6.90,1000
SHNI,21-Mar-2014,7.00,7.00,7.00,7.00,4500
SHNI,26-Mar-2014,7.00,7.00,7.00,7.00,500
SHNI,28-Mar-2014,7.35,7.48,7.35,7.45,4000
SHNI,01-Apr-2014,7.43,7.43,7.43,7.43,1000
SHNI,03-Apr-2014,7.40,7.40,7.40,7.40,500
SHNI,04-Apr-2014,7.29,7.29,7.01,7.01,2000
SHNI,07-Apr-2014,7.00,7.30,7.00,7.05,7500
SHNI,08-Apr-2014,7.04,7.04,7.04,7.04,2000
SHNI,09-Apr-2014,7.39,7.39,6.90,6.98,136500
SHNI,10-Apr-2014,6.82,6.99,6.82,6.98,7500
SHNI,11-Apr-2014,7.00,7.00,6.80,7.00,10500
SHNI,14-Apr-2014,6.99,6.99,6.50,6.50,57500
SHNI,15-Apr-2014,6.51,6.80,6.40,6.57,329500
SHNI,16-Apr-2014,6.55,6.62,6.50,6.50,22000
SHNI,17-Apr-2014,6.60,6.65,6.60,6.63,13000
SHNI,18-Apr-2014,6.88,6.89,6.88,6.89,7500
SHNI,21-Apr-2014,6.55,6.55,6.50,6.50,6000
SHNI,22-Apr-2014,6.51,6.80,6.51,6.70,5000
SHNI,23-Apr-2014,6.56,6.56,6.50,6.50,14000
SHNI,24-Apr-2014,6.65,6.65,6.60,6.60,4000
SHNI,30-Apr-2014,6.02,7.00,6.02,6.37,51000
SHNI,02-May-2014,6.45,6.45,6.01,6.02,76000
SHNI,05-May-2014,6.10,6.25,6.10,6.25,15000
SHNI,06-May-2014,6.00,6.20,6.00,6.20,19000
SHNI,07-May-2014,6.20,6.20,6.20,6.20,2000
SHNI,08-May-2014,6.48,6.48,6.13,6.36,2000
SHNI,09-May-2014,6.21,6.45,6.21,6.42,9000
SHNI,13-May-2014,6.50,6.50,6.30,6.30,6500
SHNI,15-May-2014,6.90,6.90,6.32,6.33,8500
SHNI,16-May-2014,6.21,6.31,6.20,6.31,1500
SHNI,19-May-2014,6.20,6.20,6.20,6.20,500
SHNI,20-May-2014,6.25,6.53,6.25,6.53,7000
SHNI,21-May-2014,6.65,6.65,6.30,6.30,14000
SHNI,22-May-2014,6.30,6.57,6.30,6.48,3500
SHNI,23-May-2014,6.35,6.48,6.35,6.36,5500
SHNI,27-May-2014,6.02,6.02,6.02,6.02,1000
SHNI,29-May-2014,6.80,6.80,6.80,6.80,1000
SHNI,30-May-2014,6.99,7.00,6.32,6.32,6500
SHNI,02-Jun-2014,6.25,6.25,6.25,6.25,5000
SHNI,03-Jun-2014,6.50,6.50,6.10,6.10,10000
SHNI,04-Jun-2014,6.12,6.12,6.11,6.11,4000
SHNI,05-Jun-2014,6.30,6.30,6.13,6.30,3000
SHNI,09-Jun-2014,6.85,6.98,6.12,6.18,13500
SHNI,10-Jun-2014,6.20,6.20,6.20,6.20,5000
SHNI,12-Jun-2014,6.20,6.90,6.20,6.77,36500
SHNI,13-Jun-2014,6.58,6.58,6.50,6.50,1500
SHNI,16-Jun-2014,6.20,6.25,6.15,6.15,15000
SHNI,20-Jun-2014,6.25,6.25,6.00,6.00,3500
SHNI,24-Jun-2014,6.20,6.20,6.20,6.20,3000
SHNI,25-Jun-2014,6.02,6.20,6.01,6.20,9000
SHNI,27-Jun-2014,6.10,6.10,6.10,6.10,2000
SHNI,04-Jul-2014,6.00,6.00,6.00,6.00,1000
SHNI,07-Jul-2014,6.00,6.01,6.00,6.00,51000
SHNI,09-Jul-2014,6.20,6.20,6.20,6.20,1000
SHNI,11-Jul-2014,6.25,6.25,6.00,6.00,2500
SHNI,14-Jul-2014,6.00,6.00,6.00,6.00,500
SHNI,15-Jul-2014,6.00,6.00,6.00,6.00,10500
SHNI,21-Jul-2014,5.50,5.86,5.50,5.86,1000
SHNI,22-Jul-2014,6.20,6.20,6.20,6.20,500
SHNI,04-Aug-2014,6.00,6.00,6.00,6.00,1000
SHNI,08-Aug-2014,6.00,6.00,6.00,6.00,1500
SHNI,11-Aug-2014,5.00,5.60,5.00,5.03,26500
SHNI,12-Aug-2014,4.12,5.00,4.06,5.00,46500
SHNI,13-Aug-2014,5.10,5.10,5.10,5.10,500
SHNI,15-Aug-2014,5.48,6.00,5.48,6.00,22500
SHNI,18-Aug-2014,5.50,5.55,5.50,5.50,2000
SHNI,19-Aug-2014,5.69,5.69,5.69,5.69,1000
SHNI,20-Aug-2014,5.40,5.40,5.40,5.40,5000
SHNI,21-Aug-2014,5.40,5.40,5.40,5.40,500
SHNI,26-Aug-2014,5.25,5.25,5.20,5.20,19000
SHNI,27-Aug-2014,5.20,5.20,5.20,5.20,500
SHNI,28-Aug-2014,5.50,5.50,5.00,5.20,6000
SHNI,29-Aug-2014,5.83,6.20,5.83,5.91,5500
SHNI,02-Sep-2014,5.88,5.88,5.88,5.88,500
SHNI,03-Sep-2014,5.40,5.42,5.40,5.42,3000
SHNI,05-Sep-2014,5.47,5.47,5.47,5.47,500
SHNI,09-Sep-2014,5.52,6.00,5.52,6.00,12500
SHNI,10-Sep-2014,5.54,5.54,5.52,5.52,2000
SHNI,18-Sep-2014,5.50,5.50,5.50,5.50,1000
SHNI,19-Sep-2014,5.50,5.75,5.25,5.61,5000
SHNI,22-Sep-2014,5.70,6.10,5.70,6.10,31500
SHNI,23-Sep-2014,6.00,6.08,6.00,6.00,7500
SHNI,24-Sep-2014,6.10,6.10,6.00,6.00,22000
SHNI,25-Sep-2014,5.90,5.90,5.50,5.50,7000
SHNI,26-Sep-2014,6.29,6.29,5.98,5.99,5000
SHNI,29-Sep-2014,5.75,5.75,5.60,5.75,3500
SHNI,30-Sep-2014,5.53,6.20,5.52,6.04,10000
SHNI,01-Oct-2014,6.13,6.13,6.13,6.13,500
SHNI,02-Oct-2014,5.76,5.76,5.76,5.76,500
SHNI,03-Oct-2014,5.76,5.99,5.75,5.77,27000
SHNI,10-Oct-2014,5.55,5.55,5.55,5.55,25000
SHNI,14-Oct-2014,6.10,6.10,5.60,5.80,8500
SHNI,16-Oct-2014,5.87,5.89,5.26,5.51,6500
SHNI,20-Oct-2014,5.80,5.83,5.80,5.82,21000
SHNI,21-Oct-2014,5.80,5.80,5.79,5.79,13500
