Symbol,Date,Open,High,Low,Close,Volume
SJTM,01-Jan-2014,10.90,10.90,10.90,10.90,500
SJTM,08-Jan-2014,11.90,11.90,11.90,11.90,500
SJTM,09-Jan-2014,12.90,12.90,12.90,12.90,500
SJTM,10-Jan-2014,13.90,13.90,13.90,12.90,500
SJTM,21-Jan-2014,13.90,13.90,13.90,13.90,500
SJTM,22-Jan-2014,14.90,14.90,13.10,13.10,2000
SJTM,23-Jan-2014,14.10,14.10,14.10,13.10,500
SJTM,24-Jan-2014,14.10,14.10,14.10,14.10,2000
SJTM,27-Jan-2014,15.10,15.10,15.10,15.10,2000
SJTM,28-Jan-2014,16.10,16.10,16.10,16.10,2000
SJTM,29-Jan-2014,17.10,17.10,17.10,17.10,2000
SJTM,30-Jan-2014,18.10,18.10,18.10,18.10,1000
SJTM,31-Jan-2014,19.10,19.10,19.10,19.10,1500
SJTM,03-Feb-2014,20.10,20.10,20.10,20.10,500
SJTM,04-Feb-2014,21.10,21.10,21.10,21.10,1500
SJTM,06-Feb-2014,22.15,22.15,21.15,21.65,5000
SJTM,07-Feb-2014,22.73,22.73,22.73,21.65,500
SJTM,10-Feb-2014,20.57,20.57,20.57,20.57,500
SJTM,12-Feb-2014,18.96,18.96,18.95,18.95,1000
SJTM,04-Mar-2014,18.00,18.00,18.00,18.00,500
SJTM,05-Mar-2014,19.00,19.00,19.00,19.00,500
SJTM,10-Mar-2014,19.99,19.99,18.00,18.00,1500
SJTM,17-Mar-2014,17.95,17.95,17.95,17.95,500
SJTM,20-Mar-2014,17.20,17.20,17.20,17.20,2000
SJTM,25-Mar-2014,15.53,15.53,15.53,15.53,1000
SJTM,31-Mar-2014,15.53,15.53,13.53,14.50,5500
SJTM,01-Apr-2014,13.50,13.50,13.50,13.50,2500
SJTM,02-Apr-2014,12.50,12.80,12.50,12.60,4500
SJTM,03-Apr-2014,12.60,12.60,12.60,12.60,2000
SJTM,04-Apr-2014,11.61,11.61,11.61,11.61,500
SJTM,10-Apr-2014,11.61,11.61,11.61,11.61,500
SJTM,15-Apr-2014,11.61,11.61,11.61,11.61,1000
SJTM,18-Apr-2014,12.00,12.00,10.61,12.00,6000
SJTM,30-Apr-2014,11.00,11.00,11.00,11.00,1500
SJTM,28-May-2014,10.00,10.20,10.00,10.20,1000
SJTM,04-Jun-2014,11.20,11.20,11.20,11.20,500
SJTM,29-Sep-2014,12.19,12.20,12.19,12.20,4500
SJTM,30-Sep-2014,11.21,11.21,11.21,11.21,500
SJTM,02-Oct-2014,10.21,10.21,10.21,10.21,1000
SJTM,10-Oct-2014,9.21,11.21,9.21,11.21,20500
SJTM,13-Oct-2014,12.20,12.21,12.20,12.21,2500
SJTM,14-Oct-2014,12.50,13.21,12.50,13.21,8500
SJTM,15-Oct-2014,14.20,14.21,14.20,14.21,12500
SJTM,16-Oct-2014,15.21,15.21,15.21,15.21,18000
SJTM,17-Oct-2014,15.99,16.00,14.21,14.26,16500
SJTM,20-Oct-2014,15.00,15.18,15.00,15.18,10000
SJTM,27-Oct-2014,14.25,15.20,14.25,14.25,2000
SJTM,29-Oct-2014,14.98,14.98,13.25,14.50,3500
