Symbol,Date,Open,High,Low,Close,Volume
SKRS,01-Jan-2014,3.00,3.35,3.00,3.31,30000
SKRS,02-Jan-2014,3.49,3.50,3.10,3.15,25000
SKRS,03-Jan-2014,3.10,3.10,2.90,2.90,2500
SKRS,06-Jan-2014,2.86,3.05,2.82,3.05,6500
SKRS,07-Jan-2014,2.90,2.90,2.75,2.81,27500
SKRS,08-Jan-2014,2.80,3.10,2.80,3.00,22500
SKRS,09-Jan-2014,3.04,3.05,3.03,3.05,7000
SKRS,10-Jan-2014,3.09,3.09,3.09,3.09,2000
SKRS,13-Jan-2014,3.19,4.09,3.09,4.09,255000
SKRS,15-Jan-2014,5.09,5.09,4.36,4.50,246500
SKRS,16-Jan-2014,4.50,4.50,3.62,3.75,146500
SKRS,17-Jan-2014,3.75,4.47,3.61,3.90,90500
SKRS,20-Jan-2014,3.80,4.00,3.80,3.80,7000
SKRS,21-Jan-2014,3.80,3.80,3.80,3.80,3000
SKRS,22-Jan-2014,3.90,4.20,3.80,3.85,71000
SKRS,23-Jan-2014,3.26,4.85,3.26,4.85,613000
SKRS,24-Jan-2014,5.23,5.30,4.60,4.77,173500
SKRS,27-Jan-2014,4.65,4.70,4.25,4.32,61000
SKRS,28-Jan-2014,4.35,4.60,3.88,4.00,61500
SKRS,29-Jan-2014,3.90,4.10,3.90,4.00,12000
SKRS,30-Jan-2014,3.90,4.00,3.81,3.98,17500
SKRS,31-Jan-2014,4.10,4.10,3.85,3.86,10000
SKRS,03-Feb-2014,3.51,3.90,3.51,3.90,10500
SKRS,04-Feb-2014,3.54,3.55,3.54,3.55,3000
SKRS,06-Feb-2014,3.57,4.38,3.57,4.38,23500
SKRS,07-Feb-2014,3.75,4.10,3.65,3.76,28000
SKRS,10-Feb-2014,3.54,3.65,3.50,3.58,5000
SKRS,11-Feb-2014,3.50,3.50,3.50,3.50,1000
SKRS,12-Feb-2014,3.60,3.66,3.40,3.66,14500
SKRS,13-Feb-2014,3.31,3.70,3.30,3.56,3000
