Symbol,Date,Open,High,Low,Close,Volume
SLGL,22-Apr-2024,13.00,13.00,12.00,12.10,6316832
SLGL,23-Apr-2024,12.20,12.25,11.10,11.54,1789775
SLGL,24-Apr-2024,11.70,11.95,11.57,11.63,1087159
SLGL,25-Apr-2024,11.69,12.15,11.40,11.55,1933131
SLGL,26-Apr-2024,11.55,11.60,11.13,11.38,492384
SLGL,29-Apr-2024,11.60,11.60,10.90,11.20,3030314
SLGL,30-Apr-2024,11.10,11.35,10.92,11.06,1433363
SLGL,02-May-2024,10.90,11.09,10.75,10.86,463484
SLGL,03-May-2024,10.75,10.89,10.00,10.66,2908899
SLGL,06-May-2024,10.50,10.79,9.80,10.55,1811510
SLGL,07-May-2024,10.48,10.55,9.55,9.64,6320298
SLGL,08-May-2024,9.74,9.96,8.95,9.71,22724626
SLGL,09-May-2024,9.80,10.29,9.50,9.84,11093008
SLGL,10-May-2024,9.91,9.91,9.12,9.28,3926912
SLGL,13-May-2024,9.39,9.84,9.24,9.44,3479078
SLGL,14-May-2024,9.42,9.60,9.29,9.35,556500
SLGL,15-May-2024,9.31,9.60,9.31,9.41,488709
SLGL,16-May-2024,9.30,9.50,9.20,9.28,493004
SLGL,17-May-2024,9.33,9.40,9.20,9.25,356134
SLGL,20-May-2024,9.29,9.29,8.99,9.01,420723
SLGL,21-May-2024,8.98,9.01,8.75,8.78,1221589
SLGL,22-May-2024,8.62,8.97,8.30,8.62,802613
SLGL,23-May-2024,8.70,9.57,8.69,9.41,4677385
SLGL,24-May-2024,9.52,9.65,9.16,9.23,1780981
SLGL,27-May-2024,9.10,9.14,8.90,8.96,918363
SLGL,29-May-2024,8.95,8.95,8.70,8.81,321906
SLGL,30-May-2024,8.80,9.05,8.79,8.94,224411
SLGL,31-May-2024,9.08,9.10,8.70,8.88,117141
SLGL,03-Jun-2024,9.00,9.00,8.65,8.95,266375
SLGL,04-Jun-2024,8.78,8.81,8.50,8.75,2083345
SLGL,05-Jun-2024,8.69,8.93,8.66,8.89,280548
SLGL,06-Jun-2024,8.89,9.45,8.72,8.95,1878870
SLGL,07-Jun-2024,9.01,9.01,8.70,8.83,208473
SLGL,10-Jun-2024,8.88,8.88,8.71,8.73,63846
SLGL,11-Jun-2024,8.89,8.89,8.55,8.61,84483
SLGL,12-Jun-2024,8.69,8.79,8.61,8.64,151319
SLGL,13-Jun-2024,8.50,8.88,8.50,8.55,1213626
SLGL,14-Jun-2024,8.85,8.85,8.40,8.47,420390
SLGL,20-Jun-2024,8.55,8.90,8.55,8.65,315139
SLGL,21-Jun-2024,8.79,8.85,8.53,8.59,149658
SLGL,24-Jun-2024,8.54,8.70,8.49,8.56,1812732
SLGL,25-Jun-2024,8.60,8.94,8.55,8.62,2002747
SLGL,26-Jun-2024,8.60,8.78,8.45,8.49,282452
SLGL,27-Jun-2024,8.41,8.68,8.40,8.58,39986
SLGL,28-Jun-2024,8.66,8.67,8.50,8.52,119703
