Symbol,Date,Open,High,Low,Close,Volume
SLL,21-Jan-2016,1.30,1.30,1.30,1.30,1000
SLL,22-Jan-2016,2.30,2.30,2.30,2.30,10000
SLL,25-Jan-2016,3.30,3.30,3.25,3.30,28500
SLL,26-Jan-2016,4.25,4.30,2.80,2.91,103000
SLL,27-Jan-2016,2.60,2.60,2.01,2.39,38500
SLL,28-Jan-2016,2.01,2.01,1.96,1.96,6500
SLL,29-Jan-2016,2.44,2.50,2.25,2.49,22500
SLL,01-Feb-2016,2.89,2.89,2.60,2.60,4500
SLL,02-Feb-2016,2.50,2.50,1.61,1.61,163000
SLL,03-Feb-2016,1.65,1.80,1.31,1.50,31500
SLL,04-Feb-2016,1.60,1.74,1.60,1.66,14000
SLL,08-Feb-2016,1.70,1.90,1.55,1.70,16500
SLL,09-Feb-2016,1.55,1.55,1.55,1.55,7000
SLL,10-Feb-2016,1.56,1.56,1.40,1.49,30000
SLL,11-Feb-2016,1.49,1.49,1.49,1.49,1000
SLL,15-Feb-2016,1.35,1.35,1.35,1.35,1000
SLL,16-Feb-2016,1.15,1.60,1.15,1.32,9000
SLL,17-Feb-2016,1.15,1.65,1.15,1.65,2500
SLL,18-Feb-2016,1.50,1.50,1.50,1.50,500
SLL,19-Feb-2016,1.30,1.30,1.30,1.30,500
SLL,22-Feb-2016,1.20,1.20,1.20,1.20,500
SLL,23-Feb-2016,1.25,1.25,1.23,1.25,10000
SLL,24-Feb-2016,1.20,1.20,1.20,1.20,500
SLL,25-Feb-2016,1.20,1.20,1.20,1.20,1000
SLL,29-Feb-2016,1.20,1.20,1.20,1.20,500
SLL,01-Mar-2016,1.05,1.38,1.05,1.38,411000
SLL,04-Mar-2016,1.50,1.55,1.40,1.41,19000
SLL,10-Mar-2016,1.20,1.20,1.20,1.20,6500
SLL,14-Mar-2016,1.79,1.79,1.79,1.79,500
SLL,15-Mar-2016,1.78,1.78,1.78,1.78,1500
SLL,16-Mar-2016,1.26,1.26,1.26,1.26,4500
SLL,17-Mar-2016,1.20,1.20,1.20,1.20,3000
SLL,18-Mar-2016,1.25,1.25,1.25,1.25,1000
SLL,21-Mar-2016,1.25,1.30,1.25,1.30,7000
SLL,22-Mar-2016,1.65,1.70,1.45,1.51,19500
SLL,28-Mar-2016,1.21,1.25,1.20,1.25,4000
SLL,29-Mar-2016,1.32,1.55,1.32,1.55,3500
SLL,30-Mar-2016,1.55,1.55,1.25,1.26,12500
SLL,04-Apr-2016,1.55,1.60,1.50,1.50,15000
SLL,05-Apr-2016,1.70,1.70,1.70,1.70,500
SLL,07-Apr-2016,1.50,1.65,1.50,1.65,4000
SLL,19-Apr-2016,1.60,1.65,1.60,1.65,5500
SLL,21-Apr-2016,1.26,1.26,1.20,1.23,6000
SLL,22-Apr-2016,1.30,1.59,1.30,1.33,16500
SLL,25-Apr-2016,1.50,1.50,1.25,1.25,3000
SLL,26-Apr-2016,1.30,1.60,1.30,1.45,1000
SLL,27-Apr-2016,1.59,1.59,1.55,1.58,14000
SLL,28-Apr-2016,1.55,1.55,1.20,1.20,12000
SLL,02-May-2016,1.25,1.25,1.25,1.25,2000
SLL,04-May-2016,1.24,1.32,1.05,1.30,339500
SLL,05-May-2016,1.25,1.25,1.25,1.25,1500
SLL,06-May-2016,1.25,1.25,1.15,1.19,51500
SLL,09-May-2016,1.25,2.19,1.25,1.38,845000
SLL,10-May-2016,1.27,1.39,1.25,1.39,36000
SLL,11-May-2016,1.26,1.34,1.26,1.34,5500
SLL,12-May-2016,1.30,1.30,1.30,1.30,500
SLL,13-May-2016,1.30,1.35,1.25,1.28,47000
SLL,16-May-2016,1.37,1.37,1.37,1.37,1500
