Symbol,Date,Open,High,Low,Close,Volume
SMCPL,01-Jan-2014,8.95,9.00,8.95,9.00,56500
SMCPL,02-Jan-2014,8.92,9.40,8.92,9.40,33000
SMCPL,08-Jan-2014,9.25,9.25,9.25,9.25,10000
SMCPL,16-Jan-2014,8.76,8.76,8.75,8.75,10000
SMCPL,17-Jan-2014,8.75,8.75,8.75,8.75,5000
SMCPL,24-Jan-2014,9.20,9.20,9.20,9.20,1000
SMCPL,28-Jan-2014,9.05,9.05,9.00,9.00,10000
SMCPL,29-Jan-2014,9.05,9.05,9.05,9.05,2500
SMCPL,30-Jan-2014,9.18,9.18,9.18,9.18,500
SMCPL,07-Feb-2014,8.90,9.00,8.90,9.00,1004500
SMCPL,10-Feb-2014,9.00,9.00,8.27,9.00,5500
SMCPL,11-Feb-2014,8.25,8.25,8.00,8.00,42000
SMCPL,12-Feb-2014,8.02,8.55,8.02,8.55,4500
SMCPL,20-Feb-2014,8.02,8.02,8.02,8.02,1000
SMCPL,27-Feb-2014,8.50,8.50,8.50,8.50,500
SMCPL,28-Feb-2014,8.25,8.25,8.25,8.25,3000
SMCPL,07-Mar-2014,8.25,8.25,8.25,8.25,500
SMCPL,10-Mar-2014,8.40,8.40,8.40,8.40,22000
SMCPL,11-Mar-2014,8.50,8.50,8.50,8.50,2500
SMCPL,12-Mar-2014,9.00,9.35,8.76,8.76,5000
SMCPL,17-Mar-2014,9.00,9.00,9.00,9.00,5000
SMCPL,18-Mar-2014,9.50,9.74,9.26,9.50,27000
SMCPL,19-Mar-2014,10.00,10.15,10.00,10.01,5500
SMCPL,20-Mar-2014,9.50,9.50,9.50,9.50,2000
SMCPL,21-Mar-2014,9.50,9.50,9.50,9.50,1500
SMCPL,24-Mar-2014,9.50,9.50,9.50,9.50,3500
SMCPL,25-Mar-2014,9.50,9.50,9.50,9.50,3500
SMCPL,26-Mar-2014,9.45,10.10,9.45,10.00,26000
SMCPL,27-Mar-2014,10.00,10.00,10.00,10.00,17500
SMCPL,28-Mar-2014,10.00,11.00,9.51,9.94,42500
SMCPL,31-Mar-2014,9.52,9.52,9.52,9.52,500
SMCPL,03-Apr-2014,9.55,9.55,9.51,9.51,2500
SMCPL,04-Apr-2014,9.55,9.55,9.51,9.51,2500
