Symbol,Date,Open,High,Low,Close,Volume
SMTM,01-Jan-2014,13.40,13.88,13.10,13.44,598500
SMTM,02-Jan-2014,13.35,13.50,12.70,13.18,309500
SMTM,03-Jan-2014,13.00,13.30,12.76,12.98,101000
SMTM,06-Jan-2014,12.32,13.24,12.32,13.00,100000
SMTM,07-Jan-2014,13.25,13.96,13.25,13.81,230000
SMTM,08-Jan-2014,13.87,13.95,13.65,13.77,79500
SMTM,09-Jan-2014,13.30,14.25,13.06,13.32,254000
SMTM,10-Jan-2014,13.22,13.50,13.20,13.40,63500
SMTM,13-Jan-2014,13.20,13.80,13.01,13.08,40000
SMTM,15-Jan-2014,12.50,13.20,12.50,12.81,102500
SMTM,16-Jan-2014,12.61,12.85,11.87,11.98,192000
SMTM,17-Jan-2014,12.80,12.80,11.55,12.21,22500
SMTM,20-Jan-2014,12.20,12.48,12.00,12.30,47000
SMTM,21-Jan-2014,12.25,12.68,12.25,12.58,71500
SMTM,22-Jan-2014,12.20,13.58,12.20,13.58,804000
SMTM,23-Jan-2014,14.25,14.58,14.10,14.58,289000
SMTM,24-Jan-2014,15.35,15.35,14.40,15.05,191000
SMTM,27-Jan-2014,14.60,15.25,14.26,14.50,108000
SMTM,28-Jan-2014,14.45,14.75,13.55,13.87,56500
SMTM,29-Jan-2014,13.95,14.45,13.30,14.26,121500
SMTM,30-Jan-2014,14.45,14.50,14.05,14.27,42500
SMTM,31-Jan-2014,14.00,14.00,14.00,14.00,12500
SMTM,03-Feb-2014,14.00,14.20,13.80,14.00,62000
SMTM,04-Feb-2014,13.80,13.99,13.50,13.99,7500
SMTM,06-Feb-2014,13.80,14.21,13.20,13.26,54000
SMTM,07-Feb-2014,13.25,13.25,13.20,13.24,10500
SMTM,10-Feb-2014,12.50,12.50,12.24,12.50,87500
SMTM,11-Feb-2014,12.50,12.50,12.50,12.50,25000
SMTM,12-Feb-2014,12.72,12.85,12.52,12.75,32000
