Symbol,Date,Open,High,Low,Close,Volume
SNAI,01-Jan-2014,70.88,71.50,70.88,71.50,19500
SNAI,02-Jan-2014,73.50,75.07,73.50,74.99,22000
SNAI,03-Jan-2014,78.00,78.73,78.00,78.73,18500
SNAI,06-Jan-2014,81.90,82.66,81.89,82.66,6000
SNAI,07-Jan-2014,86.79,86.79,86.79,86.79,2000
SNAI,08-Jan-2014,91.10,91.12,86.00,86.21,10500
SNAI,09-Jan-2014,82.02,84.76,81.90,81.90,3000
SNAI,10-Jan-2014,77.82,79.00,77.81,77.81,6500
SNAI,13-Jan-2014,78.50,78.50,78.50,78.50,500
SNAI,16-Jan-2014,77.00,77.00,77.00,78.50,500
SNAI,20-Jan-2014,80.00,82.42,79.00,82.42,7000
SNAI,21-Jan-2014,83.30,83.30,83.30,83.30,500
SNAI,22-Jan-2014,85.00,86.00,85.00,86.00,2500
SNAI,24-Jan-2014,86.00,89.00,86.00,89.00,5000
SNAI,28-Jan-2014,85.00,85.00,85.00,85.00,1000
SNAI,29-Jan-2014,82.00,82.00,82.00,82.00,2000
SNAI,30-Jan-2014,77.90,77.90,77.90,77.90,500
SNAI,31-Jan-2014,77.50,77.50,77.15,77.27,1500
SNAI,03-Feb-2014,78.00,79.00,78.00,79.00,2000
SNAI,04-Feb-2014,76.00,78.05,76.00,78.00,4500
SNAI,06-Feb-2014,80.00,80.00,80.00,78.00,500
SNAI,10-Feb-2014,78.00,78.00,76.00,76.00,1500
SNAI,11-Feb-2014,75.00,75.00,75.00,75.00,500
SNAI,12-Feb-2014,77.00,77.00,77.00,77.00,1000
SNAI,14-Feb-2014,75.00,75.00,75.00,75.00,1000
SNAI,17-Feb-2014,71.25,71.25,71.25,71.25,5000
SNAI,18-Feb-2014,67.69,69.00,67.69,67.75,7500
SNAI,19-Feb-2014,66.00,66.00,66.00,66.00,500
SNAI,20-Feb-2014,65.01,65.01,64.01,64.01,2000
SNAI,24-Feb-2014,66.00,67.21,66.00,67.21,26500
SNAI,25-Feb-2014,68.99,70.57,67.50,70.57,17500
SNAI,26-Feb-2014,69.15,70.99,68.00,70.99,5000
SNAI,27-Feb-2014,68.50,70.99,68.25,70.99,3000
SNAI,28-Feb-2014,74.40,74.40,72.70,72.70,2500
SNAI,03-Mar-2014,72.00,72.00,69.07,69.14,5500
SNAI,04-Mar-2014,69.99,69.99,69.20,69.20,1000
SNAI,05-Mar-2014,69.00,70.00,69.00,70.00,5500
SNAI,06-Mar-2014,71.99,73.50,71.99,73.50,12500
SNAI,07-Mar-2014,70.51,70.51,70.51,70.51,500
SNAI,10-Mar-2014,70.75,70.75,70.00,70.01,5000
SNAI,11-Mar-2014,70.00,70.50,70.00,70.00,3500
SNAI,12-Mar-2014,69.05,69.05,68.25,68.25,7500
SNAI,13-Mar-2014,68.55,68.55,68.51,68.53,1000
SNAI,17-Mar-2014,69.49,70.99,69.49,70.70,3500
SNAI,18-Mar-2014,70.50,71.00,70.50,71.00,1500
SNAI,21-Mar-2014,71.00,71.00,71.00,71.00,3000
SNAI,24-Mar-2014,71.00,73.80,71.00,73.20,3000
SNAI,26-Mar-2014,73.20,73.20,73.20,73.20,500
SNAI,27-Mar-2014,73.20,73.20,73.20,73.20,4000
SNAI,28-Mar-2014,73.20,73.20,73.20,73.20,500
SNAI,31-Mar-2014,73.00,73.00,70.10,70.10,2000
SNAI,03-Apr-2014,70.05,70.05,70.05,70.05,500
SNAI,04-Apr-2014,70.25,70.70,70.20,70.70,3000
SNAI,07-Apr-2014,70.50,70.50,70.30,70.50,4500
