Symbol,Date,Open,High,Low,Close,Volume
SNGP,01-Jan-2014,21.35,21.54,21.25,21.29,516500
SNGP,02-Jan-2014,21.42,21.94,21.35,21.71,1335500
SNGP,03-Jan-2014,21.75,22.20,21.60,22.01,2022500
SNGP,06-Jan-2014,22.19,22.35,21.90,21.94,1379000
SNGP,07-Jan-2014,22.08,22.10,21.67,21.73,231000
SNGP,08-Jan-2014,21.98,22.55,21.98,22.43,4254000
SNGP,09-Jan-2014,22.40,22.40,21.65,21.89,1318500
SNGP,10-Jan-2014,22.09,22.45,21.62,22.01,1519500
SNGP,13-Jan-2014,22.16,22.43,21.95,22.03,1284000
SNGP,15-Jan-2014,21.96,22.10,21.70,21.74,791500
SNGP,16-Jan-2014,21.96,21.96,21.25,21.43,1044500
SNGP,17-Jan-2014,21.45,22.10,21.30,22.03,2651000
SNGP,20-Jan-2014,22.13,22.56,22.10,22.28,2780000
SNGP,21-Jan-2014,22.45,22.50,22.06,22.24,912500
SNGP,22-Jan-2014,22.13,22.25,22.01,22.06,798000
SNGP,23-Jan-2014,22.20,22.39,21.90,22.00,883000
SNGP,24-Jan-2014,21.91,22.09,21.80,21.91,498000
SNGP,27-Jan-2014,22.00,22.00,21.58,21.76,495500
SNGP,28-Jan-2014,21.80,22.00,21.60,21.65,188000
SNGP,29-Jan-2014,21.75,21.90,21.60,21.69,278000
SNGP,30-Jan-2014,21.75,21.90,21.60,21.64,315500
SNGP,31-Jan-2014,21.70,21.95,21.61,21.63,672500
SNGP,03-Feb-2014,21.80,21.88,21.60,21.64,405000
SNGP,04-Feb-2014,21.51,21.75,21.50,21.55,389500
SNGP,06-Feb-2014,21.84,21.84,21.50,21.52,142500
SNGP,07-Feb-2014,21.51,21.60,21.40,21.42,131000
SNGP,10-Feb-2014,21.45,21.45,20.80,20.97,354500
SNGP,11-Feb-2014,20.86,20.99,20.60,20.72,247000
SNGP,12-Feb-2014,20.90,21.35,20.90,21.23,422000
SNGP,13-Feb-2014,21.35,21.35,20.73,20.88,650500
SNGP,14-Feb-2014,20.98,21.05,20.50,20.60,308500
SNGP,17-Feb-2014,20.50,20.74,19.92,20.02,821000
SNGP,18-Feb-2014,20.23,20.25,19.77,20.00,275000
SNGP,19-Feb-2014,20.00,20.25,20.00,20.02,183500
SNGP,20-Feb-2014,20.00,20.19,20.00,20.00,200000
SNGP,21-Feb-2014,20.15,20.20,19.95,20.10,383500
SNGP,24-Feb-2014,20.20,20.21,20.05,20.12,155500
SNGP,25-Feb-2014,20.19,20.21,20.01,20.12,271500
SNGP,26-Feb-2014,20.02,20.10,19.92,20.05,205000
SNGP,27-Feb-2014,20.00,20.10,19.80,20.01,293000
SNGP,28-Feb-2014,20.10,20.10,19.85,19.93,129000
SNGP,03-Mar-2014,20.01,20.25,19.95,20.06,282500
SNGP,04-Mar-2014,20.15,20.35,20.00,20.15,287500
SNGP,05-Mar-2014,20.01,20.38,20.00,20.08,394500
SNGP,06-Mar-2014,20.20,20.23,20.01,20.13,206500
SNGP,07-Mar-2014,20.20,20.25,20.00,20.09,254500
SNGP,10-Mar-2014,20.10,20.16,19.96,20.00,346000
SNGP,11-Mar-2014,20.00,20.64,19.97,20.53,2408500
SNGP,12-Mar-2014,20.64,21.34,20.64,20.99,1637000
SNGP,13-Mar-2014,20.90,21.20,20.50,20.58,858500
SNGP,14-Mar-2014,20.75,20.89,20.55,20.57,97000
SNGP,17-Mar-2014,21.00,21.59,21.00,21.59,990500
SNGP,18-Mar-2014,22.50,22.50,22.06,22.20,3342500
SNGP,19-Mar-2014,22.29,23.31,21.83,23.28,7956500
SNGP,20-Mar-2014,23.60,23.85,22.65,23.44,7743500
SNGP,21-Mar-2014,23.43,24.25,23.13,23.92,4441000
SNGP,24-Mar-2014,24.00,24.00,23.21,23.39,1573000
SNGP,25-Mar-2014,23.00,23.60,22.92,23.01,1725000
SNGP,26-Mar-2014,23.00,23.20,22.77,22.86,541500
SNGP,27-Mar-2014,22.96,23.15,22.40,22.55,1232500
SNGP,28-Mar-2014,22.55,22.77,22.00,22.11,763000
SNGP,31-Mar-2014,22.02,22.75,22.02,22.40,763000
SNGP,01-Apr-2014,22.35,22.55,22.26,22.40,197500
SNGP,02-Apr-2014,22.42,22.63,22.36,22.50,452500
SNGP,03-Apr-2014,22.50,23.18,22.45,22.83,1634500
SNGP,04-Apr-2014,22.77,23.21,22.46,22.65,1314500
SNGP,07-Apr-2014,22.66,23.20,22.41,22.79,3639500
SNGP,08-Apr-2014,22.86,22.90,22.39,22.43,1183000
SNGP,09-Apr-2014,22.30,22.87,22.30,22.77,1576000
SNGP,10-Apr-2014,22.93,23.20,22.70,22.96,2901500
SNGP,11-Apr-2014,22.96,23.40,22.75,23.02,3177000
SNGP,14-Apr-2014,22.86,23.74,22.86,23.46,3609500
SNGP,15-Apr-2014,23.50,23.95,23.25,23.28,2407000
SNGP,16-Apr-2014,23.31,23.99,23.31,23.87,3347000
SNGP,17-Apr-2014,23.70,23.93,23.25,23.41,1608000
SNGP,18-Apr-2014,23.49,23.88,23.30,23.55,1300500
SNGP,21-Apr-2014,23.32,23.89,23.31,23.61,1002500
SNGP,22-Apr-2014,23.52,23.99,23.52,23.70,1852000
SNGP,23-Apr-2014,23.85,23.90,23.00,23.21,2555000
SNGP,24-Apr-2014,23.47,23.84,23.10,23.23,2276000
SNGP,25-Apr-2014,23.10,23.35,23.03,23.17,690000
SNGP,28-Apr-2014,23.15,23.40,23.15,23.25,550000
SNGP,29-Apr-2014,23.26,23.39,22.25,22.41,1253000
SNGP,30-Apr-2014,22.50,22.85,22.50,22.74,357000
SNGP,02-May-2014,23.10,23.35,22.81,23.03,685000
SNGP,05-May-2014,22.75,23.18,22.75,23.06,319500
SNGP,06-May-2014,22.81,22.90,22.75,22.78,65500
SNGP,07-May-2014,22.80,23.20,22.57,23.01,911500
SNGP,08-May-2014,23.01,23.15,22.61,22.69,314000
SNGP,09-May-2014,22.80,22.85,22.50,22.73,195500
SNGP,12-May-2014,22.99,22.99,22.44,22.49,203000
SNGP,13-May-2014,22.69,22.78,22.40,22.58,117000
SNGP,14-May-2014,22.55,22.96,22.55,22.84,305000
SNGP,15-May-2014,22.90,23.25,22.75,22.95,1933500
SNGP,16-May-2014,23.20,23.20,22.72,22.89,231000
SNGP,19-May-2014,23.15,23.40,22.85,22.89,477000
SNGP,20-May-2014,22.80,23.00,22.50,22.60,596000
SNGP,21-May-2014,22.79,22.85,22.45,22.74,666500
SNGP,22-May-2014,22.97,22.97,22.57,22.66,170500
SNGP,23-May-2014,22.92,22.92,22.43,22.51,151500
SNGP,26-May-2014,22.52,22.65,22.32,22.38,241000
SNGP,27-May-2014,22.32,22.45,22.10,22.21,414500
SNGP,28-May-2014,22.16,22.25,21.82,21.93,679500
