Symbol,Date,Open,High,Low,Close,Volume
SPEL,11-Feb-2015,33.06,33.06,33.06,33.06,3000
SPEL,12-Feb-2015,34.71,34.71,34.17,34.71,1115000
SPEL,13-Feb-2015,36.44,36.44,36.44,36.44,944000
SPEL,16-Feb-2015,38.26,38.26,34.99,36.08,1806500
SPEL,17-Feb-2015,35.51,36.10,35.16,35.99,525500
SPEL,18-Feb-2015,35.52,37.00,35.50,36.54,462000
SPEL,19-Feb-2015,36.30,38.36,36.30,38.33,3122500
SPEL,20-Feb-2015,39.14,40.24,38.81,40.24,1845000
SPEL,23-Feb-2015,41.90,42.25,41.50,42.25,239000
SPEL,24-Feb-2015,44.10,44.36,43.00,43.72,1336000
SPEL,25-Feb-2015,44.20,45.90,42.00,45.90,1463000
SPEL,26-Feb-2015,45.11,48.00,45.11,47.33,734000
SPEL,27-Feb-2015,47.50,48.45,44.97,47.02,1055500
SPEL,02-Mar-2015,46.50,46.85,44.55,45.55,417000
SPEL,03-Mar-2015,45.00,46.89,44.54,45.75,657500
SPEL,04-Mar-2015,45.90,47.10,45.90,46.59,647000
SPEL,05-Mar-2015,46.51,48.91,46.51,48.91,831000
SPEL,06-Mar-2015,51.23,51.35,51.00,51.35,131000
SPEL,09-Mar-2015,53.91,53.91,51.50,53.49,1160500
SPEL,10-Mar-2015,55.11,56.16,54.00,56.16,432500
SPEL,11-Mar-2015,58.96,58.96,56.90,58.96,1334000
SPEL,12-Mar-2015,59.88,61.90,59.88,61.54,1604500
SPEL,13-Mar-2015,61.54,64.61,60.10,64.25,1303000
SPEL,16-Mar-2015,65.00,65.00,61.04,61.04,288000
SPEL,17-Mar-2015,57.99,57.99,57.99,57.99,4500
SPEL,18-Mar-2015,55.10,56.50,55.10,55.10,934000
SPEL,19-Mar-2015,54.48,54.74,52.65,53.05,569500
SPEL,20-Mar-2015,53.75,54.44,53.01,53.27,188500
SPEL,24-Mar-2015,53.80,54.00,51.10,52.03,332000
SPEL,25-Mar-2015,52.01,52.01,49.43,50.90,267000
SPEL,26-Mar-2015,51.50,51.50,48.36,48.36,272000
SPEL,27-Mar-2015,46.71,49.27,45.96,48.49,451500
SPEL,30-Mar-2015,47.50,47.51,46.07,46.79,1003500
SPEL,31-Mar-2015,47.99,49.12,47.10,49.12,51500
SPEL,01-Apr-2015,51.48,51.57,49.00,51.57,183000
SPEL,02-Apr-2015,53.80,54.14,53.00,54.14,131500
SPEL,03-Apr-2015,56.84,56.84,56.84,56.84,60000
SPEL,06-Apr-2015,59.68,59.68,59.68,59.68,124500
SPEL,07-Apr-2015,61.89,62.40,56.70,58.27,591500
SPEL,08-Apr-2015,58.00,58.40,55.55,56.73,163000
SPEL,09-Apr-2015,57.00,58.30,56.33,57.17,170000
SPEL,10-Apr-2015,56.15,57.89,55.25,55.75,159000
SPEL,13-Apr-2015,56.00,57.74,54.60,55.31,186000
SPEL,14-Apr-2015,54.02,55.75,53.45,53.63,60000
SPEL,15-Apr-2015,52.16,54.00,51.80,51.98,66000
SPEL,16-Apr-2015,51.50,54.10,51.50,53.76,391500
SPEL,17-Apr-2015,54.98,54.98,52.07,52.49,83500
SPEL,20-Apr-2015,54.25,54.25,51.00,52.80,134500
SPEL,21-Apr-2015,52.00,52.00,50.16,50.37,83000
SPEL,22-Apr-2015,49.15,51.50,49.15,50.76,33000
SPEL,23-Apr-2015,50.50,53.29,50.25,53.17,273500
SPEL,24-Apr-2015,53.45,55.40,51.75,54.35,664500
SPEL,27-Apr-2015,53.25,53.90,52.76,53.34,63500
SPEL,28-Apr-2015,53.00,53.00,50.70,51.16,74500
SPEL,29-Apr-2015,51.57,51.57,49.81,50.00,108000
SPEL,30-Apr-2015,50.30,51.00,50.01,50.38,36500
SPEL,04-May-2015,48.60,51.40,48.60,49.10,37500
SPEL,05-May-2015,48.10,48.40,48.02,48.09,16000
SPEL,06-May-2015,48.50,49.80,48.00,49.50,43000
SPEL,07-May-2015,49.03,49.40,48.50,48.98,69000
SPEL,08-May-2015,48.01,50.00,48.01,49.47,42000
SPEL,11-May-2015,49.89,49.89,47.16,47.43,66500
SPEL,12-May-2015,46.73,49.80,45.23,49.63,170000
SPEL,13-May-2015,49.40,49.50,48.02,48.43,20000
SPEL,14-May-2015,47.30,50.85,47.30,50.85,259500
SPEL,15-May-2015,50.00,52.00,49.52,51.62,204500
SPEL,18-May-2015,51.01,51.49,49.04,49.12,73500
SPEL,19-May-2015,50.00,50.00,48.85,49.00,38000
SPEL,20-May-2015,49.00,49.00,48.00,48.09,143000
SPEL,21-May-2015,49.40,49.40,45.69,46.07,116500
SPEL,22-May-2015,47.00,47.49,46.25,47.13,646500
SPEL,25-May-2015,46.60,47.80,46.51,47.15,36500
SPEL,26-May-2015,46.70,47.20,46.70,47.00,3000
SPEL,27-May-2015,46.99,47.50,46.75,47.47,29000
SPEL,28-May-2015,48.00,48.00,47.00,47.05,23000
SPEL,29-May-2015,47.00,47.00,46.46,46.83,7500
SPEL,01-Jun-2015,46.60,47.60,46.60,47.54,192500
SPEL,02-Jun-2015,47.49,47.50,47.00,47.01,40500
SPEL,03-Jun-2015,46.99,47.00,46.68,46.80,9000
SPEL,04-Jun-2015,46.99,46.99,46.32,46.63,20000
SPEL,05-Jun-2015,46.70,47.13,46.00,46.56,17500
