Symbol,Date,Open,High,Low,Close,Volume
SPWL,15-Dec-2014,31.50,31.50,31.50,31.50,3500
SPWL,16-Dec-2014,33.07,33.07,33.07,33.07,7500
SPWL,17-Dec-2014,34.72,34.72,34.00,34.72,2116500
SPWL,18-Dec-2014,36.45,36.45,34.86,35.36,3737500
SPWL,19-Dec-2014,35.00,35.20,33.80,34.11,2575500
SPWL,22-Dec-2014,34.00,34.44,33.50,34.10,1914000
SPWL,23-Dec-2014,34.00,34.45,33.75,34.09,585500
SPWL,24-Dec-2014,34.15,35.79,34.02,35.79,2372000
SPWL,26-Dec-2014,36.30,36.30,34.90,35.02,2847000
SPWL,29-Dec-2014,35.10,35.73,34.88,35.58,1321000
SPWL,30-Dec-2014,35.61,36.59,35.10,36.20,3970000
SPWL,31-Dec-2014,36.50,37.00,36.00,36.92,1642500
SPWL,01-Jan-2015,37.25,38.45,37.11,38.25,1762500
SPWL,02-Jan-2015,38.55,39.25,38.26,38.62,2440500
SPWL,05-Jan-2015,39.00,39.40,38.22,38.40,807000
SPWL,06-Jan-2015,38.50,38.50,37.50,37.70,345500
SPWL,07-Jan-2015,37.72,38.75,37.46,38.49,910000
SPWL,08-Jan-2015,38.50,40.41,38.50,40.24,3353500
SPWL,09-Jan-2015,40.50,40.99,39.81,40.38,980000
SPWL,12-Jan-2015,40.10,40.30,39.60,40.11,990500
SPWL,13-Jan-2015,38.98,39.00,38.00,38.06,550000
SPWL,14-Jan-2015,38.02,39.30,38.00,38.65,914500
SPWL,15-Jan-2015,38.95,39.05,38.13,38.25,342500
SPWL,16-Jan-2015,38.58,38.60,37.99,38.02,267500
SPWL,19-Jan-2015,38.10,38.20,37.40,37.50,462500
SPWL,20-Jan-2015,37.25,37.25,36.25,36.62,624000
SPWL,21-Jan-2015,36.51,37.99,36.51,37.90,716000
SPWL,22-Jan-2015,37.30,38.50,37.25,38.14,1311000
SPWL,23-Jan-2015,38.20,38.50,38.00,38.39,348500
SPWL,26-Jan-2015,39.02,40.30,38.26,40.30,1364500
SPWL,27-Jan-2015,40.60,40.68,40.00,40.48,718000
SPWL,28-Jan-2015,40.95,40.99,40.50,40.58,526000
SPWL,29-Jan-2015,40.50,40.70,40.25,40.50,232000
SPWL,30-Jan-2015,40.01,40.84,40.01,40.50,645000
SPWL,02-Feb-2015,40.50,41.30,40.50,40.99,794500
SPWL,03-Feb-2015,40.80,41.18,40.05,40.22,1020000
SPWL,04-Feb-2015,40.70,40.90,40.00,40.34,842000
SPWL,06-Feb-2015,40.40,40.94,40.17,40.32,387500
SPWL,09-Feb-2015,40.27,42.00,39.93,41.63,1208500
SPWL,10-Feb-2015,41.70,41.70,39.60,40.52,1171500
SPWL,11-Feb-2015,40.90,40.90,40.00,40.13,579000
SPWL,12-Feb-2015,40.01,41.00,40.00,40.75,1186000
SPWL,13-Feb-2015,40.71,41.25,40.20,40.83,612500
SPWL,16-Feb-2015,40.49,40.49,39.81,40.39,284000
SPWL,17-Feb-2015,40.35,40.35,39.70,39.99,178500
SPWL,18-Feb-2015,40.00,40.48,39.50,40.37,207000
SPWL,19-Feb-2015,40.00,40.38,39.80,40.02,95500
SPWL,20-Feb-2015,40.01,41.10,40.01,40.98,1947500
SPWL,23-Feb-2015,41.39,41.50,40.20,40.27,64000
SPWL,24-Feb-2015,40.10,40.50,40.03,40.10,52500
SPWL,25-Feb-2015,40.01,40.50,39.80,39.85,98000
SPWL,26-Feb-2015,40.00,40.00,39.25,39.31,109000
SPWL,27-Feb-2015,39.92,39.92,38.93,39.01,52500
SPWL,02-Mar-2015,38.50,39.25,38.37,39.03,77000
SPWL,03-Mar-2015,39.50,39.50,39.00,39.36,89000
SPWL,04-Mar-2015,39.11,40.10,39.11,40.04,178000
SPWL,05-Mar-2015,40.01,40.20,39.90,40.07,36500
SPWL,06-Mar-2015,40.10,40.25,40.00,40.13,161500
SPWL,09-Mar-2015,40.00,40.89,40.00,40.00,70500
SPWL,10-Mar-2015,40.00,40.18,40.00,40.01,209000
SPWL,11-Mar-2015,39.50,39.84,39.30,39.76,42000
SPWL,12-Mar-2015,39.60,40.50,39.50,40.10,122500
SPWL,13-Mar-2015,39.80,40.00,39.61,39.74,24500
SPWL,16-Mar-2015,39.54,40.00,39.26,39.34,65000
SPWL,17-Mar-2015,39.32,39.40,39.03,39.38,48000
SPWL,18-Mar-2015,39.10,39.30,38.51,39.00,190500
SPWL,19-Mar-2015,37.35,38.49,37.35,38.12,38500
SPWL,20-Mar-2015,38.39,38.79,38.35,38.58,35500
SPWL,24-Mar-2015,38.97,39.00,37.76,37.76,73500
SPWL,25-Mar-2015,37.50,37.79,37.28,37.29,27000
SPWL,26-Mar-2015,36.52,37.49,35.51,35.84,118000
SPWL,27-Mar-2015,36.00,36.10,35.21,35.59,59500
SPWL,30-Mar-2015,34.51,34.80,33.82,34.12,396000
SPWL,31-Mar-2015,33.01,35.82,33.01,35.82,30500
SPWL,01-Apr-2015,36.03,37.61,36.00,37.55,171000
SPWL,02-Apr-2015,38.55,39.42,38.00,39.34,153000
SPWL,03-Apr-2015,40.20,40.20,38.51,38.81,540500
SPWL,06-Apr-2015,38.55,39.15,38.50,38.60,105000
SPWL,07-Apr-2015,38.32,38.40,37.51,37.61,88500
SPWL,08-Apr-2015,37.75,38.15,37.58,37.69,35500
SPWL,09-Apr-2015,37.61,37.89,37.50,37.63,133500
SPWL,10-Apr-2015,37.48,38.20,37.30,37.62,79500
SPWL,13-Apr-2015,38.71,38.71,37.31,37.56,43000
SPWL,14-Apr-2015,37.00,39.43,37.00,38.85,335000
SPWL,15-Apr-2015,39.15,39.70,39.00,39.03,139500
SPWL,16-Apr-2015,39.39,39.39,39.00,39.21,160500
SPWL,17-Apr-2015,39.60,40.80,39.15,40.11,426500
SPWL,20-Apr-2015,41.00,41.44,40.00,40.21,533500
SPWL,21-Apr-2015,40.12,40.12,38.60,39.37,136000
SPWL,22-Apr-2015,39.50,40.20,39.50,39.96,239000
SPWL,23-Apr-2015,39.96,40.10,39.60,39.73,208000
SPWL,24-Apr-2015,39.50,40.19,39.50,40.02,204500
SPWL,27-Apr-2015,40.35,40.50,40.00,40.38,217000
SPWL,28-Apr-2015,40.30,40.49,39.90,40.25,211500
SPWL,29-Apr-2015,40.60,40.60,39.95,39.98,194500
SPWL,30-Apr-2015,40.00,40.00,39.80,39.95,96000
SPWL,04-May-2015,39.39,39.39,37.55,37.68,104000
SPWL,05-May-2015,37.50,37.75,37.50,37.73,56500
SPWL,06-May-2015,37.56,37.80,37.50,37.70,37500
SPWL,07-May-2015,37.21,38.00,37.21,37.55,54000
SPWL,08-May-2015,37.50,37.78,37.50,37.52,54000
SPWL,11-May-2015,37.45,37.50,36.80,36.85,74000
SPWL,12-May-2015,36.80,37.20,36.50,36.90,48000
SPWL,13-May-2015,37.00,37.25,36.85,36.88,38500
SPWL,14-May-2015,36.99,38.70,36.90,38.01,5393500
SPWL,15-May-2015,38.50,38.50,37.60,37.69,27000
SPWL,18-May-2015,37.99,37.99,37.50,37.50,9000
SPWL,19-May-2015,37.97,37.98,37.20,37.40,14000
SPWL,20-May-2015,37.00,37.30,37.00,37.30,9500
SPWL,21-May-2015,37.10,37.10,37.00,37.05,6000
SPWL,22-May-2015,37.05,37.45,36.60,36.87,53000
SPWL,25-May-2015,38.44,38.71,37.52,38.03,140500
SPWL,26-May-2015,37.81,38.00,37.50,37.50,26500
SPWL,27-May-2015,37.99,38.00,37.30,37.56,17000
SPWL,28-May-2015,37.35,37.55,37.35,37.40,20000
SPWL,29-May-2015,37.39,37.79,37.39,37.59,22000
SPWL,01-Jun-2015,37.65,37.90,37.50,37.51,50500
SPWL,02-Jun-2015,37.52,38.10,37.35,37.75,90500
SPWL,03-Jun-2015,38.09,38.09,37.55,37.60,10500
SPWL,04-Jun-2015,37.84,37.85,37.52,37.60,32500
SPWL,05-Jun-2015,37.50,38.05,37.50,37.79,35500
SPWL,08-Jun-2015,36.40,38.00,36.40,37.95,45500
SPWL,09-Jun-2015,37.99,38.50,37.50,38.22,96500
SPWL,10-Jun-2015,38.50,38.50,37.76,37.99,78500
SPWL,11-Jun-2015,38.00,38.45,38.00,38.20,48500
SPWL,12-Jun-2015,38.20,38.50,38.00,38.18,76000
SPWL,15-Jun-2015,39.00,39.00,37.99,38.16,90000
SPWL,16-Jun-2015,38.30,38.30,37.50,37.66,2363500
SPWL,17-Jun-2015,38.00,38.45,37.50,37.79,59000
SPWL,18-Jun-2015,37.20,38.00,37.20,37.82,45000
SPWL,19-Jun-2015,37.45,38.00,37.45,37.77,67000
SPWL,22-Jun-2015,37.15,37.97,37.01,37.55,63500
SPWL,23-Jun-2015,37.75,38.25,37.33,37.79,183000
SPWL,24-Jun-2015,37.50,38.00,37.50,37.90,55500
SPWL,25-Jun-2015,37.51,38.00,37.41,37.49,59500
SPWL,26-Jun-2015,37.15,37.85,36.50,36.88,3336000
SPWL,29-Jun-2015,37.20,37.48,37.00,37.10,38500
SPWL,30-Jun-2015,37.11,37.50,37.11,37.30,35000
SPWL,01-Jul-2015,37.49,38.98,37.49,38.01,232500
SPWL,02-Jul-2015,37.90,38.25,37.86,38.04,83500
SPWL,03-Jul-2015,37.61,38.00,37.60,37.95,20500
SPWL,06-Jul-2015,38.00,38.10,37.50,37.73,209500
SPWL,07-Jul-2015,37.55,38.40,37.50,38.00,6170500
SPWL,08-Jul-2015,38.30,38.50,38.10,38.40,5373000
SPWL,09-Jul-2015,38.40,38.50,38.01,38.21,980500
SPWL,10-Jul-2015,38.11,38.34,37.80,38.06,112500
SPWL,13-Jul-2015,38.20,38.20,37.81,38.00,19000
SPWL,14-Jul-2015,37.50,38.20,37.50,37.82,53000
SPWL,15-Jul-2015,38.00,38.05,37.86,37.91,27000
SPWL,16-Jul-2015,37.72,38.08,37.60,37.93,111000
SPWL,22-Jul-2015,38.00,38.00,37.57,38.00,55000
SPWL,23-Jul-2015,38.00,38.07,37.90,37.92,50000
SPWL,24-Jul-2015,37.62,38.00,37.62,37.90,36000
SPWL,27-Jul-2015,37.62,37.90,37.30,37.40,20000
SPWL,28-Jul-2015,37.12,37.40,37.11,37.21,40500
SPWL,29-Jul-2015,37.50,37.50,37.18,37.19,48000
SPWL,30-Jul-2015,37.18,37.46,36.82,36.99,90500
SPWL,31-Jul-2015,37.00,37.01,36.75,37.01,28000
SPWL,03-Aug-2015,37.01,37.15,36.76,36.76,30000
SPWL,04-Aug-2015,36.80,37.00,36.75,36.88,91000
SPWL,05-Aug-2015,37.00,37.10,36.80,36.83,40500
SPWL,06-Aug-2015,37.00,37.14,36.80,36.95,42000
SPWL,07-Aug-2015,37.00,37.31,36.90,37.12,41000
SPWL,10-Aug-2015,37.45,37.45,37.00,37.17,41000
SPWL,11-Aug-2015,37.19,37.30,37.00,37.06,39000
SPWL,12-Aug-2015,37.34,37.35,36.81,36.89,73500
SPWL,13-Aug-2015,37.00,37.33,36.99,37.24,78500
SPWL,17-Aug-2015,37.02,37.35,37.02,37.17,28000
SPWL,18-Aug-2015,37.01,37.30,36.81,37.23,39000
SPWL,19-Aug-2015,37.25,37.65,37.02,37.03,523500
SPWL,20-Aug-2015,37.01,37.15,36.81,36.95,29500
SPWL,21-Aug-2015,36.94,36.94,35.87,36.10,194000
SPWL,24-Aug-2015,35.20,35.20,34.30,34.41,110500
SPWL,25-Aug-2015,34.00,35.98,34.00,35.04,82500
SPWL,26-Aug-2015,34.55,35.20,34.00,34.06,66000
SPWL,27-Aug-2015,34.15,34.50,34.01,34.23,50500
SPWL,28-Aug-2015,34.90,34.90,34.35,34.54,21500
SPWL,31-Aug-2015,34.61,34.80,34.50,34.70,40500
SPWL,01-Sep-2015,34.35,34.35,34.00,34.15,58500
SPWL,02-Sep-2015,33.31,34.30,33.31,34.05,4000
SPWL,03-Sep-2015,33.50,34.24,33.50,34.20,19500
SPWL,04-Sep-2015,34.10,34.19,33.76,34.06,34000
SPWL,07-Sep-2015,33.36,33.99,33.19,33.63,50000
SPWL,08-Sep-2015,33.00,33.95,32.11,33.86,89500
SPWL,09-Sep-2015,34.00,34.10,33.85,33.88,30000
SPWL,10-Sep-2015,33.73,33.73,33.05,33.25,34000
SPWL,11-Sep-2015,33.30,33.50,33.15,33.15,38000
SPWL,14-Sep-2015,33.15,33.15,32.50,33.00,11500
SPWL,15-Sep-2015,32.35,33.00,32.35,33.00,9500
SPWL,16-Sep-2015,33.50,33.50,32.72,32.81,16000
SPWL,17-Sep-2015,33.01,33.48,32.80,33.00,15000
SPWL,18-Sep-2015,33.40,33.40,32.75,32.97,10000
SPWL,21-Sep-2015,32.70,33.00,32.70,32.70,1500
SPWL,22-Sep-2015,32.80,33.08,32.80,33.08,9500
SPWL,23-Sep-2015,32.65,33.23,32.60,33.00,83000
SPWL,28-Sep-2015,33.00,33.00,32.45,32.63,19000
SPWL,29-Sep-2015,32.11,32.45,32.00,32.26,30500
SPWL,30-Sep-2015,32.50,32.77,32.50,32.55,111500
SPWL,01-Oct-2015,32.22,32.85,32.22,32.35,237000
SPWL,02-Oct-2015,32.50,32.85,32.20,32.81,75500
SPWL,05-Oct-2015,32.70,33.00,32.56,32.80,17500
SPWL,06-Oct-2015,33.00,33.25,33.00,33.10,36000
SPWL,07-Oct-2015,33.00,34.10,33.00,34.01,160500
SPWL,08-Oct-2015,34.00,34.50,34.00,34.50,30000
SPWL,09-Oct-2015,34.70,34.70,34.25,34.25,28000
SPWL,12-Oct-2015,34.10,35.10,34.10,35.05,64000
SPWL,13-Oct-2015,35.40,35.40,34.50,35.00,54500
SPWL,14-Oct-2015,35.00,35.25,34.66,35.14,132000
SPWL,15-Oct-2015,35.00,36.89,35.00,36.01,380000
SPWL,16-Oct-2015,36.00,36.00,35.50,35.60,18000
SPWL,19-Oct-2015,35.01,35.75,35.01,35.35,13500
SPWL,20-Oct-2015,35.50,35.70,35.10,35.40,22500
SPWL,21-Oct-2015,34.51,36.00,34.51,35.70,54500
SPWL,22-Oct-2015,35.70,36.07,35.40,36.03,43500
SPWL,26-Oct-2015,35.90,36.06,35.70,36.00,52500
SPWL,27-Oct-2015,35.90,36.27,35.70,36.01,109500
SPWL,28-Oct-2015,36.00,36.50,36.00,36.26,37500
SPWL,29-Oct-2015,36.50,36.57,36.00,36.28,26500
SPWL,30-Oct-2015,36.06,36.70,36.06,36.43,16500
SPWL,02-Nov-2015,36.60,36.65,36.16,36.48,397500
SPWL,03-Nov-2015,36.50,36.50,36.10,36.10,15000
SPWL,04-Nov-2015,36.30,36.50,36.15,36.45,30000
SPWL,05-Nov-2015,34.56,35.49,34.50,35.10,19500
SPWL,06-Nov-2015,35.45,35.45,35.00,35.01,2500
SPWL,09-Nov-2015,35.00,35.39,34.55,34.95,13000
SPWL,10-Nov-2015,34.53,34.99,34.51,34.61,9500
SPWL,11-Nov-2015,34.42,34.50,34.35,34.50,44500
SPWL,12-Nov-2015,34.50,34.85,34.50,34.80,17500
SPWL,13-Nov-2015,34.55,35.00,34.55,34.72,7500
SPWL,16-Nov-2015,34.75,35.00,34.75,34.99,27000
SPWL,17-Nov-2015,34.90,34.90,34.70,34.73,30000
SPWL,18-Nov-2015,34.75,34.80,34.71,34.75,31500
SPWL,19-Nov-2015,34.50,34.75,34.50,34.60,20500
SPWL,20-Nov-2015,34.35,34.50,34.26,34.50,7000
SPWL,23-Nov-2015,34.26,34.75,34.25,34.50,10000
SPWL,24-Nov-2015,34.27,34.27,34.00,34.02,16000
SPWL,25-Nov-2015,34.02,34.02,33.52,33.60,14500
SPWL,26-Nov-2015,33.99,34.00,33.60,33.90,8000
SPWL,27-Nov-2015,33.50,33.55,33.50,33.50,12000
SPWL,30-Nov-2015,33.50,33.50,33.00,33.01,34500
SPWL,01-Dec-2015,33.01,33.50,33.00,33.00,18500
SPWL,02-Dec-2015,33.39,33.50,33.00,33.11,33500
SPWL,03-Dec-2015,33.30,33.50,33.25,33.25,17000
SPWL,04-Dec-2015,33.50,33.75,33.50,33.75,4000
SPWL,07-Dec-2015,33.95,34.25,33.65,34.08,7500
SPWL,08-Dec-2015,34.00,34.40,33.80,33.80,8500
SPWL,09-Dec-2015,33.51,34.00,33.51,33.90,4500
SPWL,10-Dec-2015,33.70,34.00,33.62,33.71,510000
SPWL,11-Dec-2015,34.49,34.49,33.53,33.82,26000
SPWL,14-Dec-2015,34.00,34.00,33.10,33.10,22000
SPWL,15-Dec-2015,32.66,33.66,32.66,32.91,14000
SPWL,16-Dec-2015,32.91,33.50,32.76,33.19,17500
SPWL,17-Dec-2015,33.30,33.40,33.21,33.34,6500
SPWL,18-Dec-2015,33.06,33.10,32.56,33.00,15000
SPWL,21-Dec-2015,32.75,33.30,32.75,32.85,18000
SPWL,22-Dec-2015,32.78,32.85,32.78,32.85,2500
SPWL,23-Dec-2015,32.81,33.00,32.81,32.85,5500
SPWL,28-Dec-2015,31.95,32.85,31.95,32.85,14500
SPWL,29-Dec-2015,32.20,32.57,32.20,32.29,82500
SPWL,30-Dec-2015,32.79,32.79,32.50,32.58,5500
SPWL,31-Dec-2015,32.27,32.75,32.27,32.75,2000
SPWL,01-Jan-2016,32.01,32.60,32.01,32.50,3500
SPWL,04-Jan-2016,32.60,32.70,32.40,32.40,37000
SPWL,05-Jan-2016,32.00,32.50,32.00,32.50,6000
SPWL,06-Jan-2016,32.08,32.49,32.05,32.30,6000
SPWL,07-Jan-2016,32.00,32.90,32.00,32.65,5000
SPWL,08-Jan-2016,32.45,32.45,32.10,32.25,4000
SPWL,11-Jan-2016,32.02,32.20,32.01,32.04,6500
SPWL,12-Jan-2016,32.04,32.04,32.02,32.02,4000
SPWL,13-Jan-2016,32.00,32.40,31.80,31.94,50000
SPWL,14-Jan-2016,31.90,31.90,30.75,31.05,15500
SPWL,15-Jan-2016,30.81,31.00,30.81,30.93,6500
SPWL,18-Jan-2016,30.10,30.10,29.50,29.75,45000
SPWL,19-Jan-2016,30.00,30.50,29.87,30.29,26000
SPWL,20-Jan-2016,30.15,30.15,29.60,30.00,5500
SPWL,21-Jan-2016,29.65,30.19,29.65,30.01,10000
SPWL,22-Jan-2016,30.50,30.99,30.25,30.75,7000
SPWL,25-Jan-2016,30.30,30.75,30.30,30.57,2500
SPWL,26-Jan-2016,30.36,30.60,30.36,30.50,17000
SPWL,27-Jan-2016,30.60,30.60,30.25,30.50,12000
SPWL,28-Jan-2016,30.50,30.75,30.50,30.56,11500
SPWL,29-Jan-2016,31.89,31.89,30.13,30.31,9500
SPWL,01-Feb-2016,30.50,30.74,30.31,30.62,6000
SPWL,02-Feb-2016,30.25,30.51,30.25,30.51,14000
SPWL,03-Feb-2016,30.50,30.89,30.50,30.75,8000
SPWL,04-Feb-2016,30.90,30.90,30.53,30.85,4500
SPWL,08-Feb-2016,30.20,30.84,30.15,30.45,6500
SPWL,09-Feb-2016,30.30,30.98,30.30,30.36,6500
SPWL,10-Feb-2016,30.10,30.25,30.10,30.15,7500
SPWL,11-Feb-2016,30.00,30.48,29.70,30.00,7000
SPWL,12-Feb-2016,30.00,30.00,29.60,30.00,4500
SPWL,15-Feb-2016,29.65,30.00,29.40,29.41,17000
SPWL,16-Feb-2016,29.50,29.52,29.40,29.45,12000
SPWL,17-Feb-2016,29.11,29.25,29.11,29.25,27500
SPWL,18-Feb-2016,29.20,29.50,29.15,29.21,3500
SPWL,19-Feb-2016,29.00,29.00,28.56,29.00,2000
SPWL,22-Feb-2016,28.50,28.75,28.00,28.69,13500
SPWL,23-Feb-2016,28.65,28.93,28.50,28.93,8500
SPWL,24-Feb-2016,28.15,29.00,28.15,28.70,42500
SPWL,25-Feb-2016,29.00,29.20,29.00,29.20,4500
SPWL,26-Feb-2016,29.00,29.20,28.90,29.06,26000
SPWL,29-Feb-2016,28.80,29.00,28.75,29.00,3000
SPWL,01-Mar-2016,28.51,28.51,28.50,28.50,1500
SPWL,03-Mar-2016,28.61,29.00,28.61,28.99,13000
SPWL,04-Mar-2016,28.98,29.24,28.98,29.01,15500
SPWL,07-Mar-2016,29.00,29.50,28.98,29.30,22000
SPWL,08-Mar-2016,29.50,29.50,29.02,29.30,17000
SPWL,09-Mar-2016,29.10,29.25,28.95,29.25,21000
SPWL,10-Mar-2016,28.99,29.20,28.98,29.20,7500
SPWL,11-Mar-2016,28.98,29.50,28.98,29.12,28000
SPWL,14-Mar-2016,29.00,29.25,29.00,29.02,48000
SPWL,15-Mar-2016,29.25,29.40,29.25,29.40,33500
SPWL,16-Mar-2016,29.10,29.79,28.50,28.62,2587000
SPWL,17-Mar-2016,28.42,28.42,28.25,28.25,16500
SPWL,18-Mar-2016,28.27,28.50,28.05,28.20,7000
SPWL,21-Mar-2016,28.25,28.68,28.25,28.54,35500
SPWL,22-Mar-2016,28.50,28.50,28.35,28.39,22500
SPWL,24-Mar-2016,28.40,28.50,28.30,28.50,717500
SPWL,25-Mar-2016,28.49,28.60,28.40,28.50,131000
SPWL,28-Mar-2016,28.50,29.50,28.30,28.91,895000
SPWL,29-Mar-2016,29.39,29.39,29.00,29.19,39000
SPWL,30-Mar-2016,29.00,29.15,28.80,29.07,34500
SPWL,31-Mar-2016,28.80,28.87,28.62,28.75,39500
SPWL,01-Apr-2016,28.45,28.75,28.45,28.73,26500
SPWL,04-Apr-2016,28.80,29.32,28.62,29.00,36000
SPWL,05-Apr-2016,28.90,29.38,28.90,29.14,24500
SPWL,06-Apr-2016,29.00,29.30,29.00,29.12,25500
SPWL,07-Apr-2016,29.20,29.21,29.20,29.21,7500
SPWL,08-Apr-2016,29.29,29.60,29.25,29.50,24500
SPWL,11-Apr-2016,29.50,29.50,29.00,29.04,35500
SPWL,12-Apr-2016,29.00,29.50,28.92,29.50,82000
SPWL,13-Apr-2016,29.11,29.38,29.10,29.24,20000
SPWL,14-Apr-2016,29.25,29.59,29.25,29.41,26000
SPWL,15-Apr-2016,29.15,29.55,29.15,29.43,10500
SPWL,18-Apr-2016,29.18,30.00,29.18,29.99,43500
SPWL,19-Apr-2016,29.95,30.17,29.80,30.02,35000
SPWL,20-Apr-2016,29.50,30.00,29.50,29.86,27000
SPWL,21-Apr-2016,30.00,30.30,29.40,29.51,53500
SPWL,22-Apr-2016,29.10,29.60,28.10,29.29,84500
SPWL,25-Apr-2016,29.10,29.45,28.90,29.05,11000
SPWL,26-Apr-2016,29.00,29.30,29.00,29.10,18000
SPWL,27-Apr-2016,29.12,29.20,29.12,29.19,11500
SPWL,28-Apr-2016,29.12,29.45,29.00,29.19,8000
SPWL,29-Apr-2016,29.00,29.21,29.00,29.21,7000
SPWL,02-May-2016,29.10,29.10,28.93,28.95,7500
SPWL,03-May-2016,29.00,29.00,28.90,29.00,8000
SPWL,04-May-2016,29.10,29.15,28.95,29.07,110500
SPWL,05-May-2016,29.01,29.15,29.00,29.10,126000
SPWL,06-May-2016,29.00,30.00,29.00,29.40,35000
SPWL,09-May-2016,29.00,29.40,29.00,29.15,28000
SPWL,10-May-2016,29.15,29.29,29.00,29.25,5500
SPWL,11-May-2016,29.48,29.50,29.20,29.25,85500
SPWL,12-May-2016,29.30,30.60,29.27,29.30,56000
SPWL,13-May-2016,29.50,29.75,29.10,29.16,14000
SPWL,16-May-2016,29.21,29.35,29.20,29.25,3000
SPWL,17-May-2016,29.30,29.50,28.01,29.25,325500
SPWL,18-May-2016,29.30,29.30,28.75,28.84,40500
SPWL,19-May-2016,29.10,29.10,29.00,29.05,9500
SPWL,20-May-2016,29.01,29.01,28.70,28.77,14000
SPWL,23-May-2016,29.50,29.50,29.05,29.17,16000
SPWL,24-May-2016,29.17,29.50,29.17,29.18,15500
SPWL,25-May-2016,29.25,29.25,29.17,29.17,39000
SPWL,26-May-2016,29.30,29.69,29.22,29.22,3500
SPWL,27-May-2016,29.10,29.79,29.00,29.24,67500
SPWL,30-May-2016,29.10,29.75,28.90,28.93,56000
SPWL,31-May-2016,29.00,29.00,28.80,28.80,5500
SPWL,01-Jun-2016,29.00,29.00,28.72,28.97,19000
SPWL,02-Jun-2016,29.00,29.20,28.91,28.98,18500
SPWL,03-Jun-2016,29.50,29.50,28.90,29.08,11000
SPWL,06-Jun-2016,29.05,29.05,28.81,29.00,14500
SPWL,07-Jun-2016,29.00,29.00,28.90,29.00,4500
SPWL,08-Jun-2016,28.50,28.90,28.50,28.75,3500
SPWL,09-Jun-2016,28.75,28.85,28.60,28.65,21000
