Symbol,Date,Open,High,Low,Close,Volume
SSIC,01-Jan-2014,7.39,7.75,7.39,7.48,3500
SSIC,02-Jan-2014,7.30,7.30,7.30,7.48,18000
SSIC,03-Jan-2014,6.75,7.75,6.75,7.40,3500
SSIC,06-Jan-2014,7.00,7.30,6.85,7.29,8500
SSIC,07-Jan-2014,6.77,6.77,6.77,6.77,1000
SSIC,08-Jan-2014,6.77,6.77,6.77,6.77,500
SSIC,09-Jan-2014,6.26,7.00,6.26,7.00,1000
SSIC,13-Jan-2014,7.24,7.49,7.00,7.49,13000
SSIC,15-Jan-2014,7.65,7.95,7.05,7.38,5500
SSIC,16-Jan-2014,7.50,7.69,7.00,7.28,4000
SSIC,17-Jan-2014,7.50,7.50,7.50,7.50,1500
SSIC,21-Jan-2014,7.74,7.74,7.74,7.74,500
SSIC,22-Jan-2014,7.94,8.14,7.94,8.14,1500
SSIC,23-Jan-2014,8.40,8.40,7.15,7.95,15000
SSIC,31-Jan-2014,6.97,7.70,6.96,7.70,2000
SSIC,06-Feb-2014,6.81,7.50,6.81,7.50,1500
SSIC,07-Feb-2014,6.80,6.80,6.80,6.80,500
SSIC,11-Feb-2014,7.00,7.00,7.00,7.00,500
SSIC,12-Feb-2014,6.95,7.00,6.95,6.99,2500
SSIC,14-Feb-2014,6.50,6.50,6.50,6.99,500
SSIC,17-Feb-2014,7.20,7.25,7.20,7.23,1000
SSIC,25-Feb-2014,6.47,6.47,6.46,6.46,1500
SSIC,26-Feb-2014,6.35,7.20,6.35,7.06,2000
SSIC,05-Mar-2014,6.40,6.40,6.40,6.40,1000
SSIC,12-Mar-2014,6.50,7.40,6.50,7.40,35000
SSIC,13-Mar-2014,7.29,7.30,7.01,7.01,3500
SSIC,14-Mar-2014,7.70,7.88,7.70,7.80,3000
SSIC,17-Mar-2014,7.25,7.25,7.10,7.25,751000
SSIC,19-Mar-2014,7.74,7.79,7.74,7.79,500000
SSIC,26-Mar-2014,6.80,6.80,6.79,6.79,10500
SSIC,28-Mar-2014,7.60,7.60,7.60,7.60,1000
SSIC,31-Mar-2014,8.49,8.49,7.45,7.45,1500
SSIC,02-Apr-2014,7.99,8.24,7.00,7.03,5000
SSIC,04-Apr-2014,6.10,7.50,6.10,7.10,7500
SSIC,07-Apr-2014,6.50,7.58,6.20,7.58,58000
SSIC,08-Apr-2014,6.95,6.99,6.62,6.85,2000
SSIC,09-Apr-2014,6.99,6.99,6.99,6.99,500
SSIC,10-Apr-2014,6.52,6.52,6.50,6.50,5500
SSIC,11-Apr-2014,7.08,7.09,7.08,7.09,1500
SSIC,14-Apr-2014,6.50,6.90,6.50,6.86,16000
SSIC,18-Apr-2014,6.86,7.86,6.86,7.86,5000
SSIC,21-Apr-2014,7.25,7.25,6.86,7.00,11000
SSIC,22-Apr-2014,6.66,6.66,6.50,6.50,2500
SSIC,24-Apr-2014,7.48,7.48,7.48,7.48,1000
SSIC,29-Apr-2014,6.51,6.95,6.51,6.95,2000
SSIC,30-Apr-2014,7.70,7.70,6.50,6.50,18500
SSIC,02-May-2014,7.00,7.38,7.00,7.17,4500
SSIC,05-May-2014,7.00,7.00,6.50,6.50,38500
SSIC,07-May-2014,6.92,6.92,6.92,6.92,500
SSIC,08-May-2014,6.94,6.94,6.94,6.94,500
SSIC,09-May-2014,7.70,7.70,7.70,7.70,500
SSIC,12-May-2014,7.98,8.69,6.74,7.61,4500
SSIC,13-May-2014,7.00,8.25,7.00,7.65,24000
SSIC,14-May-2014,7.86,7.86,6.76,7.49,3000
SSIC,15-May-2014,7.40,7.40,7.40,7.40,1000
SSIC,16-May-2014,8.20,8.20,7.40,7.40,1000
SSIC,20-May-2014,8.19,8.19,7.00,7.60,2000
SSIC,22-May-2014,7.10,7.50,7.10,7.50,1000
SSIC,23-May-2014,7.15,7.54,7.10,7.54,2000
SSIC,26-May-2014,8.49,8.50,7.50,7.50,2000
SSIC,27-May-2014,7.70,7.74,7.60,7.60,2000
SSIC,28-May-2014,6.86,7.64,6.86,7.64,1500
SSIC,29-May-2014,7.50,7.70,7.50,7.63,6000
SSIC,02-Jun-2014,7.55,7.75,7.55,7.75,8500
SSIC,04-Jun-2014,8.25,8.25,8.25,8.25,500
SSIC,05-Jun-2014,7.74,9.25,7.50,8.40,99000
SSIC,06-Jun-2014,9.40,9.40,8.61,8.75,12500
SSIC,09-Jun-2014,8.10,8.40,8.02,8.40,2500
SSIC,10-Jun-2014,9.40,9.40,8.50,9.27,13000
SSIC,11-Jun-2014,10.27,10.27,8.58,8.58,14500
SSIC,12-Jun-2014,9.50,9.55,8.60,8.60,5500
SSIC,13-Jun-2014,8.50,9.40,8.32,8.49,9000
SSIC,17-Jun-2014,8.24,8.30,7.50,7.69,16000
SSIC,18-Jun-2014,7.60,7.60,7.60,7.60,2000
SSIC,23-Jun-2014,7.60,7.60,7.60,7.60,1000
SSIC,25-Jun-2014,7.70,8.27,7.70,8.27,213500
SSIC,08-Jul-2014,9.00,9.27,8.48,8.48,4500
SSIC,18-Jul-2014,8.96,8.96,8.96,8.96,500
SSIC,22-Jul-2014,8.19,8.19,8.19,8.19,500
SSIC,23-Jul-2014,8.75,8.75,8.75,8.75,500
SSIC,28-Jul-2014,8.98,8.98,8.98,8.98,500
SSIC,05-Aug-2014,8.25,8.97,7.98,7.98,112500
SSIC,06-Aug-2014,7.25,8.48,6.98,8.48,69500
SSIC,07-Aug-2014,7.50,8.49,7.50,8.31,2000
SSIC,08-Aug-2014,7.51,7.51,7.50,7.50,2000
SSIC,11-Aug-2014,7.11,7.11,6.70,6.70,1500
SSIC,12-Aug-2014,7.60,7.70,7.60,7.66,1500
