Symbol,Date,Open,High,Low,Close,Volume
STJT,01-Jan-2014,52.00,52.80,50.70,50.70,3000
STJT,02-Jan-2014,52.00,53.23,52.00,53.16,14000
STJT,03-Jan-2014,52.00,55.80,52.00,54.00,8500
STJT,06-Jan-2014,52.00,56.70,51.70,54.52,14000
STJT,07-Jan-2014,54.10,54.20,51.80,51.90,5500
STJT,08-Jan-2014,51.00,51.00,51.00,51.00,500
STJT,09-Jan-2014,51.00,51.00,50.75,50.75,3000
STJT,10-Jan-2014,50.10,50.10,50.00,50.00,1500
STJT,13-Jan-2014,51.00,52.50,51.00,52.29,3000
STJT,15-Jan-2014,50.00,54.90,50.00,54.78,5500
STJT,16-Jan-2014,54.80,57.50,54.80,57.50,3500
STJT,17-Jan-2014,59.50,60.37,59.50,59.86,4000
STJT,20-Jan-2014,62.80,62.85,57.00,59.88,4500
STJT,21-Jan-2014,62.86,62.87,61.25,61.25,6500
STJT,22-Jan-2014,64.30,64.31,64.30,64.31,56000
STJT,23-Jan-2014,67.50,67.50,67.10,67.40,2500
STJT,24-Jan-2014,70.50,70.77,68.50,69.00,12000
STJT,27-Jan-2014,70.99,71.00,70.99,71.00,2000
STJT,28-Jan-2014,67.50,72.40,67.50,72.40,1000
STJT,29-Jan-2014,69.00,69.00,69.00,69.00,500
STJT,07-Feb-2014,65.60,65.60,65.60,65.60,2000
STJT,10-Feb-2014,62.35,62.40,62.35,62.35,12500
STJT,11-Feb-2014,59.30,59.50,59.30,59.50,2500
STJT,12-Feb-2014,57.50,57.50,56.55,56.80,3000
STJT,13-Feb-2014,55.01,55.01,55.01,55.01,500
STJT,14-Feb-2014,56.05,56.05,56.05,56.05,500
STJT,17-Feb-2014,58.80,58.85,58.80,58.85,2000
STJT,19-Feb-2014,61.50,61.50,61.50,61.50,500
STJT,21-Feb-2014,60.00,60.00,60.00,60.00,500
STJT,28-Feb-2014,62.00,62.00,62.00,62.00,500
STJT,03-Mar-2014,61.50,64.99,61.50,63.05,6500
STJT,04-Mar-2014,66.10,66.20,66.10,66.20,5000
STJT,05-Mar-2014,62.90,62.90,62.90,62.90,500
STJT,06-Mar-2014,59.77,59.77,59.77,59.77,500
STJT,11-Mar-2014,61.00,62.74,58.00,62.74,7000
STJT,13-Mar-2014,62.99,65.84,62.99,64.37,4000
STJT,14-Mar-2014,65.88,67.50,65.88,66.96,1500
STJT,17-Mar-2014,69.99,70.30,69.99,70.30,19500
STJT,18-Mar-2014,70.30,70.30,70.30,70.30,500
STJT,21-Mar-2014,68.00,68.00,68.00,68.00,5000
STJT,24-Mar-2014,68.00,69.00,68.00,68.31,8000
STJT,26-Mar-2014,65.00,65.00,65.00,65.00,1500
STJT,31-Mar-2014,67.50,68.00,67.50,67.81,1500
STJT,01-Apr-2014,70.00,70.00,70.00,70.00,500
STJT,03-Apr-2014,72.10,73.40,72.10,73.40,5500
STJT,04-Apr-2014,75.00,76.90,74.50,75.97,5500
STJT,08-Apr-2014,78.00,78.00,78.00,78.00,5000
STJT,10-Apr-2014,74.10,74.10,74.10,74.10,500
STJT,18-Apr-2014,77.20,77.80,77.20,77.80,8000
STJT,21-Apr-2014,81.00,81.69,81.00,81.69,2000
STJT,22-Apr-2014,81.45,85.77,81.45,83.14,5500
STJT,23-Apr-2014,86.90,86.90,86.90,86.90,500
STJT,24-Apr-2014,89.99,89.99,89.99,89.99,500
STJT,25-Apr-2014,92.99,94.45,90.00,90.00,4000
STJT,30-Apr-2014,85.50,94.48,85.50,88.76,10500
STJT,08-May-2014,91.00,91.00,91.00,91.00,500
STJT,16-May-2014,86.45,95.02,86.45,92.57,7000
STJT,19-May-2014,87.95,94.98,87.95,87.95,1500
STJT,20-May-2014,83.56,89.54,83.56,89.54,2500
STJT,21-May-2014,85.07,85.07,85.07,85.07,500
STJT,22-May-2014,89.26,89.26,89.26,89.26,500
STJT,29-May-2014,84.80,93.70,84.80,91.84,3000
STJT,30-May-2014,87.30,96.40,87.26,92.69,6000
STJT,04-Jun-2014,89.00,89.00,89.00,89.00,500
STJT,11-Jun-2014,90.00,93.45,90.00,92.20,4000
STJT,12-Jun-2014,91.99,94.00,91.99,92.95,2000
