Symbol,Date,Open,High,Low,Close,Volume
STYLERS,22-Jan-2024,47.16,47.16,47.16,47.16,500
STYLERS,23-Jan-2024,50.70,50.70,50.70,50.70,10500
STYLERS,24-Jan-2024,54.50,54.50,54.50,54.50,500
STYLERS,25-Jan-2024,58.59,58.59,58.59,58.59,500
STYLERS,26-Jan-2024,62.98,62.98,62.98,62.98,7500
STYLERS,29-Jan-2024,67.70,67.70,61.30,63.07,197000
STYLERS,30-Jan-2024,61.10,64.95,61.10,64.23,42000
STYLERS,31-Jan-2024,62.10,64.50,62.10,63.70,10500
STYLERS,01-Feb-2024,62.06,62.30,60.06,60.06,13000
STYLERS,02-Feb-2024,58.09,59.00,56.01,56.26,22500
STYLERS,06-Feb-2024,52.60,58.98,52.50,57.55,32500
STYLERS,07-Feb-2024,55.51,56.40,54.90,54.90,9500
STYLERS,09-Feb-2024,56.80,56.85,50.78,50.78,57000
STYLERS,12-Feb-2024,53.25,53.25,48.60,49.11,15500
STYLERS,13-Feb-2024,48.50,50.50,48.50,50.50,8000
STYLERS,14-Feb-2024,52.00,52.00,50.26,51.01,10000
STYLERS,15-Feb-2024,50.11,52.40,49.19,50.99,23000
STYLERS,16-Feb-2024,48.51,54.50,47.60,51.86,63500
STYLERS,19-Feb-2024,50.50,50.50,48.00,48.19,30500
STYLERS,20-Feb-2024,48.00,49.35,47.50,47.50,6000
STYLERS,21-Feb-2024,49.95,49.95,46.50,47.50,17000
STYLERS,22-Feb-2024,48.99,48.99,46.25,46.87,5500
STYLERS,23-Feb-2024,47.00,48.00,46.80,47.55,9500
STYLERS,26-Feb-2024,49.77,51.12,48.15,50.20,57500
STYLERS,27-Feb-2024,48.11,48.75,48.09,48.74,50500
STYLERS,28-Feb-2024,49.58,49.58,47.55,47.55,3000
STYLERS,29-Feb-2024,49.00,50.90,48.00,48.00,3500
STYLERS,01-Mar-2024,49.00,50.10,48.00,49.93,32500
STYLERS,04-Mar-2024,52.00,52.00,48.02,48.30,13000
STYLERS,05-Mar-2024,49.50,49.56,49.50,49.56,2000
STYLERS,06-Mar-2024,49.73,50.25,49.73,50.00,378500
STYLERS,07-Mar-2024,49.99,50.25,48.50,50.00,136500
STYLERS,08-Mar-2024,49.50,49.50,49.50,49.50,3500
STYLERS,11-Mar-2024,48.25,50.00,48.25,49.99,2500
STYLERS,12-Mar-2024,48.53,48.55,48.53,48.55,1500
STYLERS,13-Mar-2024,48.19,49.95,48.10,49.39,6500
STYLERS,14-Mar-2024,48.31,49.74,48.31,49.74,1500
STYLERS,15-Mar-2024,49.75,49.99,48.02,49.49,29500
STYLERS,19-Mar-2024,48.26,49.89,48.26,49.89,5000
STYLERS,20-Mar-2024,48.69,50.00,48.69,49.83,19500
STYLERS,21-Mar-2024,48.60,49.95,48.59,49.52,10000
STYLERS,22-Mar-2024,49.01,50.40,48.50,49.88,8000
STYLERS,25-Mar-2024,50.00,50.00,48.72,48.72,2500
STYLERS,26-Mar-2024,48.72,49.74,48.72,49.71,9000
STYLERS,28-Mar-2024,48.60,50.05,48.60,49.85,8500
STYLERS,01-Apr-2024,47.10,48.98,46.25,47.88,23500
STYLERS,02-Apr-2024,47.99,47.99,47.87,47.88,2500
STYLERS,03-Apr-2024,47.88,47.88,47.00,47.00,4000
STYLERS,04-Apr-2024,46.25,47.29,46.25,46.35,2000
STYLERS,08-Apr-2024,46.00,48.00,46.00,48.00,6000
STYLERS,09-Apr-2024,48.50,51.00,48.50,49.79,23000
STYLERS,15-Apr-2024,49.74,50.15,49.74,50.00,24000
STYLERS,16-Apr-2024,50.00,50.00,50.00,50.00,2000
STYLERS,17-Apr-2024,51.00,51.00,48.05,48.11,21000
STYLERS,18-Apr-2024,49.48,49.50,49.48,49.50,2000
STYLERS,19-Apr-2024,49.00,49.00,49.00,49.00,2000
STYLERS,22-Apr-2024,49.50,52.68,47.05,50.02,34000
STYLERS,23-Apr-2024,48.71,48.71,47.65,48.01,5500
STYLERS,24-Apr-2024,49.39,51.61,49.39,49.99,19000
STYLERS,25-Apr-2024,51.50,51.50,51.50,51.50,6000
STYLERS,29-Apr-2024,51.75,54.50,51.75,54.00,27500
STYLERS,30-Apr-2024,50.00,50.00,50.00,50.00,500
STYLERS,02-May-2024,47.10,47.10,47.10,47.10,1000
STYLERS,03-May-2024,49.98,50.60,49.98,50.60,3000
STYLERS,06-May-2024,47.15,48.50,47.15,48.50,3000
STYLERS,07-May-2024,48.50,48.50,48.50,48.50,1000
STYLERS,08-May-2024,49.98,50.50,49.98,50.50,2000
STYLERS,10-May-2024,47.20,49.99,47.20,49.73,212000
