Symbol,Date,Open,High,Low,Close,Volume
SUHJ,01-Jan-2014,9.00,9.00,7.25,9.00,1500
SUHJ,02-Jan-2014,10.00,10.00,10.00,10.00,1500
SUHJ,06-Jan-2014,11.00,11.00,11.00,11.00,7000
SUHJ,07-Jan-2014,12.00,12.00,12.00,12.00,7500
SUHJ,08-Jan-2014,13.00,13.00,13.00,13.00,3000
SUHJ,09-Jan-2014,14.00,14.00,14.00,14.00,1000
SUHJ,10-Jan-2014,15.00,15.00,15.00,15.00,500
SUHJ,13-Jan-2014,15.99,16.00,14.00,15.65,30000
SUHJ,15-Jan-2014,16.25,16.25,14.65,15.80,10500
SUHJ,16-Jan-2014,16.50,16.50,14.80,14.80,1500
SUHJ,17-Jan-2014,13.80,15.80,13.80,14.70,9000
SUHJ,20-Jan-2014,14.95,14.95,13.70,13.97,5000
SUHJ,21-Jan-2014,14.49,14.49,13.00,14.30,4000
SUHJ,22-Jan-2014,15.20,15.20,14.89,15.15,11500
SUHJ,27-Jan-2014,14.20,14.20,14.20,14.20,1000
SUHJ,28-Jan-2014,13.25,13.25,13.25,13.25,1000
SUHJ,31-Jan-2014,12.25,14.25,12.25,14.25,13500
SUHJ,03-Feb-2014,14.89,15.25,14.89,15.25,8000
SUHJ,04-Feb-2014,16.00,16.25,15.25,16.25,13000
SUHJ,10-Feb-2014,18.50,19.25,18.50,19.25,3000
SUHJ,12-Feb-2014,20.00,20.25,19.99,20.25,6000
SUHJ,13-Feb-2014,21.26,21.26,21.26,21.26,1000
SUHJ,26-Feb-2014,22.25,22.25,22.25,22.25,500
SUHJ,18-Mar-2014,22.19,22.19,22.19,22.19,6500
SUHJ,11-Apr-2014,23.29,23.29,23.29,23.29,500
SUHJ,15-Apr-2014,22.15,22.15,22.15,22.15,1000
SUHJ,07-May-2014,14.50,14.50,14.50,14.50,5000
SUHJ,08-May-2014,13.50,13.50,13.50,13.50,500
SUHJ,09-May-2014,12.55,12.55,12.50,12.50,4000
SUHJ,13-May-2014,11.50,11.50,11.50,11.50,2000
SUHJ,22-May-2014,11.50,11.50,11.50,11.50,1000
SUHJ,28-May-2014,10.65,10.65,10.50,10.50,8000
SUHJ,29-May-2014,11.50,11.50,11.50,11.50,500
SUHJ,02-Jun-2014,12.49,12.49,12.49,12.49,1000
SUHJ,05-Jun-2014,13.45,13.48,13.45,13.47,1000
SUHJ,06-Jun-2014,12.47,13.99,12.47,13.95,2500
SUHJ,10-Jun-2014,14.84,14.95,12.95,12.95,9500
SUHJ,11-Jun-2014,11.95,13.00,11.95,13.00,3500
SUHJ,13-Jun-2014,13.00,13.00,13.00,13.00,4000
SUHJ,16-Jun-2014,12.02,12.02,12.00,12.00,2000
SUHJ,18-Jun-2014,11.00,11.00,11.00,11.00,500
SUHJ,19-Jun-2014,10.10,10.10,10.10,10.10,500
SUHJ,25-Jun-2014,11.00,11.00,11.00,11.00,500
SUHJ,09-Jul-2014,11.40,12.00,11.30,11.31,6000
SUHJ,11-Jul-2014,11.01,11.01,11.01,11.01,500
SUHJ,14-Jul-2014,12.00,12.01,12.00,12.01,4500
SUHJ,16-Jul-2014,12.05,12.05,11.75,11.76,2000
SUHJ,18-Jul-2014,11.12,11.12,11.12,11.12,500
SUHJ,21-Jul-2014,11.00,11.00,11.00,11.00,500
SUHJ,22-Jul-2014,11.33,12.00,11.33,12.00,2500
SUHJ,28-Jul-2014,13.00,13.00,13.00,13.00,500
SUHJ,07-Aug-2014,13.00,13.00,13.00,13.00,500
SUHJ,08-Aug-2014,13.00,13.00,13.00,13.00,500
SUHJ,21-Aug-2014,14.00,14.00,14.00,14.00,1000
SUHJ,22-Aug-2014,13.00,13.00,13.00,13.00,9500
SUHJ,27-Aug-2014,13.50,13.50,13.50,13.50,500
SUHJ,11-Sep-2014,12.00,13.74,12.00,13.74,1500
SUHJ,19-Sep-2014,14.00,14.00,14.00,14.00,1000
SUHJ,25-Sep-2014,14.00,14.00,14.00,14.00,500
SUHJ,14-Oct-2014,15.00,15.00,15.00,15.00,500
SUHJ,15-Oct-2014,15.00,15.00,15.00,15.00,10500
SUHJ,16-Oct-2014,15.00,15.00,15.00,15.00,4500
SUHJ,05-Nov-2014,13.50,13.50,13.50,13.50,2500
SUHJ,12-Nov-2014,14.00,14.00,12.51,12.51,5500
SUHJ,13-Nov-2014,13.51,13.51,13.51,13.51,500
SUHJ,14-Nov-2014,14.51,14.51,14.50,14.51,7000
SUHJ,17-Nov-2014,15.51,15.51,15.51,15.51,500
SUHJ,18-Nov-2014,16.51,16.51,16.51,16.51,500
SUHJ,19-Nov-2014,17.50,17.51,17.50,17.51,9500
SUHJ,20-Nov-2014,18.50,18.50,18.40,18.40,1500
SUHJ,21-Nov-2014,18.95,18.95,17.40,17.40,5000
SUHJ,24-Nov-2014,16.40,18.35,16.40,18.35,2000
SUHJ,25-Nov-2014,17.35,19.35,17.35,19.35,9500
SUHJ,26-Nov-2014,20.35,20.35,20.35,20.35,1000
SUHJ,27-Nov-2014,19.35,19.35,19.35,19.35,1500
SUHJ,28-Nov-2014,18.35,20.35,18.35,20.30,68500
SUHJ,02-Dec-2014,19.29,19.29,19.29,19.29,500
SUHJ,03-Dec-2014,18.29,18.29,18.29,18.29,500
SUHJ,05-Dec-2014,17.30,17.30,17.30,17.30,500
SUHJ,08-Jan-2015,15.30,15.30,15.30,15.30,500
SUHJ,13-Jan-2015,14.30,16.25,14.30,16.00,2500
SUHJ,11-Feb-2015,17.00,17.00,17.00,17.00,500
SUHJ,13-Feb-2015,16.00,16.00,16.00,16.00,500
SUHJ,20-Feb-2015,15.00,15.00,15.00,15.00,20500
SUHJ,23-Feb-2015,14.30,16.00,14.30,16.00,15500
SUHJ,24-Feb-2015,16.90,17.00,16.00,17.00,12500
SUHJ,25-Feb-2015,18.00,18.00,18.00,18.00,5000
SUHJ,26-Feb-2015,18.99,19.00,18.00,19.00,7500
SUHJ,27-Feb-2015,20.00,20.00,20.00,20.00,1000
SUHJ,02-Mar-2015,21.00,21.00,21.00,21.00,1500
SUHJ,03-Mar-2015,22.05,22.05,22.05,22.05,2500
SUHJ,04-Mar-2015,20.95,23.15,20.95,23.10,9000
SUHJ,06-Mar-2015,21.10,22.88,21.10,21.10,4500
SUHJ,09-Mar-2015,22.15,22.15,22.15,22.15,500
SUHJ,10-Mar-2015,22.90,22.90,22.90,22.90,500
SUHJ,11-Mar-2015,21.76,23.95,21.76,23.95,1000
SUHJ,12-Mar-2015,22.76,22.76,22.76,22.76,13500
SUHJ,13-Mar-2015,21.63,21.63,21.63,21.63,6500
SUHJ,16-Mar-2015,20.55,22.50,20.55,20.55,16500
SUHJ,17-Mar-2015,21.57,21.57,19.55,19.55,1500
SUHJ,18-Mar-2015,20.25,20.55,20.25,20.45,2500
SUHJ,19-Mar-2015,19.45,21.47,19.45,21.34,1500
SUHJ,20-Mar-2015,20.28,20.28,20.28,20.28,17000
SUHJ,24-Mar-2015,19.27,20.50,19.27,19.27,4000
SUHJ,25-Mar-2015,18.27,18.27,18.27,18.27,500
SUHJ,27-Mar-2015,19.20,19.22,19.20,19.21,1000
SUHJ,30-Mar-2015,20.21,20.21,20.21,20.21,500
SUHJ,31-Mar-2015,21.20,21.20,21.20,21.20,500
SUHJ,01-Apr-2015,20.14,20.14,20.14,20.14,1000
SUHJ,02-Apr-2015,19.14,21.14,19.14,21.14,2000
SUHJ,03-Apr-2015,22.19,22.19,22.19,22.19,1000
SUHJ,08-Apr-2015,21.95,21.95,20.65,20.65,17000
SUHJ,09-Apr-2015,19.62,19.62,19.62,19.62,1000
SUHJ,10-Apr-2015,18.62,18.62,18.62,18.62,500
