Symbol,Date,Open,High,Low,Close,Volume
SUTM,01-Jan-2014,310.00,310.00,301.00,301.00,400
SUTM,03-Jan-2014,313.00,313.00,313.00,313.00,100
SUTM,06-Jan-2014,300.00,300.00,300.00,300.00,300
SUTM,09-Jan-2014,285.00,285.00,285.00,285.00,200
SUTM,13-Jan-2014,280.00,280.00,270.75,270.75,1400
SUTM,15-Jan-2014,264.28,284.28,257.22,272.98,4700
SUTM,16-Jan-2014,261.10,286.60,261.10,278.80,2200
SUTM,17-Jan-2014,280.00,292.70,280.00,290.85,1300
SUTM,20-Jan-2014,298.00,300.00,298.00,300.00,300
SUTM,21-Jan-2014,287.10,294.40,285.00,288.82,1800
SUTM,22-Jan-2014,290.00,303.26,290.00,300.00,5100
SUTM,23-Jan-2014,304.99,315.00,304.99,314.00,5100
SUTM,24-Jan-2014,300.00,305.00,300.00,305.00,2700
SUTM,27-Jan-2014,290.01,300.00,290.01,300.00,300
SUTM,28-Jan-2014,286.00,305.00,286.00,303.00,600
SUTM,29-Jan-2014,288.00,290.00,288.00,288.00,1000
SUTM,30-Jan-2014,275.60,275.60,275.00,275.00,200
SUTM,31-Jan-2014,285.00,285.00,285.00,275.00,300
SUTM,07-Feb-2014,261.25,261.25,261.25,261.25,400
SUTM,10-Feb-2014,250.00,265.00,250.00,258.50,1300
SUTM,11-Feb-2014,265.00,271.00,265.00,271.00,2100
SUTM,12-Feb-2014,266.00,283.99,265.00,282.00,400
SUTM,13-Feb-2014,271.00,282.00,271.00,277.00,300
SUTM,14-Feb-2014,271.01,271.01,271.00,271.00,400
SUTM,17-Feb-2014,272.00,282.80,272.00,282.80,500
SUTM,18-Feb-2014,271.00,271.00,271.00,271.00,700
SUTM,19-Feb-2014,273.00,280.00,273.00,280.00,700
SUTM,20-Feb-2014,267.00,267.00,267.00,267.00,300
SUTM,26-Feb-2014,270.00,270.00,270.00,270.00,300
SUTM,28-Feb-2014,261.00,269.00,261.00,269.00,1500
SUTM,04-Mar-2014,258.50,258.50,258.50,258.50,200
SUTM,05-Mar-2014,255.10,255.10,250.00,250.01,700
SUTM,07-Mar-2014,252.50,252.50,252.50,250.01,200
SUTM,11-Mar-2014,261.50,261.50,261.50,261.50,100
SUTM,12-Mar-2014,252.00,252.00,251.00,251.00,1500
SUTM,13-Mar-2014,251.90,252.00,251.90,252.00,1400
SUTM,18-Mar-2014,247.00,247.00,246.00,246.00,300
SUTM,20-Mar-2014,250.00,250.00,250.00,250.00,100
SUTM,26-Mar-2014,250.00,250.00,250.00,250.00,200
SUTM,27-Mar-2014,250.00,251.00,250.00,251.00,700
SUTM,28-Mar-2014,252.00,252.00,252.00,252.00,100
SUTM,31-Mar-2014,255.00,255.00,255.00,255.00,100
SUTM,01-Apr-2014,254.00,254.00,254.00,254.00,1000
SUTM,02-Apr-2014,254.00,254.00,254.00,254.00,100
SUTM,04-Apr-2014,250.00,250.00,250.00,250.00,100
SUTM,08-Apr-2014,250.00,250.00,250.00,250.00,100
SUTM,10-Apr-2014,237.60,237.60,237.50,237.50,300
SUTM,22-Apr-2014,248.50,248.75,248.50,248.63,300
SUTM,23-Apr-2014,236.20,249.00,236.20,242.60,200
SUTM,30-Apr-2014,242.60,247.90,242.60,247.90,300
SUTM,08-May-2014,242.00,242.00,241.50,241.75,300
SUTM,09-May-2014,241.00,241.00,241.00,241.00,200
SUTM,15-May-2014,241.00,241.00,241.00,241.00,100
SUTM,16-May-2014,239.00,239.00,228.95,233.78,2400
SUTM,19-May-2014,230.00,230.00,230.00,230.00,600
SUTM,20-May-2014,230.00,231.50,221.50,225.75,1700
SUTM,21-May-2014,221.30,235.00,221.30,230.17,12000
SUTM,22-May-2014,230.00,230.00,230.00,230.00,5400
SUTM,23-May-2014,230.00,230.00,230.00,230.00,200
SUTM,26-May-2014,230.00,230.00,230.00,230.00,100
SUTM,27-May-2014,230.00,233.90,230.00,230.00,200
SUTM,28-May-2014,230.00,230.00,230.00,230.00,100
SUTM,29-May-2014,233.00,233.00,220.10,226.55,200
SUTM,30-May-2014,225.00,226.00,225.00,226.00,400
SUTM,03-Jun-2014,222.00,222.00,222.00,222.00,1000
SUTM,06-Jun-2014,215.00,230.00,211.00,217.33,500
SUTM,09-Jun-2014,216.00,216.00,216.00,216.00,300
SUTM,10-Jun-2014,226.00,226.80,226.00,226.20,1300
SUTM,26-Jun-2014,230.00,236.25,230.00,235.25,1400
SUTM,27-Jun-2014,232.00,247.00,231.50,240.69,1800
SUTM,30-Jun-2014,240.00,248.50,240.00,243.75,800
SUTM,01-Jul-2014,231.57,231.57,231.57,231.57,300
SUTM,02-Jul-2014,231.57,231.57,231.57,231.57,200
SUTM,07-Jul-2014,231.57,231.57,231.57,231.57,100
SUTM,17-Jul-2014,231.57,231.57,231.57,231.57,100
SUTM,21-Jul-2014,220.00,220.00,220.00,220.00,200
SUTM,24-Jul-2014,220.00,220.00,220.00,220.00,100
SUTM,05-Aug-2014,209.00,209.00,209.00,209.00,300
SUTM,11-Aug-2014,209.00,209.00,209.00,209.00,100
SUTM,18-Aug-2014,209.00,209.00,209.00,209.00,200
SUTM,02-Sep-2014,210.00,219.45,210.00,215.73,1800
SUTM,04-Sep-2014,214.00,214.00,214.00,214.00,200
SUTM,05-Sep-2014,214.00,214.00,214.00,214.00,100
SUTM,08-Sep-2014,210.00,210.00,210.00,210.00,200
SUTM,12-Sep-2014,210.00,220.00,210.00,215.00,2900
SUTM,17-Sep-2014,205.00,224.50,205.00,216.58,2100
SUTM,18-Sep-2014,216.58,216.58,216.58,216.58,100
SUTM,22-Sep-2014,226.00,226.00,226.00,226.00,200
SUTM,23-Sep-2014,226.00,226.00,226.00,226.00,100
SUTM,24-Sep-2014,226.00,226.00,226.00,226.00,100
SUTM,25-Sep-2014,226.00,226.00,226.00,226.00,900
SUTM,26-Sep-2014,226.00,226.00,226.00,226.00,100
SUTM,30-Sep-2014,226.00,226.00,226.00,226.00,100
SUTM,01-Oct-2014,225.60,225.60,225.00,225.40,300
SUTM,03-Oct-2014,215.50,220.00,215.50,216.00,2100
SUTM,09-Oct-2014,210.00,210.00,210.00,210.00,400
SUTM,10-Oct-2014,219.90,220.50,215.10,220.50,2300
SUTM,13-Oct-2014,220.50,220.50,220.50,220.50,100
SUTM,14-Oct-2014,220.51,220.51,220.51,220.51,300
SUTM,15-Oct-2014,220.00,220.00,220.00,220.00,700
SUTM,17-Oct-2014,211.20,211.20,211.20,211.20,200
SUTM,20-Oct-2014,220.01,220.01,217.57,217.57,100
SUTM,21-Oct-2014,217.57,217.57,217.57,217.57,100
SUTM,22-Oct-2014,228.44,228.44,228.44,228.44,500
SUTM,24-Oct-2014,225.00,225.00,225.00,225.00,200
SUTM,31-Oct-2014,217.00,225.00,217.00,221.00,200
SUTM,06-Nov-2014,221.00,221.00,221.00,221.00,100
SUTM,11-Nov-2014,230.00,230.00,230.00,230.00,21700
SUTM,17-Nov-2014,237.00,237.00,230.00,230.00,1500
SUTM,19-Nov-2014,230.00,230.00,230.00,230.00,200
SUTM,20-Nov-2014,225.00,225.00,225.00,225.00,200
SUTM,24-Nov-2014,226.00,226.01,226.00,226.01,200
SUTM,25-Nov-2014,215.00,215.00,215.00,215.00,200
SUTM,27-Nov-2014,215.00,220.00,215.00,217.50,500
SUTM,28-Nov-2014,216.00,216.00,216.00,216.00,400
SUTM,01-Dec-2014,220.00,220.00,216.00,216.00,1800
SUTM,03-Dec-2014,216.00,216.00,216.00,216.00,100
SUTM,08-Dec-2014,215.10,215.11,215.10,215.11,1800
SUTM,15-Dec-2014,211.05,219.90,211.05,211.50,500
SUTM,24-Dec-2014,205.00,205.00,205.00,205.00,200
SUTM,30-Dec-2014,205.00,205.00,205.00,205.00,300
SUTM,09-Jan-2015,205.00,205.00,205.00,205.00,100
SUTM,13-Jan-2015,205.00,205.00,205.00,205.00,100
SUTM,16-Jan-2015,205.00,205.00,205.00,205.00,700
SUTM,20-Jan-2015,205.60,205.60,205.50,205.54,500
SUTM,30-Jan-2015,207.00,217.50,207.00,217.50,3500
SUTM,06-Feb-2015,220.00,220.00,220.00,220.00,200
SUTM,09-Feb-2015,220.00,220.00,220.00,220.00,100
