Symbol,Date,Open,High,Low,Close,Volume
SYS,06-Feb-2015,46.28,46.28,46.28,46.28,500
SYS,09-Feb-2015,48.59,48.59,48.59,48.59,1500
SYS,10-Feb-2015,51.01,51.01,51.01,51.01,2000
SYS,11-Feb-2015,53.56,53.56,53.56,53.56,10000
SYS,12-Feb-2015,56.23,56.23,54.80,56.23,2125000
SYS,13-Feb-2015,57.50,57.50,55.06,56.11,1893000
SYS,16-Feb-2015,55.75,55.75,53.75,54.52,1144500
SYS,17-Feb-2015,54.50,55.15,53.25,53.50,1085000
SYS,18-Feb-2015,53.50,53.70,50.83,51.52,1020500
SYS,19-Feb-2015,51.00,54.09,51.00,54.09,1132000
SYS,20-Feb-2015,55.00,56.79,54.60,56.27,2277500
SYS,23-Feb-2015,56.51,57.74,55.10,55.23,1239000
SYS,24-Feb-2015,55.05,55.20,53.20,53.37,383500
SYS,25-Feb-2015,53.40,54.40,53.20,53.36,195000
SYS,26-Feb-2015,53.60,54.80,53.40,53.62,464000
SYS,27-Feb-2015,53.51,54.50,53.00,53.25,362500
SYS,02-Mar-2015,52.70,53.48,50.65,51.50,339000
SYS,03-Mar-2015,51.25,52.30,50.20,52.05,291500
SYS,04-Mar-2015,52.49,53.60,52.11,52.32,618500
SYS,05-Mar-2015,52.40,53.94,52.06,53.27,612500
SYS,06-Mar-2015,53.75,55.60,53.34,54.51,1265500
SYS,09-Mar-2015,54.25,54.97,53.42,53.59,360500
SYS,10-Mar-2015,53.40,53.79,52.29,52.53,285500
SYS,11-Mar-2015,52.00,53.50,51.25,52.80,514500
SYS,12-Mar-2015,53.00,55.44,52.99,55.44,915000
SYS,13-Mar-2015,58.21,58.21,58.21,58.21,545500
SYS,16-Mar-2015,59.85,59.85,55.30,55.30,2167000
SYS,17-Mar-2015,54.72,55.45,52.54,54.26,1846500
SYS,18-Mar-2015,54.25,55.89,51.55,54.55,2783500
SYS,19-Mar-2015,54.21,55.50,52.05,52.42,905500
SYS,20-Mar-2015,52.85,54.10,52.18,53.77,932000
SYS,24-Mar-2015,53.95,54.74,51.12,51.74,500500
SYS,25-Mar-2015,51.55,52.30,50.75,50.97,260500
SYS,26-Mar-2015,52.50,52.50,48.43,49.70,578500
SYS,27-Mar-2015,50.00,50.40,47.60,48.78,291000
SYS,30-Mar-2015,48.02,48.02,46.35,46.35,242500
SYS,31-Mar-2015,44.50,48.66,44.30,48.66,743000
SYS,01-Apr-2015,49.00,50.49,47.70,48.79,822500
SYS,02-Apr-2015,49.25,51.22,49.10,50.98,590500
SYS,03-Apr-2015,51.90,53.39,51.05,53.06,684500
SYS,06-Apr-2015,53.26,55.50,53.26,55.24,766000
SYS,07-Apr-2015,55.39,55.49,54.00,54.28,558500
SYS,08-Apr-2015,54.58,56.30,54.01,55.27,699500
SYS,09-Apr-2015,55.20,55.45,53.00,53.54,466000
SYS,10-Apr-2015,53.70,54.84,53.50,54.61,426000
SYS,13-Apr-2015,54.40,55.65,53.52,54.40,560000
SYS,14-Apr-2015,54.40,55.00,54.00,54.24,206500
SYS,15-Apr-2015,54.45,55.00,54.26,54.40,243500
SYS,16-Apr-2015,54.88,56.40,54.75,55.93,1251000
SYS,17-Apr-2015,51.36,51.70,50.35,50.50,316000
SYS,20-Apr-2015,51.00,51.05,48.36,48.93,326500
SYS,21-Apr-2015,49.00,49.01,46.50,46.86,281000
SYS,22-Apr-2015,47.01,49.20,47.00,49.20,301000
SYS,23-Apr-2015,49.89,50.20,48.40,48.52,274000
SYS,24-Apr-2015,48.70,49.00,47.90,48.34,219500
SYS,27-Apr-2015,49.00,49.25,47.60,47.68,174000
SYS,28-Apr-2015,47.25,47.50,46.50,46.83,110500
SYS,29-Apr-2015,46.50,47.44,46.00,46.23,96000
SYS,30-Apr-2015,46.30,46.46,43.93,44.62,362500
SYS,04-May-2015,44.98,45.51,44.60,44.84,133500
SYS,05-May-2015,43.97,44.52,43.90,44.05,79500
SYS,06-May-2015,44.10,44.60,44.00,44.27,127500
SYS,07-May-2015,44.30,46.00,43.91,45.20,299500
SYS,08-May-2015,45.25,45.80,44.60,44.79,103500
SYS,11-May-2015,44.01,44.16,42.56,42.75,191500
SYS,12-May-2015,42.00,43.50,42.00,42.66,134000
SYS,13-May-2015,42.90,43.20,42.13,42.32,76500
SYS,14-May-2015,42.80,44.43,42.60,43.35,808000
SYS,15-May-2015,43.55,43.55,42.65,42.83,244500
SYS,18-May-2015,43.01,43.99,42.95,43.37,233500
SYS,19-May-2015,43.50,43.80,43.00,43.02,133500
SYS,20-May-2015,43.25,43.25,42.75,43.01,94500
SYS,21-May-2015,43.11,43.24,42.30,42.47,72500
SYS,22-May-2015,42.75,43.00,42.25,42.30,52000
SYS,25-May-2015,43.00,43.97,42.50,43.44,174500
SYS,26-May-2015,43.00,43.00,42.53,42.74,40500
SYS,27-May-2015,42.60,43.66,42.60,43.03,169000
SYS,28-May-2015,43.00,43.08,42.62,42.70,44000
SYS,29-May-2015,42.99,42.99,42.60,42.66,57000
SYS,01-Jun-2015,42.60,42.60,42.00,42.36,95500
SYS,02-Jun-2015,42.60,43.16,42.26,42.58,256500
SYS,03-Jun-2015,43.00,44.25,43.00,43.38,502500
SYS,04-Jun-2015,43.60,44.35,43.60,44.08,378500
SYS,05-Jun-2015,44.10,44.10,42.81,43.01,238500
SYS,08-Jun-2015,41.90,42.75,41.00,42.58,251000
SYS,09-Jun-2015,42.99,44.30,42.80,43.46,388500
SYS,10-Jun-2015,43.94,44.50,43.12,44.04,372500
SYS,11-Jun-2015,44.60,45.20,44.11,44.52,428000
SYS,12-Jun-2015,44.70,46.67,44.20,46.21,926000
SYS,15-Jun-2015,46.26,48.52,46.26,48.52,988000
SYS,16-Jun-2015,48.80,49.88,48.00,48.75,950500
SYS,17-Jun-2015,48.50,49.00,47.80,48.32,294000
SYS,18-Jun-2015,48.60,48.99,47.86,48.13,362500
SYS,19-Jun-2015,48.18,48.18,46.52,46.76,79500
SYS,22-Jun-2015,46.00,46.00,44.55,45.11,107500
SYS,23-Jun-2015,44.53,45.90,44.05,45.24,111500
SYS,24-Jun-2015,46.00,47.00,45.51,46.69,80500
SYS,25-Jun-2015,46.80,47.34,45.61,46.68,263000
SYS,26-Jun-2015,46.00,46.60,45.03,46.03,132500
SYS,29-Jun-2015,45.50,46.30,44.50,46.01,104500
SYS,30-Jun-2015,46.10,46.80,46.03,46.07,123500
SYS,01-Jul-2015,46.50,48.37,46.41,48.24,481000
SYS,02-Jul-2015,48.85,50.25,47.51,50.02,1026500
SYS,03-Jul-2015,50.27,50.40,49.60,50.05,363500
SYS,06-Jul-2015,50.20,50.20,49.01,49.72,486000
SYS,07-Jul-2015,50.00,51.50,49.30,51.01,415000
SYS,08-Jul-2015,51.80,52.35,50.50,51.97,375000
SYS,09-Jul-2015,51.99,52.75,50.50,51.28,277500
SYS,10-Jul-2015,51.00,51.50,49.51,50.00,192000
SYS,13-Jul-2015,48.75,52.20,48.75,51.51,627500
SYS,14-Jul-2015,51.50,52.00,50.30,50.34,113500
SYS,15-Jul-2015,50.95,51.40,50.50,50.66,130500
SYS,16-Jul-2015,50.90,51.18,50.00,50.12,188000
SYS,22-Jul-2015,50.95,52.62,50.90,52.62,531000
SYS,23-Jul-2015,55.25,55.25,55.25,55.25,343500
SYS,24-Jul-2015,56.95,57.99,54.10,56.44,998000
SYS,27-Jul-2015,56.39,57.00,54.70,56.12,855000
