Symbol,Date,Open,High,Low,Close,Volume
SZTM,01-Jan-2014,37.80,37.80,37.80,37.80,1000
SZTM,02-Jan-2014,39.69,39.69,39.69,39.69,2500
SZTM,03-Jan-2014,41.65,41.65,41.60,41.60,2000
SZTM,07-Jan-2014,42.50,42.68,42.50,42.68,2000
SZTM,08-Jan-2014,44.70,44.81,44.70,44.81,1500
SZTM,09-Jan-2014,47.00,47.05,46.90,46.90,3000
SZTM,13-Jan-2014,46.80,46.80,44.56,44.56,1500
SZTM,17-Jan-2014,44.50,44.50,44.50,44.50,500
SZTM,21-Jan-2014,44.00,44.00,44.00,44.00,1000
SZTM,22-Jan-2014,44.00,44.30,44.00,44.30,2500
SZTM,23-Jan-2014,46.40,46.50,46.40,46.50,4000
SZTM,24-Jan-2014,48.70,48.82,48.00,48.82,7000
SZTM,27-Jan-2014,47.00,47.00,46.38,46.39,5500
SZTM,29-Jan-2014,45.00,45.00,45.00,45.00,500
SZTM,14-Feb-2014,46.50,47.00,46.50,47.00,3500
SZTM,17-Feb-2014,44.70,44.70,44.70,44.70,1000
SZTM,19-Feb-2014,42.50,42.50,42.50,42.50,1500
SZTM,03-Mar-2014,39.43,43.57,39.43,39.50,1500
SZTM,04-Mar-2014,37.53,41.47,37.53,37.80,2000
SZTM,05-Mar-2014,36.00,36.00,36.00,36.00,2500
SZTM,06-Mar-2014,36.00,36.00,36.00,36.00,1500
SZTM,07-Mar-2014,34.25,34.25,34.20,34.20,1000
SZTM,10-Mar-2014,34.25,34.25,34.25,34.25,500
SZTM,24-Apr-2014,33.00,33.00,33.00,33.00,1000
SZTM,28-Apr-2014,29.79,29.79,29.79,29.79,500
SZTM,06-May-2014,27.00,27.00,26.13,26.13,1000
SZTM,08-May-2014,25.25,25.25,25.00,25.25,1000
SZTM,14-May-2014,23.75,23.75,23.75,23.75,500
SZTM,26-May-2014,23.75,23.75,23.75,23.75,1000
SZTM,03-Jun-2014,23.20,23.20,23.20,23.20,500
SZTM,24-Jun-2014,23.50,23.50,23.50,23.50,1000
SZTM,05-Aug-2014,21.90,21.90,21.90,21.90,500
SZTM,27-Aug-2014,20.50,20.50,20.50,20.50,1000
SZTM,29-Aug-2014,20.00,20.00,20.00,20.00,1000
SZTM,10-Sep-2014,20.00,20.00,20.00,20.00,500
SZTM,16-Sep-2014,19.00,19.00,19.00,19.00,500
SZTM,19-Sep-2014,20.09,20.09,20.09,20.09,500
SZTM,22-Sep-2014,19.16,19.16,19.16,19.16,500
SZTM,24-Sep-2014,19.50,19.50,19.50,19.50,500
SZTM,29-Sep-2014,20.50,20.50,20.50,20.50,2500
SZTM,03-Oct-2014,24.88,24.88,24.88,24.88,500
SZTM,09-Oct-2014,26.12,26.12,26.12,26.12,500
SZTM,13-Oct-2014,28.79,28.79,28.79,28.79,2000
SZTM,14-Oct-2014,30.22,30.22,30.22,30.22,1500
SZTM,15-Oct-2014,31.73,31.73,31.73,31.73,4500
SZTM,16-Oct-2014,31.10,32.98,31.10,32.98,3000
SZTM,17-Oct-2014,31.34,33.40,31.34,33.40,32000
SZTM,21-Oct-2014,33.30,33.30,33.30,33.30,500
SZTM,23-Oct-2014,32.50,32.50,32.49,32.50,2500
SZTM,27-Oct-2014,30.88,33.68,30.88,30.88,10500
SZTM,12-Nov-2014,30.00,30.00,29.34,29.34,3000
SZTM,13-Nov-2014,28.00,28.00,28.00,28.00,500
SZTM,19-Nov-2014,27.00,27.00,27.00,27.00,500
SZTM,26-Nov-2014,26.50,26.50,26.50,26.50,500
SZTM,27-Nov-2014,25.25,25.25,25.25,25.25,500
SZTM,02-Dec-2014,24.25,24.25,24.25,24.25,1000
SZTM,05-Dec-2014,24.20,24.20,24.20,24.20,500
SZTM,11-Dec-2014,25.40,25.40,25.40,25.40,1500
SZTM,05-Jan-2015,23.85,23.85,23.85,23.85,500
SZTM,06-Jan-2015,23.00,23.00,23.00,23.00,3000
SZTM,12-Jan-2015,24.15,24.15,24.15,24.15,500
SZTM,13-Jan-2015,25.35,25.35,25.35,25.35,500
SZTM,14-Jan-2015,26.61,26.61,26.61,26.61,500
SZTM,15-Jan-2015,25.50,27.75,25.50,27.75,1500
SZTM,28-Jan-2015,26.37,26.37,26.37,26.37,2000
SZTM,13-Feb-2015,26.50,26.50,26.50,26.50,500
SZTM,22-Jun-2015,26.00,26.25,26.00,26.25,26000
SZTM,23-Jun-2015,27.56,27.56,25.00,25.40,5500
SZTM,25-Jun-2015,24.13,24.13,24.13,24.13,4000
SZTM,06-Jul-2015,25.00,25.00,25.00,25.00,1000
SZTM,15-Jul-2015,23.80,23.80,23.80,23.80,500
SZTM,16-Jul-2015,22.61,22.61,22.61,22.61,3000
SZTM,22-Jul-2015,21.50,21.55,21.50,21.50,2500
SZTM,24-Jul-2015,21.55,22.00,21.55,22.00,1500
