Symbol,Date,Open,High,Low,Close,Volume
TATM,01-Jan-2014,62.00,64.00,60.40,62.16,37000
TATM,02-Jan-2014,63.00,63.90,61.00,62.02,63500
TATM,03-Jan-2014,60.75,62.00,60.75,61.77,13000
TATM,06-Jan-2014,60.50,64.01,60.50,63.33,37000
TATM,07-Jan-2014,62.00,65.00,62.00,64.80,23500
TATM,08-Jan-2014,66.70,67.69,66.00,67.36,19500
TATM,09-Jan-2014,68.00,69.40,67.00,67.32,19500
TATM,10-Jan-2014,66.00,68.00,65.00,66.07,15000
TATM,13-Jan-2014,66.00,66.00,62.80,64.00,20000
TATM,15-Jan-2014,64.50,65.00,63.50,64.20,24000
TATM,16-Jan-2014,63.25,63.25,60.99,61.00,11500
TATM,17-Jan-2014,60.10,62.75,60.00,62.29,16500
TATM,20-Jan-2014,64.98,65.00,63.01,63.05,19500
TATM,21-Jan-2014,63.00,64.50,63.00,64.50,5500
TATM,22-Jan-2014,64.50,64.90,64.50,64.75,15000
TATM,23-Jan-2014,64.89,67.49,64.89,65.77,55000
TATM,24-Jan-2014,65.99,67.00,65.00,65.60,80500
TATM,27-Jan-2014,63.75,67.50,63.11,65.87,36000
TATM,28-Jan-2014,67.00,69.16,67.00,69.16,74000
TATM,29-Jan-2014,72.61,72.61,72.61,72.61,10000
TATM,30-Jan-2014,76.24,76.24,72.55,73.90,359000
TATM,31-Jan-2014,76.50,76.50,73.00,73.60,121500
TATM,03-Feb-2014,75.65,75.84,69.92,70.28,314500
TATM,04-Feb-2014,67.55,70.00,66.77,67.33,155500
TATM,06-Feb-2014,66.60,68.50,66.50,67.12,41500
TATM,07-Feb-2014,67.50,67.92,65.00,65.42,33000
TATM,10-Feb-2014,64.01,64.01,62.15,63.60,71500
TATM,11-Feb-2014,63.00,64.95,61.25,63.68,24500
TATM,12-Feb-2014,66.40,66.40,64.25,64.45,15000
TATM,13-Feb-2014,64.01,64.75,64.00,64.73,3500
TATM,14-Feb-2014,61.70,64.00,61.55,61.89,26500
TATM,17-Feb-2014,60.81,60.81,58.80,58.93,39000
TATM,18-Feb-2014,60.75,60.75,57.20,60.00,24500
TATM,19-Feb-2014,62.00,63.00,61.01,62.49,28000
TATM,20-Feb-2014,63.70,63.90,61.00,61.21,11500
TATM,21-Feb-2014,61.90,62.50,61.00,61.50,14500
TATM,24-Feb-2014,64.57,64.57,64.40,64.57,76500
TATM,25-Feb-2014,67.79,67.79,65.60,66.38,112000
TATM,26-Feb-2014,66.99,67.00,65.00,65.13,31500
TATM,27-Feb-2014,64.45,64.49,62.25,62.47,11500
TATM,28-Feb-2014,63.50,64.39,62.50,62.98,16500
TATM,03-Mar-2014,62.30,62.30,61.75,62.00,11000
TATM,04-Mar-2014,63.48,64.50,63.20,64.10,18000
TATM,05-Mar-2014,64.95,65.75,64.57,65.10,24000
TATM,06-Mar-2014,64.00,65.00,63.60,65.00,9000
TATM,07-Mar-2014,65.50,65.50,63.23,64.95,6500
TATM,10-Mar-2014,62.02,63.99,62.01,63.75,7500
TATM,11-Mar-2014,64.94,64.94,60.57,60.65,26500
TATM,12-Mar-2014,59.61,59.61,57.62,57.62,40500
TATM,13-Mar-2014,58.75,58.75,55.50,55.51,7000
TATM,14-Mar-2014,57.00,58.28,56.61,58.28,63000
TATM,17-Mar-2014,60.00,60.00,58.00,58.40,20000
TATM,18-Mar-2014,57.00,57.99,56.30,56.30,14000
TATM,19-Mar-2014,56.20,56.20,54.50,54.58,22500
TATM,20-Mar-2014,54.00,54.50,53.41,54.50,6000
TATM,21-Mar-2014,54.50,54.50,54.50,54.50,1000
TATM,24-Mar-2014,52.50,52.50,52.20,52.27,9500
TATM,25-Mar-2014,52.49,52.49,50.65,51.26,72000
TATM,26-Mar-2014,52.99,52.99,50.50,52.49,10500
TATM,27-Mar-2014,52.99,53.00,50.50,50.67,17500
TATM,28-Mar-2014,50.50,51.28,50.00,50.86,19000
TATM,31-Mar-2014,51.00,51.00,51.00,51.00,500
TATM,01-Apr-2014,51.50,52.49,50.50,51.80,21000
TATM,02-Apr-2014,51.95,52.00,51.50,51.78,5000
TATM,03-Apr-2014,50.55,51.90,50.55,51.40,6500
TATM,04-Apr-2014,50.25,51.00,50.10,50.40,8000
TATM,07-Apr-2014,50.50,50.50,50.00,50.23,7500
TATM,08-Apr-2014,50.99,52.74,50.99,52.74,38000
TATM,09-Apr-2014,53.00,54.30,52.74,53.95,22500
TATM,10-Apr-2014,54.95,55.80,52.31,53.10,23000
TATM,11-Apr-2014,51.75,53.00,51.50,51.73,10000
TATM,14-Apr-2014,50.51,51.80,49.30,50.34,20000
TATM,15-Apr-2014,49.90,49.90,48.05,48.34,10500
TATM,16-Apr-2014,48.00,50.35,48.00,48.90,23000
TATM,17-Apr-2014,49.40,50.30,47.10,48.06,18500
TATM,18-Apr-2014,48.75,50.46,48.50,50.46,43500
TATM,21-Apr-2014,50.00,50.00,48.05,48.76,18000
TATM,22-Apr-2014,49.90,49.90,48.50,48.51,12500
TATM,23-Apr-2014,49.66,50.46,48.03,48.03,26500
TATM,24-Apr-2014,48.05,48.47,47.75,48.11,5000
TATM,25-Apr-2014,46.25,48.00,46.25,47.50,1500
TATM,28-Apr-2014,46.00,46.00,45.16,45.38,26000
TATM,29-Apr-2014,45.00,45.00,43.12,43.12,25000
TATM,30-Apr-2014,44.40,44.95,44.40,44.95,6000
TATM,05-May-2014,43.25,43.50,42.71,43.06,11000
TATM,06-May-2014,42.90,43.50,42.90,43.50,2000
TATM,07-May-2014,42.97,44.39,42.95,44.20,2000
TATM,08-May-2014,42.66,44.80,42.66,44.23,2500
TATM,09-May-2014,43.28,43.71,43.28,43.50,1000
TATM,13-May-2014,42.36,42.90,41.40,41.78,9500
TATM,14-May-2014,41.05,41.45,40.85,41.45,3000
TATM,15-May-2014,40.55,43.25,40.55,42.84,10500
TATM,16-May-2014,43.65,44.98,43.65,44.97,12000
TATM,19-May-2014,46.50,46.50,44.00,45.85,4000
TATM,20-May-2014,44.50,46.20,44.50,46.20,2000
TATM,21-May-2014,47.75,47.75,45.89,46.49,1500
TATM,22-May-2014,44.71,44.71,44.71,44.71,500
TATM,23-May-2014,45.11,46.20,45.11,46.20,1000
TATM,26-May-2014,45.50,47.35,45.50,46.86,11500
TATM,27-May-2014,46.50,46.50,46.50,46.50,500
TATM,28-May-2014,45.11,46.40,45.00,45.10,4000
TATM,29-May-2014,45.00,47.25,44.85,47.25,4500
TATM,30-May-2014,48.25,48.25,48.25,48.25,1000
TATM,02-Jun-2014,46.25,47.50,46.25,46.90,12000
TATM,03-Jun-2014,46.00,46.00,44.56,44.56,17500
TATM,04-Jun-2014,46.65,46.78,46.25,46.78,31000
TATM,05-Jun-2014,47.75,48.00,46.55,46.55,6000
TATM,06-Jun-2014,45.60,45.65,45.60,45.60,2500
TATM,09-Jun-2014,46.00,46.00,44.50,44.50,8000
TATM,10-Jun-2014,45.00,45.70,44.15,44.95,3000
TATM,11-Jun-2014,44.16,45.50,44.16,44.71,4000
TATM,12-Jun-2014,45.00,46.00,45.00,45.63,16000
TATM,13-Jun-2014,45.00,46.74,45.00,46.00,10500
