Symbol,Date,Open,High,Low,Close,Volume
TCORPCPS,31-Aug-2022,5.20,5.21,5.20,5.21,10500
TCORPCPS,01-Sep-2022,5.60,5.60,5.60,5.60,500
TCORPCPS,05-Sep-2022,4.70,4.70,4.70,4.70,500
TCORPCPS,20-Sep-2022,4.00,4.66,3.71,4.66,13500
TCORPCPS,21-Sep-2022,4.13,4.13,4.13,4.13,3500
TCORPCPS,22-Sep-2022,3.51,3.51,3.51,3.51,2000
TCORPCPS,07-Oct-2022,3.01,3.01,3.00,3.00,1000
TCORPCPS,10-Oct-2022,3.00,3.00,3.00,3.00,1000
TCORPCPS,17-Oct-2022,3.00,3.00,3.00,3.00,1500
TCORPCPS,18-Oct-2022,4.00,4.00,4.00,4.00,500
TCORPCPS,24-Oct-2022,4.95,4.95,4.95,4.95,500
TCORPCPS,01-Dec-2022,3.94,3.94,3.94,3.94,1500
TCORPCPS,16-Dec-2022,2.94,2.94,2.94,2.94,500
TCORPCPS,28-Dec-2022,2.56,2.56,2.56,2.56,500
TCORPCPS,12-Jan-2023,3.55,3.55,3.55,3.55,500
TCORPCPS,13-Jan-2023,4.54,4.55,4.54,4.55,1500
TCORPCPS,16-Jan-2023,5.55,5.55,5.55,5.55,500
TCORPCPS,17-Jan-2023,6.49,6.55,6.49,6.55,3000
TCORPCPS,18-Jan-2023,7.55,7.55,7.55,7.55,500
TCORPCPS,19-Jan-2023,8.30,8.30,8.30,8.30,500
TCORPCPS,23-Jan-2023,9.30,9.30,9.30,9.30,500
TCORPCPS,27-Jan-2023,10.30,10.30,10.30,10.30,500
TCORPCPS,30-Jan-2023,9.50,9.50,9.50,9.50,500
TCORPCPS,15-Mar-2023,9.50,9.50,9.50,9.50,500
TCORPCPS,20-Mar-2023,9.50,9.50,9.50,9.50,500
TCORPCPS,07-Jun-2023,10.49,10.49,10.49,10.49,1000
TCORPCPS,04-Oct-2023,10.34,10.34,10.34,10.34,5000
TCORPCPS,01-Dec-2023,9.99,11.33,9.99,10.33,3500
TCORPCPS,18-Dec-2023,10.84,10.84,10.84,10.84,500
TCORPCPS,03-Jan-2024,11.82,11.82,11.82,11.82,500
TCORPCPS,15-Jan-2024,8.82,8.82,8.82,8.82,2500
TCORPCPS,19-Jan-2024,9.30,9.30,9.30,9.30,500
TCORPCPS,02-Feb-2024,9.90,9.90,9.90,9.90,1000
TCORPCPS,14-Feb-2024,7.92,7.92,7.92,7.92,2500
TCORPCPS,20-Feb-2024,7.50,7.50,7.50,7.50,1000
TCORPCPS,21-Feb-2024,7.50,7.50,7.50,7.50,2000
TCORPCPS,22-Feb-2024,8.00,8.00,7.30,7.30,1000
TCORPCPS,23-Feb-2024,7.00,7.00,7.00,7.00,3500
TCORPCPS,26-Feb-2024,6.35,6.35,6.00,6.00,114500
TCORPCPS,27-Feb-2024,5.24,5.80,5.24,5.79,2500
TCORPCPS,28-Feb-2024,5.97,5.97,5.97,5.97,2500
TCORPCPS,04-Mar-2024,5.60,6.35,5.40,6.35,11000
TCORPCPS,05-Mar-2024,5.80,5.80,5.35,5.60,104500
TCORPCPS,06-Mar-2024,5.75,5.75,5.75,5.75,500
TCORPCPS,07-Mar-2024,5.80,5.80,5.80,5.80,2000
TCORPCPS,12-Mar-2024,5.84,5.85,5.84,5.85,1000
TCORPCPS,13-Mar-2024,6.00,6.20,6.00,6.20,1000
TCORPCPS,21-Mar-2024,5.40,5.80,5.35,5.80,1500
TCORPCPS,15-Apr-2024,5.20,5.20,5.01,5.01,2000
TCORPCPS,16-Apr-2024,4.50,5.00,4.15,5.00,3000
TCORPCPS,17-Apr-2024,5.50,5.50,5.50,5.50,500
TCORPCPS,18-Apr-2024,5.88,5.88,5.88,5.88,500
TCORPCPS,19-Apr-2024,5.10,5.30,5.10,5.30,3000
TCORPCPS,22-Apr-2024,5.60,6.00,5.00,5.36,4000
TCORPCPS,23-Apr-2024,6.30,6.30,6.30,6.30,1000
TCORPCPS,25-Apr-2024,6.50,6.99,5.50,6.00,2500
TCORPCPS,30-Apr-2024,5.50,6.18,5.50,6.18,1000
TCORPCPS,08-May-2024,6.15,6.18,6.00,6.18,3500
TCORPCPS,09-May-2024,6.48,6.90,6.48,6.90,1000
TCORPCPS,10-May-2024,6.20,6.60,6.20,6.60,1000
TCORPCPS,13-May-2024,6.69,6.69,6.69,6.69,500
TCORPCPS,14-May-2024,6.68,6.68,6.30,6.30,3500
TCORPCPS,16-May-2024,6.68,6.68,6.68,6.68,500
TCORPCPS,23-May-2024,6.68,6.68,6.68,6.68,500
TCORPCPS,29-May-2024,6.11,6.11,6.10,6.10,2000
TCORPCPS,31-May-2024,6.59,6.59,6.59,6.59,500
TCORPCPS,04-Jun-2024,6.50,6.55,6.50,6.59,115
TCORPCPS,14-Jun-2024,6.50,6.50,6.45,6.45,1500
TCORPCPS,21-Jun-2024,6.50,6.50,6.30,6.30,2600
TCORPCPS,24-Jun-2024,6.50,6.50,6.50,6.30,2
TCORPCPS,25-Jun-2024,6.40,6.40,6.40,6.30,2
TCORPCPS,27-Jun-2024,5.80,6.59,5.80,6.30,360
TCORPCPS,01-Jul-2024,6.46,6.49,6.46,6.30,16
TCORPCPS,03-Jul-2024,6.59,7.00,6.59,6.99,1020
TCORPCPS,04-Jul-2024,7.35,7.40,7.35,7.40,500
TCORPCPS,09-Jul-2024,7.80,7.80,7.80,7.80,500
TCORPCPS,10-Jul-2024,8.00,8.00,8.00,7.80,60
TCORPCPS,11-Jul-2024,7.90,8.15,7.90,8.05,500
TCORPCPS,12-Jul-2024,8.49,8.98,8.49,8.80,500
TCORPCPS,19-Jul-2024,9.00,9.75,9.00,9.59,500
TCORPCPS,26-Jul-2024,9.00,10.50,9.00,10.15,610
TCORPCPS,29-Jul-2024,9.14,10.39,9.14,9.29,641
TCORPCPS,30-Jul-2024,9.99,9.99,8.92,9.29,148
TCORPCPS,31-Jul-2024,9.99,9.99,9.88,9.29,31
TCORPCPS,01-Aug-2024,9.95,9.95,9.95,9.29,1
TCORPCPS,02-Aug-2024,9.97,9.99,9.97,9.29,2
TCORPCPS,05-Aug-2024,9.75,9.75,9.75,9.29,1
TCORPCPS,06-Aug-2024,9.75,9.75,9.75,9.29,4
TCORPCPS,07-Aug-2024,9.50,9.50,9.37,9.29,6
TCORPCPS,08-Aug-2024,9.75,9.75,9.75,9.29,5
TCORPCPS,09-Aug-2024,9.75,10.28,9.75,10.07,503
TCORPCPS,12-Aug-2024,10.25,10.25,10.14,10.07,2
TCORPCPS,15-Aug-2024,9.07,9.07,9.06,10.07,30
TCORPCPS,16-Aug-2024,9.06,11.08,9.06,9.13,1712
TCORPCPS,19-Aug-2024,9.99,9.99,9.50,9.50,5002
TCORPCPS,20-Aug-2024,8.51,9.49,8.50,8.66,992
TCORPCPS,21-Aug-2024,9.48,9.48,9.27,8.66,514
TCORPCPS,22-Aug-2024,9.50,9.65,9.27,9.61,505
TCORPCPS,23-Aug-2024,9.43,10.50,9.43,9.61,1037
TCORPCPS,26-Aug-2024,9.98,9.98,9.98,9.61,1
TCORPCPS,27-Aug-2024,9.80,9.80,9.80,9.61,5
TCORPCPS,29-Aug-2024,10.10,10.58,10.10,10.48,505
TCORPCPS,30-Aug-2024,10.00,10.48,9.50,10.48,1017
TCORPCPS,02-Sep-2024,10.39,10.39,10.39,10.48,5
TCORPCPS,06-Sep-2024,11.48,11.48,10.99,11.46,25005
TCORPCPS,09-Sep-2024,11.18,11.18,11.18,11.46,36
TCORPCPS,12-Sep-2024,12.50,12.50,12.50,11.46,5
TCORPCPS,13-Sep-2024,11.99,11.99,11.99,11.46,1
TCORPCPS,19-Sep-2024,11.98,11.98,10.31,11.46,130
TCORPCPS,20-Sep-2024,10.39,10.99,10.31,11.46,107
TCORPCPS,25-Sep-2024,11.99,11.99,11.96,11.46,11
TCORPCPS,26-Sep-2024,11.30,11.30,11.30,11.46,496
TCORPCPS,27-Sep-2024,10.98,11.48,10.98,11.46,11
TCORPCPS,30-Sep-2024,11.69,11.69,10.31,11.46,145
TCORPCPS,04-Oct-2024,11.44,11.85,11.44,11.46,35
TCORPCPS,09-Oct-2024,11.49,11.49,11.49,10.62,5
TCORPCPS,10-Oct-2024,11.35,11.35,9.56,9.56,45224
TCORPCPS,11-Oct-2024,10.00,10.00,9.00,9.56,35
TCORPCPS,14-Oct-2024,9.50,9.50,9.47,9.56,15
TCORPCPS,15-Oct-2024,8.56,9.54,8.56,9.42,1643
TCORPCPS,18-Oct-2024,9.94,9.94,8.42,8.42,679
TCORPCPS,21-Oct-2024,9.39,9.39,9.34,8.42,6
TCORPCPS,22-Oct-2024,9.34,9.34,9.34,8.42,5
TCORPCPS,23-Oct-2024,9.30,9.30,9.30,8.42,15
TCORPCPS,24-Oct-2024,9.30,9.30,7.43,7.44,581
TCORPCPS,25-Oct-2024,8.44,8.44,6.44,6.56,1104
TCORPCPS,28-Oct-2024,7.49,7.49,5.56,6.56,54
TCORPCPS,29-Oct-2024,5.62,6.00,5.56,6.00,31068
TCORPCPS,30-Oct-2024,6.00,6.01,6.00,6.00,10010
TCORPCPS,31-Oct-2024,6.00,6.30,6.00,6.00,20055
TCORPCPS,01-Nov-2024,5.90,5.90,5.90,5.90,4171
