Symbol,Date,Open,High,Low,Close,Volume
TGL,01-Jan-2014,25.20,25.41,24.70,25.41,1234000
TGL,02-Jan-2014,26.48,26.48,25.40,25.57,1111000
TGL,03-Jan-2014,25.85,26.84,25.85,26.84,1284000
TGL,06-Jan-2014,28.18,28.18,27.60,28.18,618500
TGL,07-Jan-2014,29.58,29.58,29.58,29.58,253500
TGL,08-Jan-2014,30.73,31.05,28.50,31.05,2961000
TGL,09-Jan-2014,32.60,32.60,32.60,32.60,823000
TGL,10-Jan-2014,34.23,34.23,32.99,34.23,4449500
TGL,13-Jan-2014,35.94,35.94,35.75,35.94,1109000
TGL,15-Jan-2014,37.73,37.73,37.73,37.73,90000
TGL,16-Jan-2014,39.61,39.61,39.61,39.61,160500
TGL,17-Jan-2014,41.59,41.59,37.63,37.91,2994000
TGL,20-Jan-2014,38.48,39.80,36.02,39.80,1580000
TGL,21-Jan-2014,41.79,41.79,41.79,41.79,162500
TGL,22-Jan-2014,43.87,43.87,40.01,40.71,3448500
TGL,23-Jan-2014,40.15,42.70,38.68,40.99,1866500
TGL,24-Jan-2014,40.50,41.40,39.55,40.29,337500
TGL,27-Jan-2014,40.11,40.29,38.30,38.48,512500
TGL,28-Jan-2014,38.48,39.45,37.81,37.99,262500
TGL,29-Jan-2014,38.50,39.50,37.50,38.02,792500
TGL,30-Jan-2014,38.15,38.50,37.50,38.04,723000
TGL,31-Jan-2014,38.10,39.48,38.10,39.06,547000
TGL,03-Feb-2014,38.70,39.50,38.15,38.38,368500
TGL,04-Feb-2014,38.10,38.50,38.00,38.00,249500
TGL,06-Feb-2014,38.05,39.90,38.00,39.90,585500
TGL,07-Feb-2014,41.49,41.79,39.20,39.98,822000
TGL,10-Feb-2014,39.75,40.00,38.00,38.24,505500
TGL,11-Feb-2014,38.45,38.45,37.76,38.04,99000
TGL,12-Feb-2014,38.25,39.10,38.21,38.52,300500
TGL,13-Feb-2014,38.60,40.44,38.51,40.44,767000
TGL,14-Feb-2014,41.00,41.49,39.25,39.38,666000
TGL,17-Feb-2014,39.00,39.00,37.80,37.86,217500
TGL,18-Feb-2014,37.52,37.90,35.98,37.01,294500
TGL,19-Feb-2014,37.90,38.15,35.80,36.02,253500
TGL,20-Feb-2014,37.05,37.05,35.55,36.03,155000
TGL,21-Feb-2014,36.50,36.89,35.90,36.46,133500
TGL,24-Feb-2014,36.07,36.25,35.25,35.46,236000
TGL,25-Feb-2014,35.50,35.84,34.05,34.38,114000
TGL,26-Feb-2014,34.00,34.25,33.10,33.80,59500
TGL,27-Feb-2014,33.75,35.20,33.75,34.38,264500
TGL,28-Feb-2014,34.99,36.09,32.67,32.67,433000
TGL,03-Mar-2014,31.04,34.30,31.04,34.18,1521000
TGL,04-Mar-2014,33.70,35.20,33.35,33.60,261500
TGL,05-Mar-2014,32.80,35.28,32.80,35.28,462000
TGL,06-Mar-2014,37.04,37.04,35.90,37.04,847500
TGL,07-Mar-2014,37.75,38.49,37.71,37.93,417000
TGL,10-Mar-2014,37.50,38.10,37.00,37.64,223500
TGL,11-Mar-2014,37.40,37.75,37.35,37.43,240500
TGL,12-Mar-2014,37.89,39.30,37.51,39.30,1166000
TGL,13-Mar-2014,39.60,41.26,39.45,41.26,966500
TGL,14-Mar-2014,41.80,43.30,41.60,43.01,620500
TGL,17-Mar-2014,43.00,44.35,41.75,43.53,636000
TGL,18-Mar-2014,43.75,44.00,42.70,43.19,615500
TGL,19-Mar-2014,42.60,42.90,41.90,42.01,288000
TGL,20-Mar-2014,42.20,42.60,41.80,42.29,542000
TGL,21-Mar-2014,42.20,42.20,41.20,41.20,237000
TGL,24-Mar-2014,40.50,41.00,40.50,40.98,56000
