Symbol,Date,Open,High,Low,Close,Volume
THALL,01-Jan-2014,139.50,145.17,139.50,144.90,58400
THALL,02-Jan-2014,148.00,152.14,148.00,151.51,212400
THALL,03-Jan-2014,154.85,159.08,152.50,158.99,467400
THALL,06-Jan-2014,160.85,165.01,157.00,157.94,516000
THALL,07-Jan-2014,157.51,162.00,157.51,160.46,137900
THALL,08-Jan-2014,160.99,161.55,158.51,159.14,24500
THALL,09-Jan-2014,158.98,159.49,156.01,157.36,62600
THALL,10-Jan-2014,156.00,165.22,156.00,165.22,157000
THALL,13-Jan-2014,166.25,172.85,166.00,168.11,215800
THALL,15-Jan-2014,169.00,172.00,167.13,170.17,88600
THALL,16-Jan-2014,170.00,174.00,169.00,172.64,109800
THALL,17-Jan-2014,175.00,181.27,173.00,181.27,527400
THALL,20-Jan-2014,186.44,189.85,185.00,188.41,253900
THALL,21-Jan-2014,188.50,188.50,179.15,183.59,246500
THALL,22-Jan-2014,184.50,185.50,178.11,179.08,99400
THALL,23-Jan-2014,179.99,180.00,172.20,174.78,116000
THALL,24-Jan-2014,171.05,172.75,170.00,171.51,108300
THALL,27-Jan-2014,172.00,172.00,166.00,166.33,18300
THALL,28-Jan-2014,165.00,169.75,164.15,166.27,26900
THALL,29-Jan-2014,163.05,165.50,160.00,161.15,29300
THALL,30-Jan-2014,160.00,167.20,157.00,162.08,66400
THALL,31-Jan-2014,162.99,166.00,161.01,162.04,33100
THALL,03-Feb-2014,163.00,166.50,162.00,164.95,32200
THALL,04-Feb-2014,166.45,167.25,162.00,165.93,37500
THALL,06-Feb-2014,163.05,170.00,163.05,169.66,37500
THALL,07-Feb-2014,170.00,172.00,167.00,171.15,126300
THALL,10-Feb-2014,173.95,173.95,163.51,166.75,45000
THALL,11-Feb-2014,168.00,172.00,165.00,166.81,105300
THALL,12-Feb-2014,168.00,174.50,168.00,168.86,225100
THALL,13-Feb-2014,168.00,168.00,163.51,165.00,10000
THALL,14-Feb-2014,162.01,164.75,157.70,158.55,32700
THALL,17-Feb-2014,152.55,158.00,151.10,155.07,23400
THALL,18-Feb-2014,151.01,155.00,150.20,150.20,18000
THALL,19-Feb-2014,154.00,154.00,144.14,146.22,12900
THALL,20-Feb-2014,144.50,146.25,142.00,142.00,11400
THALL,21-Feb-2014,142.10,142.10,138.00,139.90,47600
THALL,24-Feb-2014,140.00,142.50,140.00,140.13,8300
THALL,25-Feb-2014,141.00,141.00,136.00,139.00,13300
THALL,26-Feb-2014,135.10,142.00,135.10,139.67,3700
THALL,27-Feb-2014,138.01,140.00,138.00,138.85,3100
THALL,28-Feb-2014,140.00,140.00,138.00,138.25,5000
THALL,03-Mar-2014,139.01,144.85,138.05,141.99,27300
THALL,04-Mar-2014,141.05,145.00,140.77,142.84,20200
THALL,05-Mar-2014,145.00,145.00,143.55,144.07,9100
THALL,06-Mar-2014,145.94,151.00,145.94,150.62,15000
THALL,07-Mar-2014,147.50,149.90,144.70,146.20,9800
THALL,10-Mar-2014,147.50,153.51,146.50,153.51,231600
THALL,11-Mar-2014,155.80,158.50,155.51,157.79,32600
THALL,12-Mar-2014,158.90,160.00,157.10,158.34,10700
THALL,13-Mar-2014,162.00,162.10,156.90,161.02,11200
THALL,14-Mar-2014,161.00,164.90,160.01,163.13,17500
THALL,17-Mar-2014,161.02,163.85,155.11,156.47,12400
THALL,18-Mar-2014,155.01,158.75,155.00,158.66,5100
THALL,19-Mar-2014,158.00,162.50,157.11,162.03,13700
THALL,20-Mar-2014,162.00,162.00,159.55,159.99,24500
THALL,21-Mar-2014,164.99,166.50,160.11,161.61,17900
THALL,24-Mar-2014,165.00,165.00,160.00,160.00,6600
THALL,25-Mar-2014,162.00,165.00,161.00,164.28,26000
THALL,26-Mar-2014,163.00,165.40,163.00,164.80,5100
THALL,27-Mar-2014,163.00,165.00,161.70,164.56,14700
THALL,28-Mar-2014,168.00,172.78,165.00,169.73,168400
THALL,31-Mar-2014,170.99,175.78,167.00,169.74,133700
THALL,01-Apr-2014,170.65,173.00,167.00,169.06,32000
THALL,02-Apr-2014,170.00,175.00,170.00,172.52,142600
THALL,03-Apr-2014,173.00,181.14,172.50,181.14,329900
THALL,04-Apr-2014,185.00,190.19,183.10,190.19,287000
THALL,07-Apr-2014,195.99,198.80,190.00,193.08,263000
THALL,08-Apr-2014,192.02,195.99,186.50,193.73,157400
THALL,09-Apr-2014,192.00,202.20,191.01,198.27,453600
THALL,10-Apr-2014,198.70,201.30,196.10,198.30,128700
THALL,11-Apr-2014,197.02,202.00,196.01,196.35,163600
THALL,14-Apr-2014,197.20,199.49,196.00,197.54,39600
THALL,15-Apr-2014,196.01,196.50,192.00,192.63,33900
THALL,16-Apr-2014,193.50,196.40,191.50,192.63,44800
THALL,17-Apr-2014,192.00,194.90,187.00,187.34,69200
THALL,18-Apr-2014,189.90,190.25,177.98,178.58,160200
THALL,21-Apr-2014,182.75,183.90,180.10,181.27,16000
THALL,22-Apr-2014,184.90,185.01,181.25,181.63,96900
THALL,23-Apr-2014,184.00,187.00,181.22,182.48,125800
THALL,24-Apr-2014,184.89,186.00,182.50,183.41,113600
THALL,25-Apr-2014,185.90,187.90,180.00,180.59,71900
THALL,28-Apr-2014,182.50,184.80,181.75,182.70,60100
THALL,29-Apr-2014,182.75,182.75,176.02,176.81,76100
THALL,30-Apr-2014,180.00,183.10,178.50,182.84,17200
THALL,02-May-2014,183.91,185.65,180.18,181.23,124600
THALL,05-May-2014,183.00,183.00,178.50,180.60,171500
THALL,06-May-2014,180.00,180.00,177.50,178.33,13700
THALL,07-May-2014,175.17,178.49,174.90,175.79,48700
THALL,08-May-2014,175.01,179.00,175.00,178.49,8500
THALL,09-May-2014,176.00,181.95,176.00,177.01,54200
THALL,12-May-2014,176.00,176.00,173.00,173.64,18200
THALL,13-May-2014,170.10,176.00,169.70,173.05,16000
THALL,14-May-2014,175.70,176.75,174.00,175.22,22300
THALL,15-May-2014,175.10,183.98,175.00,183.73,77200
THALL,16-May-2014,192.50,192.91,186.00,187.33,187500
THALL,19-May-2014,185.01,185.02,181.00,183.23,28000
THALL,20-May-2014,183.00,188.80,183.00,186.89,89000
THALL,21-May-2014,189.00,196.23,189.00,196.23,288800
THALL,22-May-2014,201.00,205.00,199.00,202.88,301000
THALL,23-May-2014,202.00,204.00,200.00,201.25,128800
THALL,26-May-2014,202.99,205.81,200.00,203.21,166700
THALL,27-May-2014,203.99,204.90,200.00,202.65,123500
THALL,28-May-2014,203.00,208.34,200.00,204.10,466400
THALL,29-May-2014,205.50,214.30,205.00,214.30,419200
THALL,30-May-2014,216.10,218.00,205.17,207.32,135100
THALL,02-Jun-2014,203.50,211.80,203.50,206.01,51500
THALL,03-Jun-2014,206.30,206.30,195.71,202.36,50700
THALL,04-Jun-2014,204.94,205.00,197.10,197.72,18300
THALL,05-Jun-2014,197.50,201.00,193.01,195.50,24400
THALL,06-Jun-2014,195.00,197.00,190.17,192.21,10700
THALL,09-Jun-2014,193.00,194.00,191.00,191.83,9700
THALL,10-Jun-2014,192.00,192.00,186.01,189.28,23200
THALL,11-Jun-2014,190.00,196.50,189.51,195.84,76100
THALL,12-Jun-2014,196.50,197.90,194.10,194.96,20600
THALL,13-Jun-2014,195.00,195.00,190.61,191.72,43400
THALL,16-Jun-2014,189.00,197.00,186.01,194.32,17600
THALL,17-Jun-2014,194.50,195.95,188.02,189.10,19800
THALL,18-Jun-2014,191.00,192.00,188.00,189.05,18200
THALL,19-Jun-2014,185.05,191.49,185.00,186.32,22100
THALL,20-Jun-2014,185.01,195.40,185.00,193.38,76000
THALL,23-Jun-2014,193.50,198.50,190.89,196.65,18700
THALL,24-Jun-2014,199.98,200.98,194.90,195.02,29100
THALL,25-Jun-2014,194.00,198.50,192.10,192.50,66800
THALL,26-Jun-2014,196.00,196.00,193.20,193.29,7100
THALL,27-Jun-2014,190.00,202.95,190.00,201.73,110000
THALL,30-Jun-2014,200.10,211.81,200.02,207.39,157800
THALL,01-Jul-2014,207.50,211.81,201.00,210.19,73700
THALL,02-Jul-2014,211.00,215.00,209.50,213.05,39800
THALL,03-Jul-2014,214.00,223.70,214.00,223.70,135600
THALL,04-Jul-2014,227.89,233.00,222.00,223.57,279100
THALL,07-Jul-2014,224.00,224.00,216.16,217.67,10000
THALL,08-Jul-2014,216.00,217.50,213.11,214.06,14100
THALL,09-Jul-2014,212.00,219.50,212.00,216.75,15200
THALL,10-Jul-2014,214.01,216.00,213.10,215.86,12500
THALL,11-Jul-2014,215.01,215.01,210.50,213.49,7600
THALL,14-Jul-2014,214.85,224.16,214.85,224.16,53500
THALL,15-Jul-2014,230.00,232.99,223.50,230.99,248000
THALL,16-Jul-2014,230.01,234.72,230.00,231.88,144600
THALL,17-Jul-2014,231.50,233.90,230.00,232.60,42900
THALL,18-Jul-2014,231.90,242.00,231.90,238.44,151900
THALL,21-Jul-2014,238.50,239.40,232.00,237.67,64800
THALL,22-Jul-2014,236.00,240.00,236.00,236.39,15000
THALL,23-Jul-2014,236.50,240.00,236.50,237.29,13900
THALL,24-Jul-2014,238.00,240.00,236.30,237.21,42800
THALL,28-Jul-2014,230.01,234.50,228.35,229.91,5300
THALL,04-Aug-2014,221.05,228.00,219.00,220.15,58300
THALL,05-Aug-2014,213.25,221.00,213.25,218.13,37300
THALL,06-Aug-2014,220.00,220.00,213.01,214.32,11400
THALL,07-Aug-2014,207.00,222.00,205.00,219.39,70200
THALL,08-Aug-2014,219.50,221.00,217.51,217.76,2400
THALL,11-Aug-2014,209.50,209.50,206.88,207.00,35200
THALL,12-Aug-2014,198.00,215.00,197.00,211.78,104800
THALL,13-Aug-2014,206.20,222.25,206.20,214.05,240000
THALL,15-Aug-2014,215.00,221.00,215.00,219.71,16200
THALL,18-Aug-2014,220.00,226.80,220.00,225.00,53400
THALL,19-Aug-2014,222.00,222.99,216.00,218.88,23400
THALL,20-Aug-2014,220.50,222.90,217.11,220.22,9100
THALL,21-Aug-2014,226.00,229.00,220.00,220.01,31100
THALL,22-Aug-2014,222.99,222.99,216.00,218.36,16400
THALL,25-Aug-2014,216.00,222.00,210.10,210.68,26500
THALL,26-Aug-2014,210.00,210.50,200.15,200.15,281400
THALL,27-Aug-2014,192.01,193.00,190.15,190.15,38800
THALL,28-Aug-2014,182.26,189.00,180.66,187.33,64600
THALL,29-Aug-2014,192.48,196.69,190.01,196.69,38100
THALL,01-Sep-2014,190.01,200.00,190.01,200.00,3700
THALL,02-Sep-2014,203.00,208.26,202.55,208.21,7000
THALL,03-Sep-2014,208.02,215.00,208.02,213.64,65700
THALL,04-Sep-2014,213.00,215.00,210.00,211.00,9300
THALL,05-Sep-2014,203.03,214.00,203.03,213.88,11700
THALL,08-Sep-2014,217.50,218.00,211.50,215.11,11900
THALL,09-Sep-2014,215.00,218.00,214.00,214.91,30500
THALL,10-Sep-2014,214.91,214.91,214.91,214.91,100
THALL,11-Sep-2014,213.50,217.50,213.13,216.25,5800
THALL,12-Sep-2014,216.50,216.99,215.00,215.02,3600
THALL,15-Sep-2014,212.00,215.00,212.00,215.00,2100
THALL,16-Sep-2014,217.90,217.90,214.00,215.90,8400
THALL,17-Sep-2014,216.00,219.75,215.00,217.73,17500
THALL,18-Sep-2014,219.00,228.61,219.00,228.59,51600
THALL,19-Sep-2014,225.00,232.40,225.00,228.58,19700
THALL,22-Sep-2014,221.15,227.99,220.15,221.68,15800
THALL,23-Sep-2014,222.00,232.76,222.00,232.76,21700
THALL,24-Sep-2014,239.99,244.39,238.00,244.39,47600
THALL,25-Sep-2014,247.10,256.60,244.00,248.97,150000
THALL,26-Sep-2014,248.45,259.98,245.00,252.66,47100
THALL,29-Sep-2014,253.01,253.53,241.00,241.95,18900
THALL,30-Sep-2014,230.00,242.50,230.00,241.00,6700
THALL,01-Oct-2014,248.99,248.99,242.00,242.87,12000
THALL,02-Oct-2014,244.00,245.00,237.00,237.33,6500
THALL,03-Oct-2014,238.50,245.95,233.00,240.00,14100
THALL,09-Oct-2014,238.00,242.00,238.00,240.00,4200
THALL,10-Oct-2014,240.01,240.01,235.00,236.50,11700
THALL,13-Oct-2014,236.51,238.50,233.00,233.78,29200
THALL,14-Oct-2014,238.00,245.46,238.00,245.46,63600
THALL,15-Oct-2014,253.00,257.73,248.00,254.10,186600
THALL,16-Oct-2014,257.00,259.00,244.00,252.69,36200
THALL,17-Oct-2014,254.00,265.32,247.00,257.49,617400
THALL,20-Oct-2014,257.90,268.00,256.56,257.64,451500
THALL,21-Oct-2014,258.10,262.90,255.00,258.08,248800
THALL,22-Oct-2014,260.00,270.98,260.00,268.09,572200
THALL,23-Oct-2014,270.90,281.49,270.00,274.36,995000
THALL,24-Oct-2014,274.99,277.00,266.10,270.96,356000
THALL,27-Oct-2014,272.73,284.50,270.00,281.70,256500
THALL,28-Oct-2014,284.00,285.00,275.12,276.10,57900
THALL,29-Oct-2014,276.98,279.90,271.00,272.33,28300
THALL,30-Oct-2014,272.05,275.50,271.17,272.72,20400
THALL,31-Oct-2014,271.00,271.51,268.50,269.17,8600
