Symbol,Date,Open,High,Low,Close,Volume
THCCL,02-Jan-2014,24.01,24.98,24.01,24.98,1000
THCCL,07-Jan-2014,24.05,24.99,24.05,24.99,1000
THCCL,09-Jan-2014,24.08,24.74,24.08,24.74,1000
THCCL,13-Jan-2014,24.01,24.74,24.01,24.01,1000
THCCL,15-Jan-2014,24.99,25.00,24.99,25.00,1000
THCCL,16-Jan-2014,24.25,25.38,24.25,25.38,1000
THCCL,17-Jan-2014,24.30,24.99,24.15,24.99,4000
THCCL,21-Jan-2014,24.20,24.20,24.20,24.20,3000
THCCL,22-Jan-2014,24.20,25.40,24.20,24.99,5000
THCCL,28-Jan-2014,23.76,26.23,23.76,25.99,2500
THCCL,29-Jan-2014,25.48,25.50,25.48,25.50,1000
THCCL,31-Jan-2014,24.23,26.77,24.23,25.63,1500
THCCL,03-Feb-2014,25.50,25.50,25.00,25.00,5500
THCCL,06-Feb-2014,25.00,25.00,25.00,25.00,1000
THCCL,11-Feb-2014,23.75,24.98,23.75,24.98,1000
THCCL,13-Feb-2014,25.50,25.50,23.75,24.31,4500
THCCL,14-Feb-2014,23.10,25.50,23.10,25.25,5500
THCCL,18-Feb-2014,24.00,25.98,24.00,25.34,4500
THCCL,19-Feb-2014,24.26,25.90,24.08,24.92,6000
THCCL,21-Feb-2014,24.15,26.15,24.15,25.28,6500
THCCL,24-Feb-2014,24.30,26.50,24.30,26.50,1000
THCCL,03-Mar-2014,24.85,24.85,24.85,24.85,1000
THCCL,11-Mar-2014,23.71,25.00,23.71,25.00,2000
THCCL,12-Mar-2014,24.10,25.00,24.10,25.00,1000
THCCL,13-Mar-2014,24.10,25.50,24.10,25.16,2000
THCCL,14-Mar-2014,25.99,26.40,24.10,25.55,6000
THCCL,18-Mar-2014,24.35,25.45,24.35,25.00,12000
THCCL,20-Mar-2014,24.16,25.30,24.16,25.15,1500
THCCL,21-Mar-2014,24.50,25.24,24.50,25.22,21000
THCCL,25-Mar-2014,23.96,24.70,23.96,24.55,2500
THCCL,26-Mar-2014,24.21,24.21,24.21,24.21,500
THCCL,27-Mar-2014,24.94,24.99,24.94,24.96,4500
THCCL,28-Mar-2014,24.00,26.00,24.00,25.50,2000
THCCL,31-Mar-2014,25.50,25.50,25.50,25.50,4000
THCCL,01-Apr-2014,24.30,25.00,24.30,25.00,1500
THCCL,02-Apr-2014,25.00,25.00,25.00,25.00,1000
THCCL,03-Apr-2014,24.15,24.85,24.00,24.80,4500
THCCL,07-Apr-2014,24.00,24.99,24.00,24.69,4000
THCCL,08-Apr-2014,24.26,24.93,24.26,24.92,2500
THCCL,09-Apr-2014,24.80,24.80,24.80,24.80,500
THCCL,11-Apr-2014,25.00,25.68,24.11,25.34,12500
THCCL,14-Apr-2014,24.21,24.99,24.21,24.99,1000
THCCL,15-Apr-2014,24.16,24.98,24.16,24.98,1000
THCCL,21-Apr-2014,24.11,25.27,24.11,25.27,3500
THCCL,22-Apr-2014,25.26,25.26,25.26,25.26,500
THCCL,29-Apr-2014,24.99,25.00,24.01,24.75,2500
THCCL,30-Apr-2014,24.05,24.94,24.05,24.94,1500
THCCL,02-May-2014,24.12,24.12,24.10,24.10,3000
THCCL,05-May-2014,23.50,25.25,23.10,24.51,303500
THCCL,06-May-2014,25.73,25.73,24.50,25.00,15500
THCCL,16-May-2014,24.01,24.95,24.01,24.95,1000
THCCL,21-May-2014,24.03,24.90,24.03,24.70,1500
THCCL,22-May-2014,24.50,24.50,24.50,24.50,2500
THCCL,27-May-2014,24.50,24.99,24.50,24.50,3500
THCCL,28-May-2014,24.50,24.50,24.50,24.50,1000
THCCL,30-May-2014,24.48,24.50,24.48,24.50,2000
THCCL,02-Jun-2014,24.55,24.60,24.51,24.51,226000
THCCL,03-Jun-2014,24.50,24.50,24.50,24.50,500
THCCL,09-Jun-2014,24.50,24.50,24.00,24.30,13000
