Symbol,Date,Open,High,Low,Close,Volume
TRG,01-Jan-2014,8.90,9.35,8.90,9.30,2602000
TRG,02-Jan-2014,9.35,9.55,9.16,9.19,2640000
TRG,03-Jan-2014,9.40,10.19,9.25,10.13,21656500
TRG,06-Jan-2014,10.30,10.34,9.72,9.98,7174000
TRG,07-Jan-2014,10.00,10.10,9.70,9.74,791500
TRG,08-Jan-2014,9.90,9.90,9.56,9.61,952000
TRG,09-Jan-2014,9.60,9.95,9.52,9.60,831000
TRG,10-Jan-2014,9.61,10.06,9.60,9.76,3028000
TRG,13-Jan-2014,9.85,10.00,9.65,9.71,1132500
TRG,15-Jan-2014,9.67,10.25,9.67,10.02,8141500
TRG,16-Jan-2014,10.34,10.92,9.82,10.69,23317500
TRG,17-Jan-2014,10.72,10.95,10.45,10.74,8060500
TRG,20-Jan-2014,10.74,11.04,10.60,10.70,6316000
TRG,21-Jan-2014,10.70,10.89,10.60,10.64,2874500
TRG,22-Jan-2014,10.60,10.95,10.60,10.76,5057000
TRG,23-Jan-2014,10.76,11.17,10.45,10.52,8104500
TRG,24-Jan-2014,10.56,10.70,10.26,10.38,1068500
TRG,27-Jan-2014,10.25,10.40,10.10,10.16,1481000
TRG,28-Jan-2014,10.34,10.37,10.02,10.06,1750000
TRG,29-Jan-2014,10.15,10.25,9.96,10.03,1363000
TRG,30-Jan-2014,10.04,10.33,10.00,10.23,1716000
TRG,31-Jan-2014,10.39,10.44,10.11,10.24,1249000
TRG,03-Feb-2014,10.22,11.04,10.20,10.83,9812500
TRG,04-Feb-2014,10.80,11.10,10.50,10.96,5721000
TRG,06-Feb-2014,10.88,11.22,10.88,11.15,5010000
TRG,07-Feb-2014,11.37,11.49,11.10,11.15,7797500
TRG,10-Feb-2014,11.29,11.30,10.52,10.87,3031000
TRG,11-Feb-2014,10.70,11.04,10.70,10.88,1262000
TRG,12-Feb-2014,10.95,11.15,10.75,10.85,1464000
TRG,13-Feb-2014,10.95,10.95,10.70,10.74,1017500
TRG,14-Feb-2014,10.67,10.85,10.51,10.58,1489500
TRG,17-Feb-2014,10.52,10.73,10.17,10.56,4422500
TRG,18-Feb-2014,10.52,11.11,10.35,10.87,5565000
TRG,19-Feb-2014,10.99,11.86,10.99,11.70,20379000
TRG,20-Feb-2014,11.75,12.70,11.51,12.61,26302000
TRG,21-Feb-2014,12.98,13.37,12.35,12.58,19845000
TRG,24-Feb-2014,12.74,13.04,12.20,12.78,16225000
TRG,25-Feb-2014,12.97,13.26,12.60,12.72,7992000
TRG,26-Feb-2014,12.70,13.42,12.69,13.26,10017500
TRG,27-Feb-2014,13.21,14.26,13.21,14.15,23057500
TRG,28-Feb-2014,14.20,14.73,13.80,14.45,17684500
TRG,03-Mar-2014,14.69,15.19,14.22,14.96,12893000
TRG,04-Mar-2014,14.85,14.95,14.35,14.48,3623000
TRG,05-Mar-2014,14.50,15.00,14.41,14.71,4519500
TRG,06-Mar-2014,14.71,15.18,14.71,15.02,6340500
TRG,07-Mar-2014,15.10,16.02,15.00,16.02,19172000
TRG,10-Mar-2014,16.44,17.02,16.35,17.02,19138500
TRG,11-Mar-2014,17.40,18.02,17.40,18.02,14201500
TRG,12-Mar-2014,18.55,18.60,17.02,17.02,13342000
TRG,13-Mar-2014,16.02,16.40,16.02,16.02,6471500
TRG,14-Mar-2014,15.02,16.02,15.02,15.06,32409500
TRG,17-Mar-2014,15.23,15.55,14.06,14.10,26808500
TRG,18-Mar-2014,14.23,14.90,13.93,14.44,16537000
TRG,19-Mar-2014,14.65,14.91,14.40,14.69,6056500
TRG,20-Mar-2014,14.61,14.94,14.40,14.84,3671000
TRG,21-Mar-2014,14.83,15.59,14.77,15.17,14782000
TRG,24-Mar-2014,15.24,15.56,14.17,14.17,9713000
TRG,25-Mar-2014,13.88,14.38,13.46,14.08,11247000
TRG,26-Mar-2014,14.24,14.43,14.03,14.14,2171500
TRG,27-Mar-2014,14.20,14.24,13.80,13.86,1340500
TRG,28-Mar-2014,13.72,14.30,13.72,14.08,2813500
TRG,31-Mar-2014,14.22,14.45,13.88,13.97,2091500
TRG,01-Apr-2014,14.20,14.27,13.95,14.01,1874500
TRG,02-Apr-2014,14.17,14.44,14.05,14.07,1486500
TRG,03-Apr-2014,14.06,15.07,14.02,15.04,10593000
TRG,04-Apr-2014,15.41,15.50,14.04,14.11,18984500
TRG,07-Apr-2014,14.23,14.53,13.95,14.06,5079500
TRG,08-Apr-2014,13.80,14.50,13.30,13.97,11895500
TRG,09-Apr-2014,14.14,14.44,14.01,14.08,3936000
TRG,10-Apr-2014,14.16,14.35,13.95,14.01,2636000
TRG,11-Apr-2014,14.13,14.13,13.53,13.74,3355500
TRG,14-Apr-2014,13.71,14.19,13.61,13.79,2424500
TRG,15-Apr-2014,13.75,14.30,13.75,13.89,3731500
TRG,16-Apr-2014,14.05,14.89,14.03,14.89,14564000
TRG,17-Apr-2014,15.28,15.76,15.10,15.43,21034500
TRG,18-Apr-2014,15.48,15.86,14.94,15.13,9607500
TRG,21-Apr-2014,15.15,15.30,14.82,14.91,2634000
TRG,22-Apr-2014,15.09,15.40,14.95,15.05,2922500
TRG,23-Apr-2014,15.15,15.43,14.57,14.77,4958000
TRG,24-Apr-2014,14.80,15.09,14.41,14.52,2669000
TRG,25-Apr-2014,14.50,14.65,13.90,13.99,2619000
TRG,28-Apr-2014,14.01,14.11,13.30,13.43,3016000
TRG,29-Apr-2014,13.62,13.62,13.15,13.48,2151500
TRG,30-Apr-2014,13.63,14.10,13.61,13.96,2681500
TRG,02-May-2014,13.86,14.24,13.81,13.92,1248000
TRG,05-May-2014,13.92,14.40,13.80,13.98,4014500
TRG,06-May-2014,14.10,14.38,13.90,14.08,2494000
TRG,07-May-2014,14.24,14.28,13.70,14.11,4987000
TRG,08-May-2014,14.40,14.63,14.23,14.37,6619000
TRG,09-May-2014,14.42,14.63,14.10,14.19,3001500
TRG,12-May-2014,14.20,14.25,13.70,13.79,1769500
TRG,13-May-2014,13.81,13.99,13.35,13.44,1766500
TRG,14-May-2014,13.55,13.75,13.30,13.51,889500
TRG,15-May-2014,13.70,13.87,13.32,13.41,1375500
TRG,16-May-2014,13.50,13.74,13.45,13.53,1110500
TRG,19-May-2014,13.55,13.94,13.50,13.85,2254000
TRG,20-May-2014,13.90,14.15,13.85,13.89,2100500
