Symbol,Date,Open,High,Low,Close,Volume
TRIBL,01-Jan-2014,1.65,1.65,1.65,1.65,500
TRIBL,02-Jan-2014,1.66,1.80,1.60,1.79,55500
TRIBL,06-Jan-2014,1.62,1.65,1.61,1.65,15500
TRIBL,07-Jan-2014,1.69,1.69,1.69,1.69,3000
TRIBL,09-Jan-2014,1.51,1.60,1.50,1.60,261000
TRIBL,10-Jan-2014,1.70,1.70,1.60,1.60,33000
TRIBL,13-Jan-2014,1.61,1.70,1.61,1.70,43000
TRIBL,15-Jan-2014,1.70,1.84,1.70,1.71,55000
TRIBL,16-Jan-2014,1.71,1.80,1.65,1.77,110000
TRIBL,17-Jan-2014,1.78,1.80,1.78,1.80,40000
TRIBL,20-Jan-2014,1.89,1.89,1.82,1.88,23000
TRIBL,21-Jan-2014,1.88,2.07,1.88,2.00,83000
TRIBL,22-Jan-2014,2.03,2.05,2.03,2.05,15000
TRIBL,23-Jan-2014,1.95,2.29,1.95,2.13,274500
TRIBL,24-Jan-2014,2.13,2.13,2.00,2.01,65500
TRIBL,27-Jan-2014,1.93,2.04,1.92,1.93,5500
TRIBL,28-Jan-2014,1.92,2.10,1.92,2.07,51500
TRIBL,29-Jan-2014,2.05,2.07,2.05,2.06,1000
TRIBL,30-Jan-2014,2.05,2.05,1.90,1.91,40500
TRIBL,31-Jan-2014,2.01,2.05,1.81,1.83,20500
TRIBL,03-Feb-2014,1.81,1.89,1.80,1.89,7500
TRIBL,04-Feb-2014,1.94,1.94,1.80,1.85,9000
TRIBL,06-Feb-2014,1.81,1.99,1.81,1.82,12500
TRIBL,07-Feb-2014,1.74,1.76,1.74,1.75,28000
TRIBL,10-Feb-2014,1.73,1.85,1.70,1.76,27000
TRIBL,11-Feb-2014,1.62,1.84,1.61,1.79,36500
TRIBL,14-Feb-2014,1.70,1.70,1.70,1.70,500
TRIBL,17-Feb-2014,1.61,1.61,1.45,1.48,62500
TRIBL,18-Feb-2014,1.50,1.50,1.35,1.49,139500
TRIBL,19-Feb-2014,1.50,1.50,1.40,1.40,116500
TRIBL,20-Feb-2014,1.48,1.48,1.40,1.48,102000
TRIBL,21-Feb-2014,1.49,1.50,1.40,1.46,283000
