Symbol,Date,Open,High,Low,Close,Volume
TRSM,01-Jan-2014,3.45,3.50,3.45,3.50,23000
TRSM,02-Jan-2014,3.50,3.50,3.50,3.50,500
TRSM,03-Jan-2014,3.74,3.74,3.74,3.74,1000
TRSM,07-Jan-2014,3.50,3.50,3.50,3.50,31000
TRSM,08-Jan-2014,3.50,3.50,3.50,3.50,2000
TRSM,09-Jan-2014,3.60,3.70,3.60,3.70,21000
TRSM,13-Jan-2014,3.55,3.62,3.55,3.62,8000
TRSM,15-Jan-2014,3.60,3.65,3.60,3.63,101500
TRSM,20-Jan-2014,3.70,3.70,3.70,3.70,10000
TRSM,21-Jan-2014,3.99,4.65,3.99,4.00,4500
TRSM,27-Jan-2014,3.80,3.80,3.80,3.80,10000
TRSM,28-Jan-2014,3.80,3.80,3.80,3.80,500
TRSM,29-Jan-2014,3.80,4.00,3.80,3.94,51000
TRSM,30-Jan-2014,3.94,4.15,3.94,4.15,5500
TRSM,31-Jan-2014,4.20,4.35,4.20,4.35,17000
TRSM,04-Feb-2014,4.00,4.20,4.00,4.20,1000
TRSM,06-Feb-2014,3.90,3.96,3.87,3.96,6500
TRSM,07-Feb-2014,3.85,4.00,3.85,4.00,2500
TRSM,10-Feb-2014,3.90,3.90,3.87,3.87,3000
TRSM,13-Feb-2014,4.63,4.63,3.91,4.01,12500
TRSM,17-Feb-2014,3.80,3.85,3.80,3.80,1500
TRSM,18-Feb-2014,3.85,3.85,3.85,3.85,1000
TRSM,19-Feb-2014,4.00,4.00,3.91,3.91,6500
TRSM,20-Feb-2014,4.00,4.00,4.00,4.00,1000
TRSM,21-Feb-2014,4.44,4.45,4.44,4.45,5000
TRSM,24-Feb-2014,4.36,4.45,4.36,4.43,5000
TRSM,25-Feb-2014,3.85,3.85,3.85,3.85,4500
TRSM,26-Feb-2014,4.00,4.00,4.00,4.00,1000
TRSM,28-Feb-2014,4.48,4.50,4.48,4.50,2000
TRSM,04-Mar-2014,4.40,4.40,4.40,4.40,3000
TRSM,05-Mar-2014,4.00,4.00,4.00,4.00,500
TRSM,06-Mar-2014,4.00,4.00,4.00,4.00,17000
TRSM,07-Mar-2014,4.00,4.00,4.00,4.00,1500
TRSM,12-Mar-2014,3.90,3.90,3.85,3.85,5500
TRSM,13-Mar-2014,3.95,3.95,3.95,3.95,5500
TRSM,14-Mar-2014,4.00,4.00,4.00,4.00,1000
TRSM,19-Mar-2014,4.00,4.40,4.00,4.40,4000
TRSM,20-Mar-2014,4.00,4.00,4.00,4.00,6500
TRSM,27-Mar-2014,4.00,4.00,4.00,4.00,500
TRSM,02-Apr-2014,4.00,4.00,4.00,4.00,500
TRSM,07-Apr-2014,4.27,4.27,4.27,4.27,1000
TRSM,10-Apr-2014,4.02,4.03,4.02,4.03,1000
TRSM,16-Apr-2014,4.00,4.00,4.00,4.00,2500
TRSM,17-Apr-2014,4.01,4.01,4.01,4.01,500
TRSM,28-Apr-2014,3.75,3.75,3.75,3.75,500
TRSM,06-May-2014,4.57,4.57,3.75,3.75,1000
TRSM,09-May-2014,3.75,4.49,3.75,4.49,1000
TRSM,12-May-2014,4.49,4.50,4.49,4.50,5500
TRSM,23-May-2014,4.50,4.50,4.50,4.50,500
TRSM,03-Jun-2014,4.01,4.01,4.00,4.01,1500
