Symbol,Date,Open,High,Low,Close,Volume
TSBL,10-Jan-2014,3.00,3.00,3.00,3.00,6000
TSBL,13-Jan-2014,3.00,3.95,3.00,3.11,28000
TSBL,15-Jan-2014,3.25,3.60,3.25,3.57,8000
TSBL,16-Jan-2014,3.55,3.90,3.10,3.29,221000
TSBL,27-Jan-2014,3.50,3.50,3.50,3.50,500
TSBL,28-Jan-2014,2.52,2.52,2.52,3.50,500
TSBL,29-Jan-2014,2.51,2.51,2.51,2.51,1000
TSBL,31-Jan-2014,2.40,2.40,2.40,2.40,1000
TSBL,06-Feb-2014,2.61,2.61,2.61,2.61,500
TSBL,19-Feb-2014,2.35,2.35,2.35,2.35,500
TSBL,25-Feb-2014,2.35,2.35,2.35,2.35,500
TSBL,03-Mar-2014,2.01,2.01,2.01,2.01,1000
TSBL,07-Mar-2014,1.90,1.90,1.90,1.90,500
TSBL,12-Mar-2014,2.50,2.50,2.50,2.50,500
TSBL,13-Mar-2014,3.30,3.30,3.25,3.25,6000
TSBL,14-Mar-2014,3.80,3.80,3.50,3.50,2000
TSBL,20-Mar-2014,3.45,3.45,3.45,3.45,500
TSBL,21-Mar-2014,3.50,3.80,2.46,3.74,33000
TSBL,24-Mar-2014,2.74,3.69,2.74,3.69,10000
TSBL,26-Mar-2014,2.69,3.59,2.69,3.59,10000
TSBL,31-Mar-2014,3.59,3.59,3.59,3.59,500
TSBL,01-Apr-2014,2.59,3.40,2.59,3.38,8500
TSBL,07-Apr-2014,3.74,3.74,2.42,3.69,24000
TSBL,09-Apr-2014,3.01,3.01,3.01,3.01,500
TSBL,10-Apr-2014,2.78,3.44,2.78,3.44,22000
TSBL,11-Apr-2014,2.70,2.70,2.70,2.70,1000
TSBL,16-Apr-2014,2.15,2.15,2.15,2.15,1000
TSBL,22-Apr-2014,2.90,2.90,2.80,2.90,4000
TSBL,23-Apr-2014,2.90,2.90,2.90,2.90,500
TSBL,25-Apr-2014,3.90,3.90,2.00,3.24,10500
TSBL,29-Apr-2014,2.25,3.49,2.25,3.49,18000
TSBL,08-May-2014,2.49,4.38,2.49,2.51,27000
TSBL,09-May-2014,3.34,3.50,2.36,3.50,12000
TSBL,12-May-2014,4.44,4.44,2.52,2.61,9000
TSBL,16-May-2014,2.80,2.80,2.70,2.80,3000
TSBL,05-Jun-2014,3.79,3.79,2.31,2.31,9500
TSBL,06-Jun-2014,1.85,1.85,1.85,1.85,500
TSBL,11-Jun-2014,1.90,1.90,1.89,1.90,1000
TSBL,13-Jun-2014,2.00,2.04,1.96,2.02,5000
TSBL,19-Jun-2014,1.91,1.91,1.91,1.91,500
TSBL,25-Jun-2014,1.95,1.95,1.95,1.95,500
TSBL,08-Aug-2014,1.80,1.80,1.50,1.50,9000
TSBL,15-Sep-2014,1.95,1.95,1.95,1.95,1500
TSBL,16-Sep-2014,1.90,2.00,1.90,2.00,1000
TSBL,26-Sep-2014,1.35,1.35,1.25,1.35,7000
TSBL,16-Oct-2014,1.61,1.61,1.61,1.61,500
TSBL,17-Oct-2014,1.71,2.00,1.71,2.00,2000
TSBL,23-Oct-2014,2.00,2.00,2.00,2.00,5000
TSBL,30-Oct-2014,2.00,2.00,2.00,2.00,16500
TSBL,07-Nov-2014,2.55,2.80,2.26,2.64,8500
TSBL,10-Nov-2014,2.10,2.10,2.10,2.10,500
TSBL,13-Nov-2014,2.80,3.10,2.80,3.10,40500
TSBL,14-Nov-2014,4.04,4.04,3.00,3.49,21000
TSBL,17-Nov-2014,2.53,2.53,2.53,2.53,1000
TSBL,18-Nov-2014,2.08,2.08,2.08,2.08,500
TSBL,21-Nov-2014,2.26,2.26,2.26,2.26,500
TSBL,25-Nov-2014,2.79,2.99,2.79,2.90,4000
TSBL,28-Nov-2014,3.25,3.25,3.25,3.25,500
TSBL,02-Dec-2014,3.00,3.00,3.00,3.00,1000
TSBL,03-Dec-2014,3.25,4.00,3.25,3.67,6000
TSBL,04-Dec-2014,4.00,4.00,4.00,4.00,1000
TSBL,05-Dec-2014,3.01,3.01,3.00,3.00,31000
TSBL,09-Dec-2014,2.02,2.02,2.00,2.02,2000
TSBL,12-Dec-2014,2.97,3.02,2.97,2.99,3000
TSBL,16-Dec-2014,3.80,3.80,3.00,3.00,5500
TSBL,23-Dec-2014,3.74,3.85,2.10,2.37,37500
TSBL,24-Dec-2014,3.09,3.37,3.09,3.37,15000
TSBL,26-Dec-2014,3.00,3.00,2.55,2.55,3500
TSBL,30-Dec-2014,3.48,3.55,3.48,3.55,6500
TSBL,31-Dec-2014,3.70,4.54,3.70,4.18,55000
TSBL,01-Jan-2015,3.20,3.50,3.20,3.50,2000
TSBL,02-Jan-2015,3.00,3.00,3.00,3.00,500
TSBL,14-Jan-2015,3.95,4.00,3.95,4.00,2000
TSBL,15-Jan-2015,4.98,4.99,3.98,3.98,10500
TSBL,19-Jan-2015,3.01,3.01,3.00,3.00,5000
TSBL,20-Jan-2015,3.01,3.02,3.00,3.01,6500
TSBL,21-Jan-2015,3.01,3.01,3.00,3.00,3000
TSBL,23-Jan-2015,2.12,2.12,2.12,2.12,500
TSBL,29-Jan-2015,2.55,2.98,2.55,2.97,7500
TSBL,02-Feb-2015,3.50,3.97,3.50,3.60,38000
TSBL,04-Feb-2015,3.02,3.02,3.02,3.02,500
TSBL,06-Feb-2015,4.00,4.00,3.95,3.95,10500
TSBL,11-Feb-2015,3.02,3.02,3.02,3.02,500
TSBL,18-Feb-2015,2.25,2.25,2.25,2.25,500
TSBL,23-Feb-2015,2.13,3.25,2.13,3.25,26000
TSBL,24-Feb-2015,3.89,4.25,3.03,4.23,38500
TSBL,25-Feb-2015,5.18,5.18,4.75,4.97,9000
TSBL,26-Feb-2015,4.40,5.25,4.40,4.40,28500
TSBL,27-Feb-2015,5.00,5.00,4.00,4.20,98000
TSBL,03-Mar-2015,3.50,3.50,3.50,3.50,500
TSBL,04-Mar-2015,3.00,3.28,3.00,3.02,16500
TSBL,05-Mar-2015,2.28,3.80,2.27,3.28,9000
TSBL,06-Mar-2015,2.75,2.98,2.70,2.98,27000
TSBL,10-Mar-2015,3.00,3.05,3.00,3.05,2000
TSBL,11-Mar-2015,3.75,3.98,3.60,3.60,24000
TSBL,13-Mar-2015,3.00,3.00,3.00,3.00,500
TSBL,16-Mar-2015,3.40,3.40,3.40,3.40,2500
TSBL,18-Mar-2015,3.80,3.99,3.80,3.89,7500
TSBL,24-Mar-2015,3.95,3.95,3.70,3.73,36000
TSBL,25-Mar-2015,3.70,3.70,3.65,3.65,2500
TSBL,27-Mar-2015,3.01,3.87,3.01,3.85,2000
TSBL,30-Mar-2015,3.70,3.70,3.50,3.50,65000
TSBL,02-Apr-2015,3.02,3.02,3.00,3.01,2500
TSBL,06-Apr-2015,3.00,3.00,3.00,3.00,500
TSBL,07-Apr-2015,3.05,3.06,3.05,3.06,1000
TSBL,22-Apr-2015,3.97,3.97,3.97,3.97,500
TSBL,23-Apr-2015,4.40,4.40,4.40,4.40,500
TSBL,06-May-2015,4.99,4.99,4.99,4.99,500
TSBL,08-May-2015,3.98,3.98,3.76,3.76,1500
TSBL,13-May-2015,3.99,3.99,3.99,3.99,1000
