Symbol,Date,Open,High,Low,Close,Volume
TSPL,01-Jan-2014,2.40,2.54,2.35,2.35,92500
TSPL,02-Jan-2014,2.55,2.77,2.40,2.73,423000
TSPL,03-Jan-2014,2.74,2.78,2.55,2.55,62500
TSPL,06-Jan-2014,2.20,2.52,2.20,2.50,18500
TSPL,07-Jan-2014,2.50,2.60,2.50,2.56,38000
TSPL,08-Jan-2014,2.50,2.65,2.35,2.50,16000
TSPL,09-Jan-2014,2.32,2.50,2.20,2.34,59000
TSPL,10-Jan-2014,2.49,2.68,2.31,2.40,82500
TSPL,13-Jan-2014,2.41,2.50,2.34,2.44,18500
TSPL,15-Jan-2014,2.34,2.50,2.34,2.34,59500
TSPL,16-Jan-2014,2.59,2.59,2.41,2.41,56500
TSPL,17-Jan-2014,2.31,2.35,2.31,2.35,3000
TSPL,20-Jan-2014,2.35,2.35,2.11,2.21,42500
TSPL,21-Jan-2014,2.17,2.37,2.17,2.25,33000
TSPL,22-Jan-2014,2.27,2.30,2.25,2.26,11500
TSPL,23-Jan-2014,2.21,2.25,2.17,2.23,93000
TSPL,24-Jan-2014,2.45,2.59,2.20,2.34,116500
TSPL,27-Jan-2014,2.45,2.73,2.34,2.43,409500
TSPL,28-Jan-2014,2.59,2.60,2.45,2.54,215500
TSPL,29-Jan-2014,2.33,2.44,2.26,2.40,59500
TSPL,30-Jan-2014,2.45,2.45,2.28,2.40,42000
TSPL,31-Jan-2014,2.40,2.69,2.26,2.46,162500
TSPL,03-Feb-2014,2.54,2.64,2.36,2.41,81000
TSPL,04-Feb-2014,2.59,2.59,2.36,2.38,57000
TSPL,06-Feb-2014,2.58,2.70,2.35,2.66,314500
TSPL,07-Feb-2014,2.60,2.67,2.50,2.60,82500
TSPL,10-Feb-2014,2.40,2.59,2.35,2.42,32500
TSPL,11-Feb-2014,2.50,2.57,2.35,2.37,25500
TSPL,12-Feb-2014,2.65,2.65,2.25,2.54,107500
TSPL,13-Feb-2014,2.65,2.85,2.50,2.59,669000
TSPL,14-Feb-2014,2.53,2.53,2.40,2.45,77500
TSPL,17-Feb-2014,2.35,2.40,2.35,2.35,11500
TSPL,18-Feb-2014,2.30,2.44,2.25,2.35,19000
TSPL,19-Feb-2014,2.47,2.47,2.30,2.40,7000
TSPL,20-Feb-2014,2.47,2.48,2.34,2.34,29000
TSPL,21-Feb-2014,2.45,2.60,2.40,2.43,57000
TSPL,24-Feb-2014,2.50,2.60,2.37,2.46,76500
TSPL,25-Feb-2014,2.38,2.49,2.36,2.36,74000
TSPL,26-Feb-2014,2.35,2.40,2.21,2.21,76500
TSPL,27-Feb-2014,2.28,2.34,2.21,2.27,61500
TSPL,28-Feb-2014,2.30,2.44,2.20,2.28,63000
TSPL,03-Mar-2014,2.26,2.70,2.25,2.31,304000
TSPL,04-Mar-2014,2.44,2.47,2.21,2.25,469000
TSPL,05-Mar-2014,2.33,2.33,2.10,2.15,121000
TSPL,06-Mar-2014,2.22,2.30,2.07,2.10,328500
TSPL,07-Mar-2014,2.18,2.18,2.18,2.18,500
TSPL,10-Mar-2014,2.13,2.22,2.00,2.03,557000
TSPL,11-Mar-2014,2.18,2.30,2.00,2.03,557000
TSPL,12-Mar-2014,2.03,2.18,2.00,2.09,276500
TSPL,13-Mar-2014,2.23,2.23,2.00,2.20,512500
TSPL,14-Mar-2014,2.33,2.36,2.10,2.21,329500
TSPL,17-Mar-2014,2.20,2.32,2.10,2.15,289500
TSPL,18-Mar-2014,2.05,2.19,2.00,2.06,654000
TSPL,19-Mar-2014,2.10,2.12,2.00,2.02,284500
TSPL,20-Mar-2014,2.08,2.08,2.01,2.01,221500
TSPL,21-Mar-2014,2.05,2.05,2.02,2.04,74500
TSPL,24-Mar-2014,2.01,2.10,2.01,2.10,19500
TSPL,25-Mar-2014,2.09,2.10,2.05,2.08,6000
TSPL,26-Mar-2014,2.10,2.12,2.05,2.11,20000
TSPL,27-Mar-2014,2.04,2.09,2.04,2.07,42500
TSPL,28-Mar-2014,2.01,2.10,2.01,2.10,8000
TSPL,31-Mar-2014,2.09,2.09,2.02,2.02,37500
TSPL,01-Apr-2014,2.02,2.09,2.02,2.07,39000
TSPL,02-Apr-2014,2.13,2.13,2.05,2.08,70500
TSPL,03-Apr-2014,2.14,2.14,2.02,2.07,74500
TSPL,04-Apr-2014,2.05,2.10,2.01,2.03,295500
TSPL,07-Apr-2014,2.01,2.07,2.01,2.01,33500
TSPL,08-Apr-2014,2.07,2.07,2.00,2.00,62000
TSPL,09-Apr-2014,2.01,2.10,2.01,2.04,52000
TSPL,10-Apr-2014,2.00,2.09,2.00,2.05,35000
TSPL,11-Apr-2014,2.02,2.08,2.00,2.06,50000
TSPL,14-Apr-2014,2.02,2.09,2.00,2.05,54500
TSPL,15-Apr-2014,1.96,2.08,1.96,2.00,119000
TSPL,16-Apr-2014,2.03,2.05,1.96,2.00,147500
TSPL,17-Apr-2014,1.95,2.08,1.94,2.02,61500
