Symbol,Date,Open,High,Low,Close,Volume
UBLP-ETF,24-Mar-2020,10.21,10.21,10.21,10.21,2000
UBLP-ETF,25-Mar-2020,9.60,9.81,9.54,9.68,106500
UBLP-ETF,26-Mar-2020,10.05,10.05,9.89,9.89,4500
UBLP-ETF,27-Mar-2020,9.99,10.18,9.72,10.10,27000
UBLP-ETF,30-Mar-2020,9.93,10.19,9.80,10.13,19500
UBLP-ETF,31-Mar-2020,10.17,10.71,10.17,10.66,23000
UBLP-ETF,01-Apr-2020,10.66,10.82,10.48,10.82,56500
UBLP-ETF,02-Apr-2020,11.07,11.10,10.91,11.00,25500
UBLP-ETF,03-Apr-2020,11.80,11.80,11.00,11.26,12000
UBLP-ETF,06-Apr-2020,11.10,11.19,10.83,10.88,21000
UBLP-ETF,07-Apr-2020,10.93,10.97,10.90,10.90,4500
UBLP-ETF,08-Apr-2020,11.00,11.00,10.92,10.98,16500
UBLP-ETF,09-Apr-2020,11.20,11.25,11.19,11.23,14500
UBLP-ETF,10-Apr-2020,11.27,11.27,11.24,11.26,3000
UBLP-ETF,13-Apr-2020,11.19,11.19,10.99,11.01,48000
UBLP-ETF,14-Apr-2020,11.05,11.05,11.00,11.01,4000
UBLP-ETF,15-Apr-2020,11.20,11.25,11.01,11.02,10000
UBLP-ETF,16-Apr-2020,11.01,11.11,11.00,11.01,23000
UBLP-ETF,17-Apr-2020,11.67,11.68,11.45,11.46,38500
UBLP-ETF,20-Apr-2020,11.67,12.31,11.67,12.23,119000
UBLP-ETF,21-Apr-2020,11.81,11.81,11.50,11.50,96000
UBLP-ETF,22-Apr-2020,11.44,11.63,11.44,11.54,22000
UBLP-ETF,23-Apr-2020,11.42,11.52,11.42,11.50,5000
UBLP-ETF,27-Apr-2020,11.42,11.42,11.40,11.40,1500
UBLP-ETF,28-Apr-2020,11.47,11.50,11.44,11.50,7000
UBLP-ETF,29-Apr-2020,11.64,11.64,11.62,11.62,2000
UBLP-ETF,30-Apr-2020,11.81,11.92,11.80,11.91,29000
UBLP-ETF,04-May-2020,11.82,11.92,11.54,11.67,10500
UBLP-ETF,06-May-2020,11.67,11.67,10.80,11.48,9000
