Symbol,Date,Open,High,Low,Close,Volume
UBL,01-Jan-2014,132.99,134.90,132.52,133.01,787200
UBL,02-Jan-2014,133.97,136.90,133.50,135.80,787300
UBL,03-Jan-2014,136.25,137.50,135.65,136.10,379100
UBL,06-Jan-2014,136.30,137.50,135.62,136.00,234600
UBL,07-Jan-2014,135.35,136.35,135.00,135.99,171700
UBL,08-Jan-2014,136.00,138.77,136.00,137.53,517100
UBL,09-Jan-2014,138.65,143.00,138.15,141.22,1735500
UBL,10-Jan-2014,142.00,142.90,140.12,141.08,680500
UBL,13-Jan-2014,141.75,142.22,139.55,140.54,220600
UBL,15-Jan-2014,140.94,142.98,140.01,140.79,1540800
UBL,16-Jan-2014,140.99,141.00,137.08,138.07,357400
UBL,17-Jan-2014,139.45,139.99,138.11,139.29,346400
UBL,20-Jan-2014,138.85,140.00,137.85,138.11,199000
UBL,21-Jan-2014,139.48,140.10,138.50,139.10,804900
UBL,22-Jan-2014,139.10,140.25,137.50,137.66,332500
UBL,23-Jan-2014,138.00,139.20,137.75,138.16,243600
UBL,24-Jan-2014,138.00,138.50,136.99,137.76,1072900
UBL,27-Jan-2014,137.20,137.20,133.00,133.59,678300
UBL,28-Jan-2014,133.29,133.95,132.30,132.58,257600
UBL,29-Jan-2014,132.00,134.50,132.00,133.25,468600
UBL,30-Jan-2014,133.50,134.40,133.01,133.88,833500
UBL,31-Jan-2014,134.00,135.00,133.60,133.99,155900
UBL,03-Feb-2014,134.06,135.10,133.60,135.01,1234600
UBL,04-Feb-2014,135.00,135.40,133.15,133.91,30700
UBL,06-Feb-2014,133.62,135.10,133.60,134.90,217200
UBL,07-Feb-2014,135.25,135.25,134.00,134.08,75600
UBL,10-Feb-2014,134.10,134.10,128.10,130.93,213100
UBL,11-Feb-2014,132.39,134.50,129.50,130.36,91800
UBL,12-Feb-2014,130.40,133.30,130.40,132.95,208200
UBL,13-Feb-2014,133.56,134.50,132.95,133.86,1093500
UBL,14-Feb-2014,133.90,134.50,133.00,133.98,1883400
UBL,17-Feb-2014,133.99,134.00,130.55,131.29,98000
UBL,18-Feb-2014,131.00,132.20,129.30,132.10,453200
UBL,19-Feb-2014,132.75,135.10,131.01,133.40,2520400
UBL,20-Feb-2014,134.00,135.90,133.25,134.96,1693600
UBL,21-Feb-2014,135.00,138.25,134.50,135.34,1761100
UBL,24-Feb-2014,135.99,136.02,133.50,133.98,464600
UBL,25-Feb-2014,133.50,134.30,133.02,133.51,47100
UBL,26-Feb-2014,133.26,135.50,133.26,134.95,809900
UBL,27-Feb-2014,135.49,136.00,134.70,135.25,1299200
UBL,28-Feb-2014,135.00,135.50,132.50,133.31,1157600
UBL,03-Mar-2014,133.01,135.85,133.00,135.27,530400
UBL,04-Mar-2014,134.60,142.03,134.50,142.03,3617300
UBL,05-Mar-2014,141.07,144.78,140.20,143.66,1034100
UBL,06-Mar-2014,144.00,148.00,143.98,146.52,936500
UBL,07-Mar-2014,145.50,148.70,145.50,146.51,347500
UBL,10-Mar-2014,146.50,147.00,140.00,146.69,733600
UBL,11-Mar-2014,147.00,148.00,146.01,147.11,757700
UBL,12-Mar-2014,147.45,147.50,144.11,145.36,415700
UBL,13-Mar-2014,145.10,146.00,143.80,144.63,1446800
UBL,14-Mar-2014,144.15,145.47,141.00,141.38,849300
