Symbol,Date,Open,High,Low,Close,Volume
UNITYR3,23-Dec-2021,1.15,1.15,0.15,1.15,785617
UNITYR3,24-Dec-2021,2.00,2.00,1.50,1.79,33500884
UNITYR3,27-Dec-2021,1.85,1.87,1.49,1.55,9259467
UNITYR3,28-Dec-2021,1.46,1.55,0.90,1.13,18872895
UNITYR3,29-Dec-2021,1.10,1.10,0.98,1.03,4154534
UNITYR3,30-Dec-2021,1.02,1.13,0.99,1.03,2285468
UNITYR3,31-Dec-2021,0.96,1.07,0.96,1.06,2042663
UNITYR3,03-Jan-2022,1.12,1.13,0.85,0.99,2675382
UNITYR3,04-Jan-2022,1.00,1.60,0.97,1.48,25719845
UNITYR3,05-Jan-2022,1.55,2.47,1.55,2.27,66808639
UNITYR3,06-Jan-2022,2.28,2.58,2.05,2.25,30196170
UNITYR3,07-Jan-2022,2.09,2.23,1.70,2.02,17018955
UNITYR3,10-Jan-2022,1.92,2.80,1.70,2.43,33211276
UNITYR3,11-Jan-2022,2.42,2.80,2.35,2.70,22498234
UNITYR3,12-Jan-2022,2.80,3.35,2.68,2.85,39147319
UNITYR3,13-Jan-2022,2.84,2.84,1.85,1.97,15179826
UNITYR3,14-Jan-2022,1.95,2.09,0.97,1.12,26268365
