Symbol,Date,Open,High,Low,Close,Volume
UNITY,06-Jan-2014,16.00,16.00,15.99,15.99,2000
UNITY,07-Jan-2014,15.40,16.99,14.99,16.99,27500
UNITY,08-Jan-2014,15.99,16.60,15.99,15.99,1000
UNITY,09-Jan-2014,15.75,15.75,14.99,15.01,1500
UNITY,10-Jan-2014,15.00,15.00,15.00,15.00,1000
UNITY,20-Jan-2014,16.00,16.00,16.00,16.00,1000
UNITY,21-Jan-2014,16.00,17.00,16.00,17.00,4000
UNITY,22-Jan-2014,17.00,17.00,16.00,16.00,2500
UNITY,23-Jan-2014,15.02,15.02,15.00,15.00,3000
UNITY,24-Jan-2014,14.25,16.00,14.00,15.10,19000
UNITY,27-Jan-2014,15.95,16.10,15.95,16.10,9500
UNITY,28-Jan-2014,17.10,17.10,17.10,17.10,5000
UNITY,29-Jan-2014,18.10,18.10,18.10,18.10,1500
UNITY,30-Jan-2014,19.10,19.10,17.10,19.10,23000
UNITY,31-Jan-2014,20.10,20.10,18.10,20.10,37500
UNITY,03-Feb-2014,21.10,21.10,21.10,21.10,17000
UNITY,04-Feb-2014,22.15,22.15,20.05,20.18,92500
UNITY,06-Feb-2014,21.00,21.00,20.00,20.00,7000
UNITY,07-Feb-2014,19.00,19.50,19.00,19.50,1000
UNITY,10-Feb-2014,20.50,20.50,20.39,20.40,1500
UNITY,11-Feb-2014,21.30,21.30,20.49,20.49,2000
UNITY,12-Feb-2014,21.40,21.40,19.50,20.39,2500
UNITY,14-Feb-2014,19.38,20.50,19.38,19.38,1500
UNITY,17-Feb-2014,18.38,18.38,18.38,18.38,1000
UNITY,18-Feb-2014,17.38,17.38,17.38,17.38,2500
UNITY,19-Feb-2014,16.38,18.38,16.38,18.38,58000
UNITY,20-Feb-2014,19.38,19.38,19.38,19.38,1000
UNITY,21-Feb-2014,20.38,20.38,20.38,20.38,1000
UNITY,24-Feb-2014,21.39,21.39,21.39,21.39,1500
UNITY,25-Feb-2014,20.40,22.45,20.40,22.45,7000
UNITY,26-Feb-2014,23.57,23.57,21.33,21.33,290000
UNITY,27-Feb-2014,20.30,20.30,20.27,20.27,5000
UNITY,28-Feb-2014,19.26,20.87,19.26,19.26,9000
UNITY,03-Mar-2014,18.30,20.10,18.26,18.26,32000
UNITY,04-Mar-2014,17.35,19.26,17.35,18.08,70000
UNITY,05-Mar-2014,17.50,17.95,17.35,17.43,5000
UNITY,06-Mar-2014,17.50,17.69,16.80,17.06,10500
UNITY,07-Mar-2014,16.51,18.06,16.21,18.06,51500
UNITY,10-Mar-2014,19.06,19.06,19.06,19.06,5500
UNITY,11-Mar-2014,20.06,20.06,18.75,20.06,28000
UNITY,12-Mar-2014,21.06,21.06,19.06,19.06,236500
UNITY,13-Mar-2014,18.15,18.30,18.06,18.18,20500
UNITY,14-Mar-2014,17.30,18.80,17.30,17.84,8500
UNITY,17-Mar-2014,17.50,17.65,17.50,17.62,3000
UNITY,18-Mar-2014,17.65,18.35,16.62,17.93,47000
UNITY,19-Mar-2014,17.83,17.83,17.83,17.83,1000
UNITY,20-Mar-2014,16.90,17.70,16.83,17.70,10000
UNITY,21-Mar-2014,17.90,17.90,17.90,17.90,500
UNITY,24-Mar-2014,17.00,17.49,16.90,17.01,32500
UNITY,25-Mar-2014,17.00,17.40,16.85,17.07,4500
UNITY,26-Mar-2014,16.80,16.90,16.20,16.31,38000
UNITY,27-Mar-2014,15.80,17.31,15.80,17.31,64500
UNITY,28-Mar-2014,18.31,18.31,18.00,18.31,76500
UNITY,31-Mar-2014,19.31,19.31,19.31,19.31,1500
UNITY,01-Apr-2014,20.31,20.31,20.31,20.31,9500
UNITY,02-Apr-2014,21.32,21.32,21.32,21.32,26000
UNITY,03-Apr-2014,22.35,22.38,22.35,22.38,3500
UNITY,04-Apr-2014,23.49,23.49,21.27,21.27,385000
UNITY,07-Apr-2014,20.21,20.21,20.21,20.21,2500
UNITY,08-Apr-2014,19.20,20.85,19.20,19.20,35500
UNITY,09-Apr-2014,18.60,19.00,18.42,18.95,6000
UNITY,10-Apr-2014,19.00,19.00,18.05,18.05,13000
UNITY,11-Apr-2014,17.55,18.00,17.55,18.00,6000
UNITY,14-Apr-2014,18.00,18.99,18.00,18.99,2000
UNITY,15-Apr-2014,18.50,18.50,18.50,18.50,3000
UNITY,18-Apr-2014,18.00,18.00,18.00,18.00,1000
UNITY,22-Apr-2014,17.41,17.41,17.40,17.40,1000
UNITY,24-Apr-2014,17.00,17.00,17.00,17.00,1000
UNITY,25-Apr-2014,17.00,17.00,17.00,17.00,2500
UNITY,28-Apr-2014,17.40,17.45,17.40,17.45,3000
UNITY,29-Apr-2014,17.01,17.48,16.45,16.50,3500
UNITY,30-Apr-2014,16.61,17.50,16.60,17.50,8000
UNITY,06-May-2014,16.50,16.50,16.50,16.50,1000
UNITY,08-May-2014,15.76,17.39,15.50,16.01,13000
UNITY,12-May-2014,15.06,16.85,15.06,16.85,2500
UNITY,15-May-2014,15.85,15.85,15.85,15.85,1000
UNITY,20-May-2014,14.85,14.85,14.85,14.85,21500
UNITY,21-May-2014,14.00,14.00,13.85,13.90,8000
UNITY,26-May-2014,13.67,14.72,13.50,14.72,7500
UNITY,27-May-2014,13.72,15.29,13.72,15.24,30000
UNITY,28-May-2014,14.25,14.25,14.24,14.24,2500
UNITY,29-May-2014,13.31,14.89,13.31,14.89,4500
UNITY,30-May-2014,15.84,15.84,13.89,13.89,15000
UNITY,02-Jun-2014,12.92,13.91,12.92,13.91,3500
UNITY,03-Jun-2014,12.91,14.24,12.91,14.24,2500
UNITY,04-Jun-2014,15.22,15.22,14.00,15.22,4000
UNITY,05-Jun-2014,14.50,14.50,14.22,14.22,15500
UNITY,06-Jun-2014,14.00,14.00,14.00,14.00,1000
UNITY,18-Jun-2014,13.50,13.50,13.00,13.20,3000
UNITY,19-Jun-2014,12.50,12.51,12.50,12.50,1000
UNITY,24-Jun-2014,11.50,13.50,11.50,11.50,2000
UNITY,26-Jun-2014,12.50,12.50,12.50,12.50,500
UNITY,27-Jun-2014,13.40,13.40,13.00,13.25,6500
UNITY,07-Jul-2014,13.24,13.24,12.26,12.59,1500
UNITY,08-Jul-2014,11.61,13.20,11.61,11.61,2500
UNITY,10-Jul-2014,10.67,12.61,10.67,10.67,2000
UNITY,11-Jul-2014,10.18,11.66,10.18,10.18,2000
UNITY,14-Jul-2014,11.18,11.18,10.22,10.22,2500
UNITY,15-Jul-2014,11.22,11.22,10.51,10.55,2500
UNITY,16-Jul-2014,11.55,11.55,9.67,9.67,2500
UNITY,17-Jul-2014,8.76,10.67,8.76,10.67,3500
UNITY,18-Jul-2014,9.91,11.00,9.91,9.91,2500
UNITY,22-Jul-2014,10.91,10.91,10.91,10.91,1000
UNITY,23-Jul-2014,11.88,11.88,11.88,11.88,1000
UNITY,24-Jul-2014,12.24,12.24,12.24,12.24,1000
UNITY,28-Jul-2014,13.19,13.19,11.24,11.24,3000
UNITY,04-Aug-2014,10.26,11.99,10.26,11.99,3000
UNITY,05-Aug-2014,11.00,11.00,10.99,10.99,3500
UNITY,07-Aug-2014,10.90,10.94,10.02,10.02,2500
UNITY,08-Aug-2014,10.00,11.02,10.00,10.34,5000
UNITY,12-Aug-2014,9.34,9.34,9.34,9.34,1000
UNITY,18-Aug-2014,8.41,9.62,8.41,8.62,8500
UNITY,19-Aug-2014,8.90,8.90,8.04,8.90,1500
UNITY,21-Aug-2014,8.20,8.31,8.20,8.31,3000
UNITY,22-Aug-2014,9.30,9.31,9.30,9.31,10000
UNITY,25-Aug-2014,10.25,10.31,9.30,9.97,5000
UNITY,26-Aug-2014,10.00,10.64,10.00,10.00,1000
UNITY,28-Aug-2014,9.00,11.00,9.00,10.70,6000
UNITY,29-Aug-2014,11.70,11.70,11.70,11.70,1000
UNITY,02-Sep-2014,11.00,11.10,10.70,10.70,19500
UNITY,03-Sep-2014,9.77,10.00,9.70,9.75,5500
UNITY,04-Sep-2014,9.75,9.75,9.37,9.39,2000
UNITY,05-Sep-2014,9.50,9.50,9.50,9.50,2500
UNITY,09-Sep-2014,10.19,10.19,10.19,10.19,500
UNITY,11-Sep-2014,10.00,11.19,10.00,10.34,26000
UNITY,12-Sep-2014,11.34,11.34,11.34,11.34,5500
UNITY,15-Sep-2014,12.25,12.34,12.00,12.34,9500
UNITY,16-Sep-2014,13.34,13.34,13.34,13.34,3000
UNITY,17-Sep-2014,14.34,14.34,12.34,12.36,195500
UNITY,18-Sep-2014,11.38,11.99,11.37,11.59,10500
UNITY,19-Sep-2014,12.50,12.50,12.49,12.49,1500
UNITY,23-Sep-2014,11.99,11.99,11.49,11.49,1000
UNITY,24-Sep-2014,11.50,11.50,11.50,11.50,5000
UNITY,26-Sep-2014,11.05,11.50,11.00,11.36,3500
UNITY,30-Sep-2014,12.00,12.00,11.70,11.70,1500
