Symbol,Date,Open,High,Low,Close,Volume
UPFL,07-Jan-2014,9300.00,9300.00,9300.00,9300.00,20
UPFL,08-Jan-2014,8900.00,9300.00,8900.00,9300.00,60
UPFL,09-Jan-2014,9000.00,9000.00,8850.00,8925.00,40
UPFL,10-Jan-2014,9100.00,9100.00,8860.00,8860.00,40
UPFL,13-Jan-2014,8660.00,8660.00,8660.00,8660.00,20
UPFL,15-Jan-2014,9093.00,9093.00,8800.00,9093.00,240
UPFL,16-Jan-2014,9547.65,9547.65,9547.65,9547.65,40
UPFL,17-Jan-2014,10000.00,10000.00,9201.00,9995.00,120
UPFL,20-Jan-2014,10000.00,10000.00,10000.00,10000.00,40
UPFL,24-Jan-2014,9500.00,9500.00,9500.00,9500.00,40
UPFL,27-Jan-2014,9100.00,9190.00,9025.00,9190.00,80
UPFL,28-Jan-2014,9000.00,9199.99,9000.00,9040.50,240
UPFL,29-Jan-2014,9090.00,9090.00,9090.00,9090.00,20
UPFL,30-Jan-2014,9000.00,9099.00,8990.00,9099.00,140
UPFL,31-Jan-2014,9100.00,9553.95,9100.00,9552.63,1580
UPFL,07-Feb-2014,9076.00,9076.00,9076.00,9076.00,20
UPFL,10-Feb-2014,9000.00,9000.00,9000.00,9000.00,20
UPFL,11-Feb-2014,9000.00,9000.00,8656.00,9000.00,120
UPFL,20-Feb-2014,9350.00,9350.00,9350.00,9350.00,20
UPFL,05-Mar-2014,9750.00,9750.00,9750.00,9750.00,20
UPFL,06-Mar-2014,9700.00,9700.00,9500.00,9500.00,40
UPFL,10-Mar-2014,9025.00,9025.00,9025.00,9025.00,100
UPFL,17-Mar-2014,8701.00,9090.00,8701.00,9090.00,40
UPFL,25-Mar-2014,9000.00,9000.00,9000.00,9000.00,20
UPFL,27-Mar-2014,8900.00,8900.00,8900.00,8900.00,20
UPFL,28-Mar-2014,8910.00,9000.00,8900.00,9000.00,120
UPFL,31-Mar-2014,8900.00,8999.99,8686.86,8999.99,60
UPFL,01-Apr-2014,8800.00,8900.00,8800.00,8900.00,40
UPFL,02-Apr-2014,8686.86,8686.86,8686.86,8686.86,20
UPFL,03-Apr-2014,8900.00,8900.00,8900.00,8900.00,20
UPFL,08-Apr-2014,8888.00,8888.00,8888.00,8888.00,20
UPFL,09-Apr-2014,8999.99,8999.99,8999.99,8999.99,20
UPFL,14-Apr-2014,8686.86,8686.86,8686.86,8686.86,20
UPFL,17-Apr-2014,8989.89,8989.89,8989.89,8989.89,20
UPFL,18-Apr-2014,8600.00,8600.00,8600.00,8600.00,20
UPFL,23-Apr-2014,8600.00,8600.00,8600.00,8600.00,20
UPFL,28-Apr-2014,8900.00,8900.00,8900.00,8900.00,20
UPFL,29-Apr-2014,8500.00,8505.00,8500.00,8505.00,60
UPFL,30-Apr-2014,8800.00,8800.00,8800.00,8800.00,20
UPFL,02-May-2014,8500.00,8500.00,8500.00,8500.00,20
UPFL,07-May-2014,8075.00,8075.75,8075.00,8075.75,60
UPFL,08-May-2014,7676.00,7676.76,7676.00,7676.76,40
UPFL,12-May-2014,8060.59,8060.59,8060.59,8060.59,20
UPFL,26-May-2014,8460.00,8460.00,8460.00,8460.00,20
UPFL,11-Jun-2014,8600.00,8600.00,8600.00,8600.00,20
UPFL,12-Jun-2014,8171.00,8250.00,8170.00,8250.00,100
UPFL,13-Jun-2014,8500.00,8500.00,8500.00,8500.00,20
UPFL,24-Jun-2014,8100.00,8495.00,8100.00,8495.00,120
UPFL,25-Jun-2014,8525.00,8525.00,8100.00,8100.00,100
UPFL,08-Jul-2014,8200.00,8200.00,8200.00,8200.00,20
UPFL,14-Jul-2014,8195.00,8195.00,8195.00,8195.00,20
UPFL,21-Jul-2014,8300.00,8300.00,8300.00,8300.00,40
UPFL,19-Aug-2014,8100.00,8150.00,8100.00,8150.00,60
UPFL,21-Aug-2014,8200.00,8200.00,8000.00,8000.00,40
UPFL,27-Aug-2014,8000.00,8000.00,8000.00,8000.00,20
UPFL,03-Sep-2014,7800.00,8290.00,7800.00,8000.00,60
UPFL,08-Sep-2014,8385.00,8385.00,8385.00,8385.00,20
UPFL,11-Sep-2014,8790.00,8790.00,8790.00,8790.00,20
UPFL,12-Sep-2014,8510.00,8510.00,8510.00,8510.00,20
UPFL,16-Sep-2014,8850.00,8850.00,8850.00,8850.00,20
UPFL,17-Sep-2014,8410.00,8410.00,8407.50,8407.50,80
