Symbol,Date,Open,High,Low,Close,Volume
WAVES,01-Jan-2014,23.00,24.93,23.00,24.90,37000
WAVES,02-Jan-2014,23.70,24.74,23.70,24.35,16000
WAVES,03-Jan-2014,23.60,24.00,23.14,23.14,79500
WAVES,06-Jan-2014,23.50,24.00,22.60,23.75,55500
WAVES,07-Jan-2014,24.00,24.93,23.95,24.93,135000
WAVES,08-Jan-2014,26.17,26.17,26.17,26.17,8000
WAVES,09-Jan-2014,27.47,27.47,26.51,27.37,109500
WAVES,10-Jan-2014,27.00,28.73,27.00,28.07,116500
WAVES,13-Jan-2014,28.00,28.15,27.01,27.48,27000
WAVES,15-Jan-2014,27.00,27.00,26.11,26.11,21000
WAVES,16-Jan-2014,25.51,25.52,24.81,24.84,22500
WAVES,17-Jan-2014,23.80,24.90,23.80,24.63,6500
WAVES,20-Jan-2014,24.05,25.20,24.05,25.12,17000
WAVES,21-Jan-2014,25.05,25.05,24.71,24.74,7500
WAVES,22-Jan-2014,25.00,25.00,24.25,24.25,4500
WAVES,23-Jan-2014,24.69,25.46,24.69,24.80,47500
WAVES,24-Jan-2014,24.55,24.70,24.55,24.70,5500
WAVES,27-Jan-2014,24.50,24.50,24.40,24.45,4500
WAVES,28-Jan-2014,24.50,25.50,24.50,24.99,26000
WAVES,29-Jan-2014,24.25,26.23,24.25,26.23,65500
WAVES,30-Jan-2014,26.10,27.00,26.10,27.00,13500
WAVES,31-Jan-2014,26.50,26.50,26.00,26.30,13000
WAVES,03-Feb-2014,26.35,27.00,26.35,26.50,17500
WAVES,04-Feb-2014,25.50,26.49,25.50,26.45,2500
WAVES,06-Feb-2014,26.10,26.25,26.00,26.00,4000
WAVES,07-Feb-2014,25.59,25.59,25.00,25.00,2500
WAVES,10-Feb-2014,24.00,24.50,23.75,23.75,15500
WAVES,11-Feb-2014,24.89,24.93,24.00,24.90,6000
WAVES,12-Feb-2014,24.99,25.49,24.50,24.80,11500
WAVES,13-Feb-2014,25.00,25.00,24.62,24.75,6000
WAVES,17-Feb-2014,23.66,25.98,23.66,25.98,2000
WAVES,18-Feb-2014,24.69,24.69,24.69,24.69,5000
WAVES,19-Feb-2014,23.51,23.51,23.51,23.51,500
WAVES,20-Feb-2014,23.01,23.01,22.34,22.37,9000
WAVES,21-Feb-2014,22.50,22.50,22.50,22.50,500
WAVES,24-Feb-2014,23.39,23.62,23.00,23.54,3500
WAVES,25-Feb-2014,23.21,23.21,23.21,23.54,500
WAVES,26-Feb-2014,23.00,23.00,22.37,22.50,3500
WAVES,28-Feb-2014,21.39,23.49,21.39,23.49,1000
WAVES,03-Mar-2014,22.45,22.45,22.45,22.45,500
WAVES,05-Mar-2014,22.03,22.03,22.03,22.03,2000
WAVES,06-Mar-2014,23.10,23.13,23.09,23.13,4000
WAVES,07-Mar-2014,24.10,24.10,23.00,23.51,2500
WAVES,10-Mar-2014,22.81,23.01,22.76,22.89,3000
WAVES,11-Mar-2014,23.10,24.03,23.10,24.03,22500
WAVES,12-Mar-2014,24.50,24.50,23.50,23.58,7000
WAVES,13-Mar-2014,24.20,24.20,24.00,24.00,9000
WAVES,14-Mar-2014,24.00,24.00,23.72,23.84,3500
WAVES,17-Mar-2014,24.00,24.00,24.00,24.00,2500
WAVES,18-Mar-2014,24.00,24.00,23.27,24.00,2000
WAVES,20-Mar-2014,23.75,24.20,23.75,24.15,6500
WAVES,21-Mar-2014,24.40,24.84,24.40,24.50,10000
WAVES,25-Mar-2014,24.10,24.10,23.51,23.51,1000
WAVES,26-Mar-2014,22.36,24.60,22.34,24.30,8500
WAVES,27-Mar-2014,23.09,23.25,23.09,23.09,49000
WAVES,28-Mar-2014,23.00,23.00,22.20,22.25,4500
WAVES,31-Mar-2014,22.00,22.50,21.80,22.50,8500
WAVES,01-Apr-2014,22.30,22.50,22.30,22.50,2500
WAVES,02-Apr-2014,22.49,23.00,22.40,23.00,6500
WAVES,03-Apr-2014,22.90,23.60,22.90,23.60,16000
WAVES,04-Apr-2014,23.80,23.80,23.00,23.00,13000
WAVES,07-Apr-2014,23.75,24.15,23.75,24.15,30500
WAVES,08-Apr-2014,25.35,25.35,24.71,25.35,77000
WAVES,09-Apr-2014,25.41,25.65,24.65,24.77,8000
WAVES,10-Apr-2014,25.00,25.38,24.60,25.00,19500
WAVES,11-Apr-2014,25.00,26.25,24.04,25.55,36500
WAVES,14-Apr-2014,25.60,25.60,25.02,25.02,4500
WAVES,15-Apr-2014,25.00,25.00,24.97,24.97,2500
WAVES,16-Apr-2014,25.00,25.00,24.90,25.00,11000
WAVES,17-Apr-2014,24.50,24.50,23.86,24.00,14500
WAVES,18-Apr-2014,24.75,25.20,24.00,24.25,16000
WAVES,21-Apr-2014,24.00,24.10,24.00,24.02,5000
WAVES,22-Apr-2014,24.00,24.00,24.00,24.00,13000
WAVES,23-Apr-2014,23.50,23.50,23.50,23.50,1000
WAVES,28-Apr-2014,22.33,22.75,22.33,22.33,35500
WAVES,29-Apr-2014,22.22,22.25,21.25,22.14,11500
WAVES,30-Apr-2014,22.00,22.00,22.00,22.00,2500
WAVES,02-May-2014,22.50,22.65,22.50,22.58,2000
WAVES,05-May-2014,21.55,21.55,21.46,21.46,7000
WAVES,06-May-2014,20.40,20.51,20.39,20.40,9500
WAVES,07-May-2014,19.60,20.74,19.60,20.60,11000
WAVES,08-May-2014,20.25,21.00,19.65,20.81,9000
