Symbol,Date,Open,High,Low,Close,Volume
WHALE,03-Aug-2022,12.75,12.90,12.75,12.90,50000
WHALE,04-Aug-2022,12.90,13.90,12.90,13.90,86000
WHALE,05-Aug-2022,14.94,14.94,14.94,14.94,1500
WHALE,10-Aug-2022,16.00,16.00,14.05,15.27,121000
WHALE,11-Aug-2022,14.31,16.41,14.31,15.01,106500
WHALE,12-Aug-2022,15.00,15.50,14.50,14.60,101500
WHALE,15-Aug-2022,14.35,14.75,14.00,14.03,145500
WHALE,16-Aug-2022,14.01,14.01,13.50,13.54,24000
WHALE,17-Aug-2022,14.20,14.20,13.10,13.99,4000
WHALE,18-Aug-2022,13.30,13.89,13.25,13.67,30000
WHALE,19-Aug-2022,13.67,13.75,13.46,13.50,3500
WHALE,22-Aug-2022,13.45,13.45,12.66,13.10,3500
WHALE,23-Aug-2022,13.49,13.90,12.78,13.20,81000
WHALE,24-Aug-2022,13.40,13.50,13.01,13.01,65000
WHALE,25-Aug-2022,12.85,13.10,12.85,13.10,59000
WHALE,26-Aug-2022,12.75,13.39,12.75,13.15,33000
WHALE,29-Aug-2022,12.20,13.30,12.20,12.51,180000
WHALE,30-Aug-2022,12.51,12.60,12.50,12.50,7000
WHALE,31-Aug-2022,12.74,13.25,12.50,12.96,2000
WHALE,01-Sep-2022,12.51,12.95,12.25,12.36,170000
WHALE,02-Sep-2022,13.29,13.36,12.81,13.30,118500
WHALE,05-Sep-2022,14.24,14.29,13.25,13.75,97500
WHALE,06-Sep-2022,14.44,14.66,13.50,13.63,111000
WHALE,07-Sep-2022,13.89,13.89,13.20,13.20,36000
WHALE,08-Sep-2022,13.50,13.60,13.50,13.60,2500
WHALE,09-Sep-2022,13.11,14.00,13.11,13.53,17500
WHALE,12-Sep-2022,13.49,13.75,13.49,13.58,25000
WHALE,13-Sep-2022,14.49,14.49,12.57,12.73,14500
WHALE,14-Sep-2022,12.99,13.43,12.99,13.43,4500
WHALE,15-Sep-2022,13.00,13.00,12.76,12.80,5500
WHALE,16-Sep-2022,12.39,12.51,12.39,12.50,4000
WHALE,19-Sep-2022,12.11,12.27,12.11,12.25,3500
WHALE,20-Sep-2022,12.03,12.03,11.25,11.60,12500
WHALE,22-Sep-2022,11.00,11.39,10.60,11.30,86500
WHALE,23-Sep-2022,10.90,12.17,10.90,11.76,76500
WHALE,26-Sep-2022,12.49,12.73,11.75,12.60,52000
WHALE,27-Sep-2022,12.40,12.85,11.60,12.14,103000
WHALE,28-Sep-2022,12.00,12.06,12.00,12.06,20500
WHALE,29-Sep-2022,11.11,11.85,11.06,11.47,21000
WHALE,30-Sep-2022,11.05,11.19,10.51,11.02,332000
WHALE,03-Oct-2022,10.80,11.00,10.70,10.71,57500
WHALE,04-Oct-2022,10.70,10.95,10.53,10.55,32000
WHALE,05-Oct-2022,10.52,10.70,10.50,10.70,12000
WHALE,06-Oct-2022,10.68,10.80,10.51,10.59,148500
WHALE,07-Oct-2022,10.55,10.59,10.00,10.12,72500
WHALE,10-Oct-2022,10.27,10.55,10.27,10.55,13000
WHALE,11-Oct-2022,10.67,10.75,10.50,10.50,27000
WHALE,12-Oct-2022,10.07,10.94,10.07,10.89,30500
WHALE,13-Oct-2022,11.24,11.24,10.41,10.54,19000
WHALE,14-Oct-2022,11.00,11.29,10.40,10.68,77000
WHALE,17-Oct-2022,10.89,10.90,10.50,10.89,164500
WHALE,18-Oct-2022,10.86,10.87,10.00,10.64,149500
WHALE,19-Oct-2022,10.86,10.87,10.50,10.51,20500
WHALE,20-Oct-2022,10.73,10.79,10.50,10.59,75500
WHALE,21-Oct-2022,10.96,10.97,10.48,10.50,28000
WHALE,24-Oct-2022,10.83,10.83,10.40,10.50,116500
WHALE,25-Oct-2022,10.72,10.72,10.47,10.50,121000
WHALE,26-Oct-2022,11.42,11.50,10.31,10.49,12500
WHALE,27-Oct-2022,10.97,10.97,10.58,10.59,15000
WHALE,28-Oct-2022,10.68,10.68,10.00,10.08,29500
WHALE,31-Oct-2022,10.30,10.98,10.30,10.66,32000
WHALE,01-Nov-2022,10.74,10.75,10.16,10.58,77000
WHALE,02-Nov-2022,10.69,10.70,10.23,10.40,55500
WHALE,03-Nov-2022,10.59,10.60,9.51,10.12,251000
WHALE,04-Nov-2022,10.20,11.00,9.95,10.10,27000
WHALE,07-Nov-2022,10.20,10.46,9.80,10.00,29500
WHALE,08-Nov-2022,10.23,10.23,10.00,10.03,34000
WHALE,10-Nov-2022,10.00,10.10,9.80,9.84,105500
WHALE,11-Nov-2022,9.90,10.45,9.90,10.08,26500
WHALE,14-Nov-2022,10.36,10.36,10.00,10.10,41500
WHALE,15-Nov-2022,10.05,10.14,9.91,10.00,31500
WHALE,16-Nov-2022,10.15,10.17,9.89,9.95,10000
WHALE,17-Nov-2022,9.80,10.00,9.75,9.82,33500
WHALE,18-Nov-2022,9.86,10.08,9.70,9.88,146000
WHALE,21-Nov-2022,10.25,10.48,10.15,10.15,6500
WHALE,22-Nov-2022,10.30,10.30,10.14,10.14,119500
WHALE,23-Nov-2022,10.15,10.18,9.85,10.00,16500
WHALE,24-Nov-2022,10.09,10.14,9.99,10.04,8500
WHALE,25-Nov-2022,10.20,10.20,9.73,9.97,67000
WHALE,28-Nov-2022,10.12,10.12,9.50,9.50,15500
WHALE,29-Nov-2022,9.93,9.93,9.70,9.88,5500
WHALE,30-Nov-2022,9.98,10.00,9.89,9.90,4000
WHALE,01-Dec-2022,9.84,9.94,9.53,9.67,103000
WHALE,02-Dec-2022,9.77,9.79,9.47,9.61,55000
WHALE,05-Dec-2022,8.61,8.85,8.61,8.61,2090000
WHALE,06-Dec-2022,8.11,8.19,7.61,7.67,3223000
WHALE,07-Dec-2022,7.85,8.67,7.70,7.99,5003500
WHALE,08-Dec-2022,8.14,8.19,7.70,7.72,608000
WHALE,09-Dec-2022,7.80,8.25,7.70,7.87,1025500
WHALE,12-Dec-2022,7.90,8.13,7.74,7.76,565500
WHALE,13-Dec-2022,7.88,7.88,7.60,7.71,348000
WHALE,14-Dec-2022,7.67,8.09,7.65,7.93,658500
WHALE,15-Dec-2022,7.99,8.15,7.72,8.00,739000
WHALE,16-Dec-2022,7.83,7.84,7.70,7.73,196000
WHALE,19-Dec-2022,7.66,7.79,7.35,7.62,492000
WHALE,20-Dec-2022,7.46,7.46,6.71,6.84,967000
WHALE,21-Dec-2022,6.75,7.11,6.58,6.60,268000
WHALE,22-Dec-2022,6.60,7.48,6.59,6.92,662000
WHALE,23-Dec-2022,6.80,7.19,6.57,6.69,277500
WHALE,26-Dec-2022,6.77,6.89,6.48,6.55,503500
WHALE,27-Dec-2022,6.67,6.67,6.20,6.27,420500
WHALE,28-Dec-2022,6.29,6.36,6.00,6.04,478500
WHALE,29-Dec-2022,6.09,6.48,6.04,6.19,1172000
WHALE,30-Dec-2022,6.25,6.94,6.00,6.64,3511500
WHALE,02-Jan-2023,6.61,7.10,6.45,6.56,1836000
WHALE,03-Jan-2023,6.66,6.96,6.40,6.49,2080000
WHALE,04-Jan-2023,6.50,6.64,6.37,6.39,318500
WHALE,05-Jan-2023,6.50,6.68,6.40,6.51,204500
WHALE,06-Jan-2023,6.55,6.80,6.35,6.56,405000
WHALE,09-Jan-2023,6.52,6.60,6.45,6.47,217000
WHALE,10-Jan-2023,6.64,6.85,6.50,6.65,314500
WHALE,11-Jan-2023,6.70,7.00,6.65,6.66,1169000
WHALE,12-Jan-2023,6.66,6.79,6.65,6.66,139000
WHALE,13-Jan-2023,6.60,6.64,6.37,6.40,222000
WHALE,16-Jan-2023,6.31,6.35,6.11,6.15,93000
WHALE,17-Jan-2023,6.20,6.40,5.56,5.78,404000
WHALE,18-Jan-2023,5.75,5.90,5.65,5.85,107000
WHALE,19-Jan-2023,5.75,6.00,5.62,5.79,72000
WHALE,20-Jan-2023,5.75,6.39,5.50,5.96,191000
WHALE,23-Jan-2023,5.98,6.23,5.83,5.89,40000
WHALE,24-Jan-2023,5.86,6.14,5.86,5.99,76000
WHALE,25-Jan-2023,6.06,6.30,6.00,6.19,316000
WHALE,26-Jan-2023,6.20,6.30,6.00,6.18,140000
WHALE,27-Jan-2023,6.28,6.28,6.00,6.10,58500
WHALE,30-Jan-2023,5.90,6.09,5.80,5.83,105500
WHALE,31-Jan-2023,5.83,6.10,5.83,5.90,90000
WHALE,01-Feb-2023,6.00,6.15,6.00,6.01,82500
WHALE,02-Feb-2023,6.01,6.15,6.00,6.05,34000
WHALE,03-Feb-2023,6.05,6.35,6.05,6.10,195000
WHALE,06-Feb-2023,6.10,6.25,6.00,6.12,91500
WHALE,07-Feb-2023,6.15,6.38,6.05,6.16,65000
WHALE,08-Feb-2023,6.20,6.20,5.96,6.16,136000
WHALE,09-Feb-2023,6.29,7.09,6.25,7.00,2356500
WHALE,10-Feb-2023,6.89,7.00,6.51,6.75,1167000
WHALE,13-Feb-2023,6.65,6.96,6.60,6.61,259000
WHALE,14-Feb-2023,6.78,6.78,6.13,6.34,674500
WHALE,15-Feb-2023,6.34,6.34,5.95,6.14,1501500
WHALE,16-Feb-2023,6.13,6.13,5.90,5.92,317000
WHALE,17-Feb-2023,5.94,5.95,5.71,5.79,354000
WHALE,20-Feb-2023,5.72,5.74,5.60,5.70,104500
WHALE,21-Feb-2023,5.62,5.74,5.61,5.70,22000
WHALE,22-Feb-2023,5.77,5.89,5.68,5.68,7500
WHALE,23-Feb-2023,5.70,5.70,5.60,5.65,130000
WHALE,24-Feb-2023,5.55,5.95,5.45,5.50,207500
WHALE,27-Feb-2023,5.51,5.69,5.40,5.43,280500
WHALE,28-Feb-2023,5.45,5.60,5.25,5.30,199500
WHALE,01-Mar-2023,5.32,5.63,5.21,5.30,144000
WHALE,02-Mar-2023,5.40,5.43,5.17,5.19,97000
WHALE,03-Mar-2023,5.28,5.40,5.18,5.27,69000
WHALE,06-Mar-2023,5.17,5.45,5.17,5.30,374500
WHALE,07-Mar-2023,5.47,5.65,5.34,5.40,443000
WHALE,08-Mar-2023,5.35,5.60,5.25,5.25,263000
WHALE,09-Mar-2023,5.25,5.40,5.25,5.31,208500
WHALE,10-Mar-2023,5.49,5.70,5.35,5.55,481000
WHALE,13-Mar-2023,5.50,5.70,5.50,5.55,182000
WHALE,14-Mar-2023,5.52,5.84,5.52,5.63,163500
WHALE,15-Mar-2023,5.63,5.75,5.63,5.65,113000
WHALE,16-Mar-2023,5.65,5.90,5.65,5.78,204000
WHALE,17-Mar-2023,5.81,5.81,5.60,5.71,113000
WHALE,20-Mar-2023,5.60,5.98,5.55,5.85,427000
WHALE,21-Mar-2023,5.90,6.24,5.90,5.94,362500
WHALE,22-Mar-2023,5.90,5.90,5.65,5.69,268500
WHALE,24-Mar-2023,5.61,5.61,5.57,5.57,2500
WHALE,27-Mar-2023,5.70,5.73,5.53,5.60,10000
WHALE,28-Mar-2023,5.65,5.70,5.55,5.68,8500
WHALE,29-Mar-2023,5.51,5.57,5.40,5.48,64000
WHALE,30-Mar-2023,5.59,5.59,5.30,5.40,63000
WHALE,31-Mar-2023,5.32,5.60,5.32,5.49,200500
WHALE,03-Apr-2023,5.40,5.58,5.40,5.47,60500
WHALE,04-Apr-2023,5.36,5.50,5.36,5.46,16000
WHALE,05-Apr-2023,5.59,5.59,5.45,5.52,4000
WHALE,06-Apr-2023,5.60,5.60,5.52,5.55,88000
WHALE,07-Apr-2023,5.51,5.51,5.51,5.51,1000
WHALE,10-Apr-2023,5.41,5.42,5.28,5.36,16500
WHALE,11-Apr-2023,5.28,5.47,5.28,5.33,16000
WHALE,12-Apr-2023,5.30,5.45,5.29,5.30,39000
WHALE,13-Apr-2023,5.40,5.47,5.24,5.28,186500
WHALE,17-Apr-2023,5.45,5.45,5.19,5.22,268000
WHALE,18-Apr-2023,5.24,5.39,5.01,5.18,160000
WHALE,19-Apr-2023,5.18,5.30,5.18,5.21,15500
WHALE,20-Apr-2023,5.21,5.33,5.19,5.27,119000
WHALE,26-Apr-2023,5.11,5.36,5.11,5.26,25000
WHALE,27-Apr-2023,5.27,5.44,5.20,5.26,35500
WHALE,28-Apr-2023,5.32,5.45,5.27,5.34,178500
WHALE,02-May-2023,5.31,5.94,5.31,5.88,865000
WHALE,03-May-2023,5.99,6.29,5.99,6.05,1718500
WHALE,04-May-2023,5.91,6.10,5.61,5.66,618000
WHALE,05-May-2023,5.52,5.78,5.46,5.52,753500
