Symbol,Date,Open,High,Low,Close,Volume
WYETH,01-Jan-2014,4500.00,4500.00,4500.00,4500.00,20
WYETH,02-Jan-2014,4500.00,4600.00,4500.00,4560.00,180
WYETH,03-Jan-2014,4500.00,4500.00,4500.00,4500.00,5240
WYETH,06-Jan-2014,4500.00,4500.00,4400.00,4500.00,3380
WYETH,09-Jan-2014,4300.30,4300.30,4300.30,4300.30,20
WYETH,10-Jan-2014,4450.00,4450.00,4450.00,4450.00,80
WYETH,13-Jan-2014,4235.00,4500.00,4235.00,4447.71,140
WYETH,15-Jan-2014,4500.00,4500.01,4500.00,4500.01,80
WYETH,20-Jan-2014,4720.00,4725.01,4700.00,4725.00,860
WYETH,21-Jan-2014,4750.00,4961.00,4750.00,4961.00,160
WYETH,22-Jan-2014,5001.00,5209.05,5001.00,5190.48,1240
WYETH,23-Jan-2014,5250.00,5250.00,4950.00,5000.01,3740
WYETH,24-Jan-2014,5000.00,5000.00,4750.01,4759.15,220
WYETH,27-Jan-2014,4700.00,4700.00,4522.00,4566.50,1060
WYETH,28-Jan-2014,4510.00,4750.00,4500.00,4669.56,3000
WYETH,29-Jan-2014,4625.00,4890.00,4500.00,4747.31,2660
WYETH,30-Jan-2014,4515.00,4920.00,4515.00,4895.27,1060
WYETH,31-Jan-2014,4900.00,5000.00,4712.00,4931.55,2420
WYETH,03-Feb-2014,4725.00,4800.00,4700.00,4760.68,500
WYETH,04-Feb-2014,4773.00,4774.00,4773.00,4773.50,200
WYETH,06-Feb-2014,4680.00,4840.00,4540.00,4761.40,2300
WYETH,07-Feb-2014,4989.00,4989.00,4989.00,4989.00,20
WYETH,10-Feb-2014,4750.00,4750.00,4750.00,4750.00,20
WYETH,12-Feb-2014,4875.00,4879.00,4780.00,4879.00,60
WYETH,17-Feb-2014,4695.00,4700.00,4571.88,4571.88,140
WYETH,19-Feb-2014,4782.00,4788.00,4345.00,4497.50,320
WYETH,20-Feb-2014,4272.65,4469.00,4272.65,4449.79,220
WYETH,21-Feb-2014,4660.00,4664.00,4660.00,4664.00,40
WYETH,25-Feb-2014,4790.00,4794.00,4790.00,4794.00,40
WYETH,26-Feb-2014,4554.30,4554.30,4554.30,4554.30,100
WYETH,04-Mar-2014,3942.46,3942.46,3942.46,3942.46,60
WYETH,05-Mar-2014,3745.34,3745.34,3745.34,3745.34,180
WYETH,06-Mar-2014,3558.08,3930.00,3558.08,3781.54,1220
WYETH,07-Mar-2014,3970.00,3970.00,3800.00,3800.00,60
WYETH,10-Mar-2014,3816.00,3820.00,3816.00,3818.33,100
WYETH,11-Mar-2014,3996.00,3999.00,3996.00,3997.50,80
WYETH,12-Mar-2014,3850.00,4189.00,3850.00,4187.50,300
WYETH,13-Mar-2014,4391.00,4396.87,4350.00,4366.29,300
WYETH,14-Mar-2014,4575.00,4584.00,4500.00,4500.00,1260
WYETH,17-Mar-2014,4699.00,4699.00,4699.00,4699.00,20
WYETH,18-Mar-2014,4475.00,4475.00,4465.00,4472.14,700
WYETH,19-Mar-2014,4350.00,4350.00,4300.00,4300.00,40
WYETH,20-Mar-2014,4300.00,4300.00,4300.00,4300.00,20
WYETH,26-Mar-2014,4515.00,4515.00,4515.00,4515.00,60
WYETH,28-Mar-2014,4289.25,4500.00,4289.25,4496.88,880
WYETH,31-Mar-2014,4600.00,4600.00,4500.00,4500.00,480
WYETH,01-Apr-2014,4500.00,4500.00,4500.00,4500.00,380
WYETH,03-Apr-2014,4500.00,4500.00,4500.00,4500.00,20
WYETH,08-Apr-2014,4500.00,4500.00,4500.00,4500.00,20
WYETH,09-Apr-2014,4315.00,4500.00,4305.00,4305.00,60
WYETH,14-Apr-2014,4150.00,4150.00,4091.00,4115.00,320
WYETH,16-Apr-2014,4120.00,4120.00,4100.00,4100.00,40
WYETH,17-Apr-2014,4300.00,4302.00,4100.00,4100.00,320
WYETH,18-Apr-2014,4000.00,4100.00,4000.00,4100.00,140
WYETH,21-Apr-2014,4295.00,4295.00,4200.00,4200.00,100
WYETH,22-Apr-2014,4100.00,4100.00,4100.00,4100.00,20
WYETH,23-Apr-2014,4295.00,4295.00,4050.00,4050.00,120
WYETH,24-Apr-2014,4050.00,4050.00,4050.00,4050.00,20
WYETH,25-Apr-2014,4000.00,4000.00,4000.00,4000.00,20
WYETH,28-Apr-2014,4000.00,4000.00,3950.00,3950.00,80
WYETH,29-Apr-2014,4140.00,4140.00,4140.00,4140.00,40
WYETH,02-May-2014,4100.00,4100.00,4100.00,4100.00,20
WYETH,05-May-2014,4100.00,4100.00,4100.00,4100.00,20
WYETH,06-May-2014,4100.00,4100.00,4000.00,4000.00,120
WYETH,07-May-2014,4050.00,4050.00,4000.00,4000.00,80
WYETH,12-May-2014,4195.00,4195.00,4195.00,4195.00,20
WYETH,13-May-2014,4200.00,4200.00,4200.00,4200.00,20
WYETH,14-May-2014,4175.00,4400.00,4175.00,4400.00,280
WYETH,16-May-2014,4300.00,4300.00,4300.00,4300.00,20
WYETH,20-May-2014,4085.00,4095.00,4085.00,4095.00,60
WYETH,27-May-2014,4050.00,4050.00,4050.00,4050.00,40
WYETH,03-Jun-2014,4025.00,4025.00,4025.00,4025.00,20
WYETH,06-Jun-2014,4200.00,4225.99,4200.00,4225.99,60
WYETH,10-Jun-2014,4349.99,4349.99,4349.99,4349.99,20
WYETH,11-Jun-2014,4132.50,4490.00,4132.50,4431.82,240
WYETH,12-Jun-2014,4590.00,4653.00,4590.00,4653.00,100
WYETH,16-Jun-2014,4500.01,4500.01,4500.01,4500.01,20
WYETH,24-Jun-2014,4275.01,4275.01,4275.01,4275.01,180
WYETH,27-Jun-2014,4061.26,4480.00,4061.26,4319.38,340
WYETH,30-Jun-2014,4319.00,4500.00,4110.00,4450.00,640
WYETH,11-Jul-2014,4227.50,4227.50,4227.50,4227.50,20
WYETH,14-Jul-2014,4020.05,4020.05,4020.02,4020.04,40
