Symbol,Date,Open,High,Low,Close,Volume
YOUW,01-Jan-2014,5.59,6.24,5.50,6.24,590000
YOUW,02-Jan-2014,6.42,6.42,5.76,5.99,515500
YOUW,03-Jan-2014,5.90,5.90,5.38,5.48,66500
YOUW,06-Jan-2014,5.74,5.75,5.42,5.53,153500
YOUW,07-Jan-2014,5.80,6.53,5.80,6.53,1195000
YOUW,08-Jan-2014,6.80,7.53,6.74,7.51,1021000
YOUW,09-Jan-2014,7.90,7.90,6.70,6.84,597000
YOUW,10-Jan-2014,6.85,7.24,6.60,6.94,177500
YOUW,13-Jan-2014,7.10,7.94,7.10,7.42,481500
YOUW,15-Jan-2014,7.50,7.65,7.10,7.26,124000
YOUW,16-Jan-2014,7.15,7.24,6.50,6.73,66000
YOUW,17-Jan-2014,6.75,7.19,6.59,6.72,57000
YOUW,20-Jan-2014,6.90,7.00,6.50,6.61,67000
YOUW,21-Jan-2014,6.45,7.20,6.45,7.02,159500
YOUW,22-Jan-2014,7.00,7.65,6.81,7.47,371000
YOUW,23-Jan-2014,7.65,7.98,7.15,7.40,412000
YOUW,24-Jan-2014,7.25,8.08,7.01,7.69,356000
YOUW,27-Jan-2014,7.45,8.35,7.45,7.96,326500
YOUW,28-Jan-2014,8.38,8.54,8.00,8.13,634500
YOUW,29-Jan-2014,8.15,8.80,8.10,8.43,505500
YOUW,30-Jan-2014,8.10,8.88,8.10,8.44,161000
YOUW,31-Jan-2014,8.31,8.49,8.15,8.15,70000
YOUW,03-Feb-2014,8.12,8.13,7.83,7.95,128000
YOUW,04-Feb-2014,7.21,7.94,7.21,7.51,118000
YOUW,06-Feb-2014,7.79,7.79,7.37,7.41,64000
YOUW,07-Feb-2014,7.20,7.35,6.91,7.30,113000
YOUW,10-Feb-2014,7.60,7.60,6.95,7.36,79000
YOUW,11-Feb-2014,7.35,7.45,7.13,7.13,19500
YOUW,12-Feb-2014,7.40,7.40,7.00,7.14,94000
YOUW,13-Feb-2014,7.10,7.10,7.00,7.00,38000
YOUW,14-Feb-2014,6.90,6.90,6.60,6.81,33500
YOUW,17-Feb-2014,6.60,6.65,6.21,6.21,44000
YOUW,18-Feb-2014,6.64,6.89,5.81,6.53,88500
YOUW,19-Feb-2014,6.15,7.14,6.15,7.07,75000
YOUW,20-Feb-2014,7.38,7.55,7.00,7.05,327500
YOUW,21-Feb-2014,6.80,7.15,6.75,7.15,30000
YOUW,24-Feb-2014,7.00,7.00,6.70,6.70,23000
YOUW,25-Feb-2014,6.50,6.99,6.50,6.50,10000
YOUW,26-Feb-2014,6.50,6.90,6.01,6.03,30000
YOUW,27-Feb-2014,6.14,6.14,6.00,6.00,1000
YOUW,28-Feb-2014,5.70,5.98,5.51,5.66,33500
YOUW,03-Mar-2014,6.00,6.00,5.50,5.53,15000
YOUW,04-Mar-2014,6.20,6.20,6.20,6.20,6000
YOUW,05-Mar-2014,6.25,6.25,5.50,5.63,105500
YOUW,06-Mar-2014,5.90,6.09,5.40,5.65,97500
YOUW,07-Mar-2014,5.84,5.99,5.84,5.94,8500
YOUW,10-Mar-2014,5.78,5.80,5.40,5.50,63500
YOUW,11-Mar-2014,5.74,5.74,5.35,5.36,17500
YOUW,12-Mar-2014,5.30,5.60,5.30,5.60,5500
YOUW,13-Mar-2014,5.26,5.59,5.26,5.39,2500
YOUW,14-Mar-2014,5.39,5.50,5.30,5.30,12000
YOUW,17-Mar-2014,5.50,5.74,5.40,5.49,40000
YOUW,18-Mar-2014,5.15,5.15,5.00,5.10,31000
YOUW,19-Mar-2014,5.25,5.50,5.25,5.50,1500
YOUW,20-Mar-2014,5.05,5.10,5.00,5.10,13000
YOUW,21-Mar-2014,5.00,5.00,4.90,4.90,40500
YOUW,24-Mar-2014,4.95,4.95,4.95,4.95,1500
