,Industry Code,Industry Name,Exchange Id,Exchange Status
0,813,INV. BANKS / INV. COS. / SECURITIES COS.,1,1
1,826,SUGAR & ALLIED INDUSTRIES,1,1
2,830,TEXTILE SPINNING,1,1
3,827,SYNTHETIC & RAYON,1,1
4,807,COMMERCIAL BANKS,1,1
5,823,PHARMACEUTICALS,1,1
6,822,"PAPER, BOARD & PACKAGING",1,1
7,837,EXCHANGE TRADED FUNDS,1,1
8,804,CEMENT,1,1
9,829,TEXTILE COMPOSITE,1,1
10,808,ENGINEERING,1,1
11,812,INSURANCE,1,1
12,802,AUTOMOBILE PARTS & ACCESSORIES,1,1
13,805,CHEMICAL,1,1
14,801,AUTOMOBILE ASSEMBLER,1,1
15,809,FERTILIZER,1,1
16,828,TECHNOLOGY & COMMUNICATION,1,1
17,818,MISCELLANEOUS,1,1
18,824,POWER GENERATION & DISTRIBUTION,1,1
19,821,OIL & GAS MARKETING COMPANIES,1,1
20,810,FOOD & PERSONAL CARE PRODUCTS,1,1
21,831,TEXTILE WEAVING,1,1
22,825,REFINERY,1,1
23,816,LEATHER & TANNERIES,1,1
24,819,MODARABAS,1,1
25,811,GLASS & CERAMICS,1,1
26,835,WOOLLEN,1,1
27,838,PROPERTY,1,1
28,814,JUTE,1,1
29,833,TRANSPORT,1,1
30,836,REAL ESTATE INVESTMENT TRUST,1,1
31,803,CABLE & ELECTRICAL GOODS,1,1
32,815,LEASING COMPANIES,1,1
33,806,CLOSE - END MUTUAL FUND,1,1
34,832,TOBACCO,1,1
35,820,OIL & GAS EXPLORATION COMPANIES,1,1
36,834,VANASPATI & ALLIED INDUSTRIES,1,1
