,Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active,Year End,IDX WT %,FF BASED SHARES,ORD SHARES
0,786,786 Investments Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,6.0,0.0008340747725316153,5240813,14973750
1,AABS,Al-Abbas Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,1.0,1.0,9.0,0.08346403051522053,1736230,17362300
2,AAL,,,,,,,0.00014445403962642857,0,1183200
3,AASM,Al-Abid Silk Mills Limited,827.0,SYNTHETIC & RAYON,500.0,1.0,6.0,0.00035710109227535963,2681910,13409550
4,AATM,Ali Asghar Textile Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.02294669051504348,926222,44426694
5,ABL,Allied Bank Limited,807.0,COMMERCIAL BANKS,500.0,1.0,12.0,1.310618506069396,114507383,1145073830
6,ABOT,Abbott Laboratories (Pakistan) Limited,823.0,PHARMACEUTICALS,1.0,1.0,12.0,0.8356827793734682,21103498,97900302
7,ABSON,,,,,,,5.913617769105083e-05,1395000,3100000
8,ACPL,Attock Cement Pakistan Limited,804.0,CEMENT,1.0,1.0,6.0,0.2178430042814397,27485392,137426961
9,ADAMS,Adam Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,500.0,1.0,6.0,0.00798624323576025,4322741,17291008
10,ADMM,Artistic Denim Mills Limited,829.0,TEXTILE COMPOSITE,500.0,1.0,6.0,0.02942005763943427,8400000,84000000
11,AGHA,Agha Steel Ind.Ltd,808.0,ENGINEERING,1.0,1.0,6.0,0.04721671080123815,302439529,604879058
12,AGIC,Askari General Insurance Company Limited,812.0,INSURANCE,500.0,1.0,12.0,0.014187975270895983,28760758,71901898
13,AGIL,Agriauto Industries Limited,802.0,AUTOMOBILE PARTS & ACCESSORIES,500.0,1.0,6.0,0.029741453227091954,21600000,36000000
14,AGL,Agritech Limited,805.0,CHEMICAL,1.0,1.0,12.0,0.12264322667165045,233554815,424645119
15,AGLNCPS,,,,,,,0.024920498245290298,89070470,148450783
16,AGP,AGP Limited,823.0,PHARMACEUTICALS,1.0,1.0,12.0,0.3409265502922677,84000000,280000000
17,AGSML,Abdullah Shah Ghazi Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,500.0,1.0,9.0,0.004112669810581212,19815417,79261700
18,AGTL,,,,,,,0.18773184110505528,3649876,57964201
19,AHCL,Arif Habib Corporation Limited,809.0,FERTILIZER,500.0,1.0,6.0,0.22630409671028082,40837500,421696747
20,AHL,Arif Habib Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,6.0,0.022181610936945394,16335000,65340000
21,AHTM,Ahmad Hassan Textile Mills Limited,829.0,TEXTILE COMPOSITE,500.0,1.0,6.0,0.003555300767635819,1270730,8471535
22,AICL,Adamjee Insurance Company Limited,812.0,INSURANCE,500.0,1.0,12.0,0.11077922938305497,262500000,350000000
23,AIRLINK,Air Link Communication Limited,828.0,TECHNOLOGY & COMMUNICATION,1.0,1.0,6.0,0.4297025993015598,98817308,395269231
24,AKBL,Askari Bank Limited,807.0,COMMERCIAL BANKS,500.0,1.0,12.0,0.43726656131703523,434789762,1449299207
25,AKDHL,AKD Hospitality Limited,818.0,MISCELLANEOUS,1.0,1.0,6.0,0.0027909298858847047,1002909,2507273
26,AKDSL,AKD Securities Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,6.0,0.0787885450305691,27891709,557834171
27,AKGL,Al-Khair Gadoon Limited,818.0,MISCELLANEOUS,500.0,1.0,6.0,0.002899580325496686,1000000,10000000
28,ALAC,Askari Life Assurance Company Limited,812.0,INSURANCE,500.0,1.0,12.0,0.006073183766693285,52560205,150172014
29,ALIFE,Adamjee Life Assurance Company Limited,812.0,INSURANCE,500.0,1.0,12.0,0.05709502575139198,25000000,250000000
30,ALNRS,Al-Noor Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,500.0,1.0,9.0,0.012494800468085227,6142111,20473702
31,ALTN,Altern Energy Limited,824.0,POWER GENERATION & DISTRIBUTION,500.0,1.0,6.0,0.04993744071370666,90845000,363380000
32,AMBL,Apna Microfinance Bank Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,12.0,0.03273358830918799,21449248,428984962
33,AMSL,,,,,,,2.365447107642033e-05,1250000,5000000
34,AMTEX,Amtex Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.006493006106922552,116743560,259430134
35,ANL,Azgard Nine Limited,829.0,TEXTILE COMPOSITE,1.0,1.0,6.0,0.03070538566627226,242704866,485409731
36,ANLNV,,,,,,,0.0003186429397499459,1789682,5965608
37,ANLPS,,,,,,,0.004944744470917439,0,66125083
38,ANNT,,,,,,,0.00015130095599756563,784080,1742400
39,ANSM,Ansari Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,500.0,1.0,9.0,0.002488709619170072,25261450,56136657
40,ANTM,AN Textile Mills Limited,829.0,TEXTILE COMPOSITE,500.0,1.0,6.0,0.0009788739003691507,1449000,9660000
41,APL,Attock Petroleum Limited,821.0,OIL & GAS MARKETING COMPANIES,1.0,1.0,6.0,0.4867523319252137,24883200,124416000
42,APOT,,,,,,,0.001866142000474746,131400,8284700
43,ARCTM,Arctic Textile Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.0021111294955774434,2551500,13174800
44,ARPAK,Arpak International Investments Ltd.,818.0,MISCELLANEOUS,500.0,1.0,6.0,0.001914333452791075,351556,4000000
45,ARPL,Archroma Pakistan Limited,805.0,CHEMICAL,1.0,1.0,9.0,0.11339273148959689,8640835,34563341
46,ARUJ,Aruj Industries Limited,829.0,TEXTILE COMPOSITE,500.0,1.0,6.0,0.0008945430166611519,2402167,10457890
47,ASC,Al Shaheer Corporation Limited,810.0,FOOD & PERSONAL CARE PRODUCTS,1.0,1.0,6.0,0.02317284048092556,371734105,374923537
48,ASHT,Ashfaq Textile Mills Limited,831.0,TEXTILE WEAVING,500.0,1.0,6.0,0.004736326476394002,2328252,46565035
49,ASIC,Asia Insurance Company Limited,812.0,INSURANCE,500.0,1.0,12.0,0.009548480426663796,21902473,73008243
50,ASL,Aisha Steel Mills Limited,808.0,ENGINEERING,1.0,1.0,6.0,0.06118132047595007,325505584,924800809
51,ASLCPS,,,,,,,2.3584173040571028e-05,118972,137920
52,ASLPS,,,,,,,0.0034625009820773724,4435706,44357057
53,ASTL,Amreli Steels Limited,808.0,ENGINEERING,1.0,1.0,6.0,0.05219376718098394,74252857,297011427
54,ASTM,Asim Textile Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.0016699472085602931,2276550,15177000
55,ATBA,Atlas Battery Limited,802.0,AUTOMOBILE PARTS & ACCESSORIES,1.0,1.0,6.0,0.09894556792113549,7003407,35017034
56,ATIL,Atlas Insurance Limited,812.0,INSURANCE,500.0,1.0,6.0,0.06498641969161384,29883135,149415691
57,ATLH,,,,,,,0.8094145761800757,12408794,124087935
58,ATRL,Attock Refinery Limited,825.0,REFINERY,1.0,1.0,6.0,0.4161707272686064,42646500,106616250
59,AVN,,,,,,,0.17423849944126968,124506849,415022831
60,AWTX,Allawasaya Tex. & Finishing Mills Ltd,830.0,TEXTILE SPINNING,1.0,1.0,6.0,0.007920676748515727,2851,800000
61,AZMT,,,,,,,7.212706059673006e-05,427500,950000
62,BAFL,Bank Alfalah Limited,807.0,COMMERCIAL BANKS,1.0,1.0,12.0,1.0010312311240512,709724304,1577165119
63,BAFS,Baba Farid Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,500.0,1.0,9.0,0.0032015945078207883,472500,9450000
64,BAHL,Bank AL Habib Limited,807.0,COMMERCIAL BANKS,1.0,1.0,12.0,1.1487960776408526,777997791,1111425419
65,BAPL,Bawany Air Products Limited,805.0,CHEMICAL,500.0,1.0,6.0,0.0018021579594980806,4501506,7502510
66,BATA,Bata Pakistan Limited,816.0,LEATHER & TANNERIES,1.0,1.0,12.0,0.10181647398745389,1786364,7560000
67,BBFL,,,,,,,0.13404220403200057,104617025,298905786
